Days,Date,0_DeathRate,1_RecoveryRate,2_Cases,3_DailyCases,4_DailyCases- 3-daymovingaverage,5_DailyCases- 7-daymovingaverage,6_CurrentlyInfected,7_Deaths,8_DailyDeaths,9_DailyDeaths- 3-daymovingaverage,10_DailyDeaths- 7-daymovingaverage,11_NewRecoveries,12_NewCases,13_DeathRate,14_RecoveryRate
0,"Feb 15, 2020",0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
1,"Feb 16, 2020",0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
2,"Feb 17, 2020",0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
3,"Feb 18, 2020",0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
4,"Feb 19, 2020",0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
5,"Feb 20, 2020",0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
6,"Feb 21, 2020",0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
7,"Feb 22, 2020",0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
8,"Feb 23, 2020",0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
9,"Feb 24, 2020",0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
10,"Feb 25, 2020",0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
11,"Feb 26, 2020",0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
12,"Feb 27, 2020",0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
13,"Feb 28, 2020",0.000,0.000,2,0,0,0,2,0,0,0,0,0,0,0.000,0.000
14,"Feb 29, 2020",0.000,0.000,4,2,1,0,4,0,0,0,0,0,2,0.000,0.000
15,"Mar 01, 2020",0.000,0.000,5,1,2,1,5,0,0,0,0,0,1,0.000,0.000
16,"Mar 02, 2020",0.000,0.000,6,1,1,0,6,0,0,0,0,0,1,0.000,0.000
17,"Mar 03, 2020",0.000,100.000,6,0,1,1,5,0,0,0,0,1,0,0.000,100.000
18,"Mar 04, 2020",0.000,100.000,6,0,0,1,5,0,0,0,0,0,0,0.000,100.000
19,"Mar 05, 2020",0.000,100.000,6,0,0,1,5,0,0,0,0,0,0,0.000,100.000
20,"Mar 06, 2020",0.000,100.000,6,0,0,1,5,0,0,0,0,0,0,0.000,100.000
21,"Mar 07, 2020",0.000,100.000,6,0,0,0,5,0,0,0,0,0,0,0.000,100.000
22,"Mar 08, 2020",0.000,100.000,7,1,0,0,6,0,0,0,0,0,1,0.000,100.000
23,"Mar 09, 2020",0.000,100.000,7,0,1,0,3,0,0,0,0,3,0,0.000,100.000
24,"Mar 10, 2020",0.000,100.000,7,0,0,0,3,0,0,0,0,0,0,0.000,100.000
25,"Mar 11, 2020",0.000,100.000,11,4,1,1,7,0,0,0,0,0,4,0.000,100.000
26,"Mar 12, 2020",0.000,100.000,12,1,2,1,8,0,0,0,0,0,1,0.000,100.000
27,"Mar 13, 2020",0.000,100.000,15,3,3,1,11,0,0,0,0,0,3,0.000,100.000
28,"Mar 14, 2020",0.000,100.000,26,11,5,3,22,0,0,0,0,0,11,0.000,100.000
29,"Mar 15, 2020",0.000,100.000,44,18,10,5,40,0,0,0,0,0,18,0.000,100.000
30,"Mar 16, 2020",0.000,100.000,54,10,13,7,50,0,0,0,0,0,10,0.000,100.000
31,"Mar 17, 2020",0.000,100.000,84,30,20,11,80,0,0,0,0,0,30,0.000,100.000
32,"Mar 18, 2020",0.000,100.000,95,11,17,12,91,0,0,0,0,0,11,0.000,100.000
33,"Mar 19, 2020",20.000,80.000,121,26,22,16,116,1,1,0,0,0,26,20.000,80.000
34,"Mar 20, 2020",20.000,80.000,168,47,28,22,163,1,0,0,0,0,47,20.000,80.000
35,"Mar 21, 2020",33.330,66.670,208,40,38,26,202,2,1,0,0,0,40,33.330,66.670
36,"Mar 22, 2020",33.330,66.670,258,50,45,30,252,2,0,1,0,0,50,33.330,66.670
37,"Mar 23, 2020",42.860,57.140,325,67,53,39,318,3,1,0,0,0,67,42.860,57.140
38,"Mar 24, 2020",50.000,50.000,378,53,56,42,370,4,1,1,1,0,53,50.000,50.000
39,"Mar 25, 2020",55.560,44.440,417,39,53,46,408,5,1,1,1,0,39,55.560,44.440
40,"Mar 26, 2020",60.000,40.000,489,72,55,52,479,6,1,1,0,0,72,60.000,40.000
41,"Mar 27, 2020",66.670,33.330,603,114,75,63,591,8,2,1,1,0,114,66.670,33.330
42,"Mar 28, 2020",75.000,25.000,739,136,107,75,723,12,4,3,2,0,136,75.000,25.000
43,"Mar 29, 2020",31.370,68.630,874,135,129,88,823,16,4,3,2,31,135,31.370,68.630
44,"Mar 30, 2020",36.360,63.640,1024,150,140,100,969,20,4,4,2,0,150,36.360,63.640
45,"Mar 31, 2020",44.440,55.560,1128,104,130,107,1065,28,8,5,4,0,104,44.440,55.560
46,"Apr 01, 2020",45.310,54.690,1253,125,126,120,1189,29,1,5,3,0,125,45.310,54.690
47,"Apr 02, 2020",51.390,48.610,1421,168,132,133,1349,37,8,5,4,0,168,51.390,48.610
48,"Apr 03, 2020",7.320,92.680,1557,136,143,136,874,50,13,8,6,598,136,7.320,92.680
49,"Apr 04, 2020",8.660,91.340,1741,184,163,143,1048,60,10,10,7,0,184,8.660,91.340
50,"Apr 05, 2020",11.220,88.780,1950,209,176,154,1237,80,20,14,9,0,209,11.220,88.780
51,"Apr 06, 2020",13.050,86.950,2211,261,218,170,1483,95,15,15,11,0,261,13.050,86.950
52,"Apr 07, 2020",16.710,83.290,2517,306,259,198,1757,127,32,23,14,0,306,16.710,83.290
53,"Apr 08, 2020",18.530,81.470,2874,357,308,232,2097,144,17,21,17,0,357,18.530,81.470
54,"Apr 09, 2020",21.950,78.050,3283,409,357,266,2472,178,34,28,20,0,409,21.950,78.050
55,"Apr 10, 2020",23.920,76.080,3551,268,345,285,2719,199,21,24,21,0,268,23.920,76.080
56,"Apr 11, 2020",27.410,72.590,3967,416,364,318,3095,239,40,31,26,0,416,27.410,72.590
57,"Apr 12, 2020",13.650,86.350,4354,387,357,343,2302,280,41,34,28,1139,387,13.650,86.350
58,"Apr 13, 2020",14.160,85.840,4810,456,420,371,2663,304,24,35,30,71,456,14.160,85.840
59,"Apr 14, 2020",14.790,85.210,5174,364,402,380,2869,341,37,34,31,121,364,14.790,85.210
60,"Apr 15, 2020",16.400,83.600,5571,397,406,385,3029,417,76,46,39,161,397,16.400,83.600
61,"Apr 16, 2020",17.830,82.170,6034,463,408,393,3448,461,44,52,40,0,463,17.830,82.170
62,"Apr 17, 2020",19.020,80.980,6499,465,442,421,3875,499,38,53,43,0,465,19.020,80.980
63,"Apr 18, 2020",20.890,79.110,7096,597,508,447,4410,561,62,48,46,0,597,20.890,79.110
64,"Apr 19, 2020",20.270,79.730,7738,642,568,484,4443,668,107,69,55,502,642,20.270,79.730
65,"Apr 20, 2020",21.160,78.840,8527,789,676,531,5195,705,37,69,58,0,789,21.160,78.840
66,"Apr 21, 2020",21.790,78.210,9055,528,653,554,5696,732,27,57,56,0,528,21.790,78.210
67,"Apr 22, 2020",25.140,74.860,9808,753,690,605,6299,882,150,71,66,0,753,25.140,74.860
68,"Apr 23, 2020",27.550,72.450,10885,1077,786,693,7259,999,117,98,77,0,1077,27.550,72.450
69,"Apr 24, 2020",29.530,70.470,12009,1124,985,788,8281,1101,102,123,86,0,1124,29.530,70.470
70,"Apr 25, 2020",14.960,85.040,13288,1279,1160,884,4881,1258,157,125,99,4522,1279,14.960,85.040
71,"Apr 26, 2020",15.830,84.170,14289,1001,1134,936,5795,1345,87,116,97,0,1001,15.830,84.170
72,"Apr 27, 2020",14.290,85.710,15151,862,1048,946,5404,1393,48,97,98,1205,862,14.290,85.710
73,"Apr 28, 2020",14.000,86.000,16031,880,914,997,5466,1479,86,74,107,732,880,14.000,86.000
74,"Apr 29, 2020",12.410,87.590,17294,1263,1002,1069,4253,1618,139,91,105,2337,1263,12.410,87.590
75,"Apr 30, 2020",13.520,86.480,18375,1081,1074,1070,5166,1786,168,131,113,0,1081,13.520,86.480
76,"May 01, 2020",14.370,85.630,19846,1471,1272,1120,6506,1917,131,146,116,0,1471,14.370,85.630
77,"May 02, 2020",14.110,85.890,21410,1564,1372,1160,6999,2034,117,138,111,954,1564,14.110,85.890
78,"May 03, 2020",13.650,86.350,22803,1393,1476,1216,7230,2126,92,114,112,1070,1393,13.650,86.350
79,"May 04, 2020",14.180,85.820,24231,1428,1462,1298,8562,2222,96,101,118,0,1428,14.180,85.820
80,"May 05, 2020",12.820,87.180,25711,1480,1433,1382,7430,2343,121,103,124,2491,1480,12.820,87.180
81,"May 06, 2020",13.340,86.660,26867,1156,1355,1368,7470,2587,244,154,138,872,1156,13.340,86.660
82,"May 07, 2020",13.570,86.430,28528,1661,1432,1450,7956,2791,204,190,144,971,1661,13.570,86.430
83,"May 08, 2020",14.670,85.330,30574,2046,1621,1533,9737,3056,265,237,162,0,2046,14.670,85.330
84,"May 09, 2020",13.840,86.160,32542,1968,1892,1590,8966,3262,206,225,176,2533,1968,13.840,86.160
85,"May 10, 2020",13.690,86.310,34543,2001,2005,1677,9258,3461,199,224,190,1510,2001,13.690,86.310
86,"May 11, 2020",13.410,86.590,36156,1613,1861,1704,9479,3577,116,173,194,1276,1613,13.410,86.590
87,"May 12, 2020",13.770,86.230,37503,1347,1653,1685,10714,3689,112,143,192,0,1347,13.770,86.230
88,"May 13, 2020",13.520,86.480,39565,2062,1674,1814,9576,4054,365,197,210,2835,2062,13.520,86.480
89,"May 14, 2020",13.900,86.100,41487,1922,1777,1851,10139,4358,304,261,224,1055,1922,13.900,86.100
90,"May 15, 2020",13.970,86.030,43974,2487,2157,1914,10876,4623,265,311,224,1485,2487,13.970,86.030
91,"May 16, 2020",13.920,86.080,46490,2516,2309,1993,11116,4923,300,290,237,1976,2516,13.920,86.080
92,"May 17, 2020",14.060,85.940,48670,2180,2394,2018,11612,5210,287,284,250,1397,2180,14.060,85.940
93,"May 18, 2020",13.820,86.180,50812,2142,2279,2094,12137,5346,136,241,252,1481,2142,13.820,86.180
94,"May 19, 2020",13.460,86.540,53304,2492,2272,2257,12410,5506,160,194,260,2059,2492,13.460,86.540
95,"May 20, 2020",13.550,86.450,56105,2801,2478,2363,12929,5851,345,214,257,1937,2801,13.550,86.450
96,"May 21, 2020",13.920,86.080,58426,2321,2538,2420,13261,6289,438,314,276,1551,2321,13.920,86.080
97,"May 22, 2020",14.190,85.810,61495,3069,2730,2503,14115,6723,434,406,300,1781,3069,14.190,85.810
98,"May 23, 2020",14.450,85.550,64551,3056,2816,2580,14608,7218,495,455,327,2068,3056,14.450,85.550
99,"May 24, 2020",14.170,85.830,67988,3437,3187,2759,15655,7414,196,375,315,2194,3437,14.170,85.830
100,"May 25, 2020",13.870,86.130,70842,2854,3116,2862,15782,7636,222,305,327,2505,2854,13.870,86.130
101,"May 26, 2020",13.640,86.360,73408,2566,2952,2872,15635,7883,247,221,340,2466,2566,13.640,86.360
102,"May 27, 2020",13.860,86.140,76975,3567,2996,2981,16355,8401,518,329,364,2329,3567,13.860,86.140
103,"May 28, 2020",14.040,85.960,80550,3575,3236,3161,17288,8879,478,415,370,2164,3575,14.040,85.960
104,"May 29, 2020",14.160,85.840,84037,3487,3543,3220,18058,9341,462,486,374,2255,3487,14.160,85.840
105,"May 30, 2020",14.020,85.980,87369,3332,3464,3260,18035,9724,383,441,358,2972,3332,14.020,85.980
106,"May 31, 2020",14.030,85.970,90348,2979,3266,3194,18377,10100,376,407,384,2261,2979,14.030,85.970
107,"Jun 01, 2020",13.750,86.250,93602,3254,3189,3252,19020,10256,156,305,374,2455,3254,13.750,86.250
108,"Jun 02, 2020",13.460,86.540,96463,2861,3031,3293,18471,10501,245,259,374,3165,2861,13.460,86.540
109,"Jun 03, 2020",13.510,86.490,100480,4017,3377,3358,19185,10987,486,295,370,2817,4017,13.510,86.490
110,"Jun 04, 2020",14.190,85.810,104519,4039,3639,3424,19133,12115,1128,620,462,2963,4039,14.190,85.810
111,"Jun 05, 2020",14.660,85.340,109105,4586,4214,3581,20699,12958,843,819,517,2177,4586,14.660,85.340
112,"Jun 06, 2020",14.760,85.240,113592,4487,4371,3746,21398,13604,646,872,554,3142,4487,14.760,85.240
113,"Jun 07, 2020",14.610,85.390,117302,3710,4261,3851,21802,13956,352,614,551,2954,3710,14.610,85.390
114,"Jun 08, 2020",14.360,85.640,120899,3597,3931,3900,22330,14150,194,397,556,2875,3597,14.360,85.640
