Days,Date,0_Cases,1_DailyCases,2_DailyCases- 3-daymovingaverage,3_DailyCases- 7-daymovingaverage,4_CurrentlyInfected,5_Deaths,6_DailyDeaths,7_DailyDeaths- 3-daymovingaverage,8_DailyDeaths- 7-daymovingaverage
0,"Feb 15, 2020",0,0,0,0,0,0,0,0,0
1,"Feb 16, 2020",0,0,0,0,0,0,0,0,0
2,"Feb 17, 2020",0,0,0,0,0,0,0,0,0
3,"Feb 18, 2020",0,0,0,0,0,0,0,0,0
4,"Feb 19, 2020",0,0,0,0,0,0,0,0,0
5,"Feb 20, 2020",0,0,0,0,0,0,0,0,0
6,"Feb 21, 2020",0,0,0,0,0,0,0,0,0
7,"Feb 22, 2020",0,0,0,0,0,0,0,0,0
8,"Feb 23, 2020",0,0,0,0,0,0,0,0,0
9,"Feb 24, 2020",0,0,0,0,0,0,0,0,0
10,"Feb 25, 2020",0,0,0,0,0,0,0,0,0
11,"Feb 26, 2020",0,0,0,0,0,0,0,0,0
12,"Feb 27, 2020",0,0,0,0,0,0,0,0,0
13,"Feb 28, 2020",0,0,0,0,0,0,0,0,0
14,"Feb 29, 2020",0,0,0,0,0,0,0,0,0
15,"Mar 01, 2020",0,0,0,0,0,0,0,0,0
16,"Mar 02, 2020",0,0,0,0,0,0,0,0,0
17,"Mar 03, 2020",0,0,0,0,0,0,0,0,0
18,"Mar 04, 2020",0,0,0,0,0,0,0,0,0
19,"Mar 05, 2020",0,0,0,0,0,0,0,0,0
20,"Mar 06, 2020",0,0,0,0,0,0,0,0,0
21,"Mar 07, 2020",1,0,0,0,1,0,0,0,0
22,"Mar 08, 2020",1,0,0,0,1,0,0,0,0
23,"Mar 09, 2020",1,0,0,0,1,0,0,0,0
24,"Mar 10, 2020",3,2,1,0,3,0,0,0,0
25,"Mar 11, 2020",3,0,0,0,3,0,0,0,0
26,"Mar 12, 2020",6,3,2,1,6,0,0,0,0
27,"Mar 13, 2020",6,0,1,1,6,0,0,0,0
28,"Mar 14, 2020",12,6,3,2,12,0,0,0,0
29,"Mar 15, 2020",23,11,6,3,23,0,0,0,0
30,"Mar 16, 2020",29,6,7,4,28,0,0,0,0
31,"Mar 17, 2020",30,1,6,4,29,0,0,0,0
32,"Mar 18, 2020",36,6,5,4,34,1,0,0,0
33,"Mar 19, 2020",49,13,6,6,47,1,0,0,0
34,"Mar 20, 2020",66,17,12,9,64,1,0,0,0
35,"Mar 21, 2020",80,14,15,10,78,1,0,0,0
36,"Mar 22, 2020",94,14,15,10,92,1,0,0,0
37,"Mar 23, 2020",109,15,14,11,106,1,0,0,0
38,"Mar 24, 2020",125,16,15,14,122,1,0,0,0
39,"Mar 25, 2020",149,24,19,16,146,1,0,0,0
40,"Mar 26, 2020",177,28,22,18,174,1,0,0,0
41,"Mar 27, 2020",199,22,25,19,195,2,1,0,0
42,"Mar 28, 2020",231,32,27,22,227,2,0,1,0
43,"Mar 29, 2020",263,32,29,24,259,2,0,0,0
44,"Mar 30, 2020",298,35,33,27,281,2,0,0,1
45,"Mar 31, 2020",353,55,41,33,331,4,2,1,0
46,"Apr 01, 2020",423,70,53,39,395,5,1,1,1
47,"Apr 02, 2020",505,82,69,47,476,6,1,1,0
48,"Apr 03, 2020",591,86,79,56,557,8,2,1,1
49,"Apr 04, 2020",752,161,110,74,711,12,4,3,2
50,"Apr 05, 2020",864,112,120,86,819,15,3,3,1
51,"Apr 06, 2020",965,101,124,95,909,19,4,3,3
52,"Apr 07, 2020",1056,91,102,101,994,22,3,4,2
53,"Apr 08, 2020",1174,118,103,107,1107,27,5,4,4
54,"Apr 09, 2020",1289,115,108,112,1210,29,2,3,3
55,"Apr 10, 2020",1438,149,127,121,1353,29,0,2,3
56,"Apr 11, 2020",1560,122,129,115,1455,30,1,1,2
57,"Apr 12, 2020",1662,102,124,114,1537,31,1,1,3
58,"Apr 13, 2020",1712,50,92,107,1570,35,4,2,2
59,"Apr 14, 2020",1934,222,124,125,1722,41,6,4,3
60,"Apr 15, 2020",2049,115,129,125,1832,46,5,5,2
61,"Apr 16, 2020",2154,105,148,124,1865,54,8,6,4
62,"Apr 17, 2020",2264,110,110,118,1932,56,2,5,4
63,"Apr 18, 2020",2351,87,100,113,1903,57,1,4,4
64,"Apr 19, 2020",2472,121,106,116,1948,67,10,4,5
65,"Apr 20, 2020",2548,76,95,119,2021,70,3,5,5
66,"Apr 21, 2020",2614,66,88,97,2037,72,2,5,4
67,"Apr 22, 2020",2778,164,102,104,2143,75,3,2,4
68,"Apr 23, 2020",2926,148,126,111,2185,80,5,4,4
