Days,Date,0_Cases,1_DailyCases,2_DailyCases- 3-daymovingaverage,3_DailyCases- 7-daymovingaverage,4_CurrentlyInfected,5_Deaths,6_DailyDeaths,7_DailyDeaths- 3-daymovingaverage,8_DailyDeaths- 7-daymovingaverage
0,"Feb 15, 2020",0,0,0,0,0,0,0,0,0
1,"Feb 16, 2020",0,0,0,0,0,0,0,0,0
2,"Feb 17, 2020",0,0,0,0,0,0,0,0,0
3,"Feb 18, 2020",0,0,0,0,0,0,0,0,0
4,"Feb 19, 2020",0,0,0,0,0,0,0,0,0
5,"Feb 20, 2020",0,0,0,0,0,0,0,0,0
6,"Feb 21, 2020",0,0,0,0,0,0,0,0,0
7,"Feb 22, 2020",0,0,0,0,0,0,0,0,0
8,"Feb 23, 2020",0,0,0,0,0,0,0,0,0
9,"Feb 24, 2020",0,0,0,0,0,0,0,0,0
10,"Feb 25, 2020",0,0,0,0,0,0,0,0,0
11,"Feb 26, 2020",0,0,0,0,0,0,0,0,0
12,"Feb 27, 2020",0,0,0,0,0,0,0,0,0
13,"Feb 28, 2020",0,0,0,0,0,0,0,0,0
14,"Feb 29, 2020",0,0,0,0,0,0,0,0,0
15,"Mar 01, 2020",0,0,0,0,0,0,0,0,0
16,"Mar 02, 2020",1,0,0,0,1,0,0,0,0
17,"Mar 03, 2020",1,0,0,0,1,0,0,0,0
18,"Mar 04, 2020",1,0,0,0,1,0,0,0,0
19,"Mar 05, 2020",2,1,0,0,2,0,0,0,0
20,"Mar 06, 2020",2,0,1,0,2,0,0,0,0
21,"Mar 07, 2020",2,0,0,0,2,0,0,0,0
22,"Mar 08, 2020",2,0,0,1,2,0,0,0,0
23,"Mar 09, 2020",2,0,0,0,2,0,0,0,0
24,"Mar 10, 2020",3,1,0,0,2,1,1,0,0
25,"Mar 11, 2020",6,3,2,1,5,1,0,0,0
26,"Mar 12, 2020",6,0,1,0,5,1,0,0,0
27,"Mar 13, 2020",7,1,1,1,5,1,0,0,0
28,"Mar 14, 2020",18,11,4,2,16,1,0,0,0
29,"Mar 15, 2020",28,10,8,4,26,1,0,0,0
30,"Mar 16, 2020",37,9,10,5,35,1,0,0,0
31,"Mar 17, 2020",44,7,8,6,41,2,1,0,0
32,"Mar 18, 2020",54,10,9,7,51,2,0,1,0
33,"Mar 19, 2020",63,9,9,8,59,2,0,0,0
34,"Mar 20, 2020",86,23,14,11,81,3,1,0,1
35,"Mar 21, 2020",96,10,14,11,90,3,0,1,0
36,"Mar 22, 2020",115,19,17,13,108,4,1,0,0
37,"Mar 23, 2020",143,28,19,15,134,4,0,1,1
38,"Mar 24, 2020",170,27,25,18,159,5,1,0,0
39,"Mar 25, 2020",225,55,36,24,212,6,1,1,1
40,"Mar 26, 2020",275,50,44,31,256,11,5,2,1
41,"Mar 27, 2020",345,70,59,37,311,23,12,6,3
42,"Mar 28, 2020",402,57,59,43,365,25,2,7,3
43,"Mar 29, 2020",479,77,68,52,440,26,1,5,3
44,"Mar 30, 2020",556,77,70,59,508,33,7,3,4
45,"Mar 31, 2020",617,61,72,64,557,36,3,4,5
46,"Apr 01, 2020",654,37,58,61,586,39,3,4,5
47,"Apr 02, 2020",708,54,51,62,633,44,5,4,4
48,"Apr 03, 2020",791,83,58,64,686,48,4,4,4
49,"Apr 04, 2020",919,128,88,74,794,59,11,6,5
50,"Apr 05, 2020",1021,102,104,77,875,70,11,9,6
51,"Apr 06, 2020",1120,99,110,81,959,80,10,11,7
52,"Apr 07, 2020",1184,64,88,81,1001,90,10,10,7
53,"Apr 08, 2020",1275,91,85,89,1085,93,3,8,8
54,"Apr 09, 2020",1374,99,85,95,1168,97,4,5,8
55,"Apr 10, 2020",1448,74,88,94,1219,107,10,6,8
56,"Apr 11, 2020",1545,97,90,89,1288,111,4,6,8
57,"Apr 12, 2020",1661,116,95,91,1366,118,7,7,6
58,"Apr 13, 2020",1763,102,105,92,1434,126,8,6,7
59,"Apr 14, 2020",1888,125,115,101,1545,126,0,5,5
60,"Apr 15, 2020",2024,136,121,107,1668,127,1,3,5
61,"Apr 16, 2020",2283,259,173,130,1904,130,3,2,5
62,"Apr 17, 2020",2564,281,225,159,2148,135,5,3,4
63,"Apr 18, 2020",2685,121,221,163,2234,137,2,3,3
64,"Apr 19, 2020",2855,170,190,171,2387,141,4,4,4
65,"Apr 20, 2020",3046,191,161,183,2553,143,2,2,2
66,"Apr 21, 2020",3209,163,175,189,2671,145,2,3,3
67,"Apr 22, 2020",3446,237,197,203,2880,149,4,3,3
68,"Apr 23, 2020",3568,122,174,183,2957,155,6,4,4
