Days,Date,0_Cases,1_DailyCases,2_DailyCases- 3-daymovingaverage,3_DailyCases- 7-daymovingaverage,4_Deaths,5_DailyDeaths,6_DailyDeaths- 3-daymovingaverage,7_DailyDeaths- 7-daymovingaverage
0,"Feb 15, 2020",0,0,0,0,0,0,0,0
1,"Feb 16, 2020",0,0,0,0,0,0,0,0
2,"Feb 17, 2020",0,0,0,0,0,0,0,0
3,"Feb 18, 2020",0,0,0,0,0,0,0,0
4,"Feb 19, 2020",0,0,0,0,0,0,0,0
5,"Feb 20, 2020",0,0,0,0,0,0,0,0
6,"Feb 21, 2020",0,0,0,0,0,0,0,0
7,"Feb 22, 2020",0,0,0,0,0,0,0,0
8,"Feb 23, 2020",0,0,0,0,0,0,0,0
9,"Feb 24, 2020",0,0,0,0,0,0,0,0
10,"Feb 25, 2020",0,0,0,0,0,0,0,0
11,"Feb 26, 2020",0,0,0,0,0,0,0,0
12,"Feb 27, 2020",1,0,0,0,0,0,0,0
13,"Feb 28, 2020",2,1,0,0,0,0,0,0
14,"Feb 29, 2020",7,5,2,0,0,0,0,0
15,"Mar 01, 2020",10,3,3,2,0,0,0,0
16,"Mar 02, 2020",18,8,6,2,0,0,0,0
17,"Mar 03, 2020",23,5,5,4,0,0,0,0
18,"Mar 04, 2020",38,15,9,5,0,0,0,0
19,"Mar 05, 2020",82,44,22,12,0,0,0,0
20,"Mar 06, 2020",128,46,35,18,1,1,0,0
21,"Mar 07, 2020",188,60,50,26,1,0,0,0
22,"Mar 08, 2020",265,77,61,36,3,2,1,0
23,"Mar 09, 2020",321,56,64,43,4,1,1,0
24,"Mar 10, 2020",382,61,65,52,4,0,1,1
25,"Mar 11, 2020",503,121,79,66,5,1,0,1
26,"Mar 12, 2020",614,111,98,76,5,0,1,0
27,"Mar 13, 2020",804,190,140,97,10,5,2,2
28,"Mar 14, 2020",959,155,152,110,12,2,2,1
29,"Mar 15, 2020",1135,176,174,124,20,8,5,3
30,"Mar 16, 2020",1413,278,203,156,24,4,5,2
31,"Mar 17, 2020",1705,292,249,189,43,19,10,6
32,"Mar 18, 2020",2051,346,305,221,58,15,13,8
33,"Mar 19, 2020",2460,409,349,264,76,18,17,10
34,"Mar 20, 2020",2994,534,430,313,106,30,21,13
35,"Mar 21, 2020",3631,637,526,381,136,30,26,18
36,"Mar 22, 2020",4204,573,582,439,179,43,34,23
37,"Mar 23, 2020",4749,545,585,476,213,34,36,27
38,"Mar 24, 2020",5560,811,643,551,276,63,47,33
39,"Mar 25, 2020",6412,852,736,623,356,80,59,43
40,"Mar 26, 2020",7431,1019,894,710,434,78,73,51
41,"Mar 27, 2020",8603,1172,1014,802,546,112,90,63
42,"Mar 28, 2020",9762,1159,1117,875,639,93,95,72
43,"Mar 29, 2020",10866,1104,1145,952,771,132,112,84
44,"Mar 30, 2020",11750,884,1049,1000,864,93,106,93
45,"Mar 31, 2020",12595,845,944,1005,1039,175,133,109
46,"Apr 01, 2020",13614,1019,916,1029,1173,134,134,117
47,"Apr 02, 2020",14697,1083,982,1038,1339,166,159,129
48,"Apr 03, 2020",15723,1026,1043,1017,1487,148,149,135
49,"Apr 04, 2020",16627,904,1004,981,1651,164,159,144
50,"Apr 05, 2020",17851,1224,1052,998,1766,115,143,142
51,"Apr 06, 2020",18803,952,1026,1007,1867,101,126,144
52,"Apr 07, 2020",19580,777,985,998,2101,234,150,151
53,"Apr 08, 2020",20549,969,899,991,2248,147,161,154
54,"Apr 09, 2020",21762,1213,986,1009,2396,148,176,151
55,"Apr 10, 2020",23097,1335,1173,1054,2511,115,137,146
56,"Apr 11, 2020",24413,1316,1288,1112,2643,132,132,142
57,"Apr 12, 2020",25587,1174,1275,1105,2737,94,113,139
58,"Apr 13, 2020",26551,964,1151,1107,2823,86,104,136
59,"Apr 14, 2020",27419,868,1002,1120,2945,122,101,121
60,"Apr 15, 2020",28153,734,855,1086,3134,189,132,126
61,"Apr 16, 2020",29214,1061,888,1065,3315,181,164,132
62,"Apr 17, 2020",30449,1235,1010,1050,3459,144,172,135
63,"Apr 18, 2020",31589,1140,1145,1025,3601,142,155,137
64,"Apr 19, 2020",32655,1066,1147,1010,3684,83,123,135
65,"Apr 20, 2020",33405,750,986,979,3751,67,98,133
66,"Apr 21, 2020",34134,729,848,959,3916,165,105,138
67,"Apr 22, 2020",34842,708,729,956,4054,138,123,132
68,"Apr 23, 2020",35729,887,775,931,4177,123,142,123
69,"Apr 24, 2020",36535,806,800,869,4289,112,124,119
70,"Apr 25, 2020",37190,655,783,800,4409,120,119,115
71,"Apr 26, 2020",37845,655,705,742,4475,66,99,113
72,"Apr 27, 2020",38245,400,570,691,4518,43,76,110
73,"Apr 28, 2020",38416,171,409,612,4566,48,53,92
74,"Apr 29, 2020",38802,386,319,565,4711,145,78,94
75,"Apr 30, 2020",39316,514,357,513,4795,84,93,89
76,"May 01, 2020",39791,475,458,465,4893,98,109,86
77,"May 02, 2020",40236,445,478,435,4987,94,92,82
78,"May 03, 2020",40571,335,418,390,5056,69,87,83
79,"May 04, 2020",40770,199,327,360,5082,26,63,81
80,"May 05, 2020",41087,317,283,382,5168,86,60,86
81,"May 06, 2020",41319,232,250,359,5204,36,49,70
82,"May 07, 2020",41774,455,334,352,5288,84,69,71
83,"May 08, 2020",42093,319,336,328,5359,71,64,66
84,"May 09, 2020",42382,289,354,307,5422,63,72,63
85,"May 10, 2020",42627,245,284,294,5440,18,51,54
86,"May 11, 2020",42788,161,232,288,5456,16,32,54
87,"May 12, 2020",42984,196,201,271,5510,54,30,49
88,"May 13, 2020",43211,227,194,270,5562,52,40,51
89,"May 14, 2020",43481,270,231,244,5590,28,45,43
90,"May 15, 2020",43681,200,233,227,5643,53,44,41
91,"May 16, 2020",43870,189,219,213,5670,27,36,35
92,"May 17, 2020",43995,125,172,195,5680,10,30,34
93,"May 18, 2020",44141,146,153,193,5694,14,17,34
94,"May 19, 2020",44249,108,126,181,5715,21,15,30
95,"May 20, 2020",44447,198,151,177,5748,33,23,26
96,"May 21, 2020",44700,253,186,174,5775,27,27,27
97,"May 22, 2020",44888,188,213,172,5788,13,24,20
98,"May 23, 2020",45064,176,206,171,5811,23,21,20
99,"May 24, 2020",45236,172,179,177,5822,11,16,21
100,"May 25, 2020",45445,209,185,186,5830,8,14,19
101,"May 26, 2020",45578,133,172,190,5856,26,15,20
102,"May 27, 2020",45768,190,177,189,5871,15,16,18
