Days,Date,0_Cases,1_DailyCases,2_DailyCases- 3-daymovingaverage,3_DailyCases- 7-daymovingaverage,4_CurrentlyInfected,5_Deaths,6_DailyDeaths,7_DailyDeaths- 3-daymovingaverage,8_DailyDeaths- 7-daymovingaverage
0,"Feb 15, 2020",0,0,0,0,0,0,0,0,0
1,"Feb 16, 2020",0,0,0,0,0,0,0,0,0
2,"Feb 17, 2020",0,0,0,0,0,0,0,0,0
3,"Feb 18, 2020",0,0,0,0,0,0,0,0,0
4,"Feb 19, 2020",0,0,0,0,0,0,0,0,0
5,"Feb 20, 2020",0,0,0,0,0,0,0,0,0
6,"Feb 21, 2020",0,0,0,0,0,0,0,0,0
7,"Feb 22, 2020",0,0,0,0,0,0,0,0,0
8,"Feb 23, 2020",0,0,0,0,0,0,0,0,0
9,"Feb 24, 2020",0,0,0,0,0,0,0,0,0
10,"Feb 25, 2020",0,0,0,0,0,0,0,0,0
11,"Feb 26, 2020",0,0,0,0,0,0,0,0,0
12,"Feb 27, 2020",0,0,0,0,0,0,0,0,0
13,"Feb 28, 2020",1,0,0,0,1,0,0,0,0
14,"Feb 29, 2020",1,0,0,0,1,0,0,0,0
15,"Mar 01, 2020",1,0,0,0,1,0,0,0,0
16,"Mar 02, 2020",1,0,0,0,1,0,0,0,0
17,"Mar 03, 2020",2,1,0,0,2,0,0,0,0
18,"Mar 04, 2020",3,1,1,0,3,0,0,0,0
19,"Mar 05, 2020",4,1,1,1,4,0,0,0,0
20,"Mar 06, 2020",4,0,1,0,4,0,0,0,0
21,"Mar 07, 2020",5,1,0,1,5,0,0,0,0
22,"Mar 08, 2020",5,0,1,0,5,0,0,0,0
23,"Mar 09, 2020",5,0,0,1,5,0,0,0,0
24,"Mar 10, 2020",5,0,0,0,5,0,0,0,0
25,"Mar 11, 2020",5,0,0,1,5,0,0,0,0
26,"Mar 12, 2020",5,0,0,0,5,0,0,0,0
27,"Mar 13, 2020",6,1,0,0,6,0,0,0,0
28,"Mar 14, 2020",8,2,1,1,8,0,0,0,0
29,"Mar 15, 2020",8,0,1,0,8,0,0,0,0
30,"Mar 16, 2020",8,0,1,0,8,0,0,0,0
31,"Mar 17, 2020",20,12,4,3,20,0,0,0,0
32,"Mar 18, 2020",20,0,4,2,20,0,0,0,0
33,"Mar 19, 2020",28,8,7,3,28,0,0,0,0
34,"Mar 20, 2020",52,24,10,7,52,0,0,0,0
35,"Mar 21, 2020",52,0,11,6,52,0,0,0,0
36,"Mar 22, 2020",102,50,25,13,102,0,0,0,0
37,"Mar 23, 2020",102,0,16,14,102,0,0,0,0
38,"Mar 24, 2020",205,103,51,26,183,0,0,0,0
39,"Mar 25, 2020",283,78,61,38,256,0,0,0,0
40,"Mar 26, 2020",368,85,88,48,331,0,0,0,0
41,"Mar 27, 2020",368,0,55,45,331,0,0,0,0
42,"Mar 28, 2020",514,146,77,66,457,1,1,0,0
43,"Mar 29, 2020",514,0,48,59,457,1,0,0,0
44,"Mar 30, 2020",589,75,74,70,525,1,0,0,0
45,"Mar 31, 2020",647,58,44,63,572,1,0,0,0
46,"Apr 01, 2020",708,61,65,61,624,1,0,0,0
47,"Apr 02, 2020",797,89,69,61,704,1,0,0,0
48,"Apr 03, 2020",868,71,74,71,764,1,0,0,0
49,"Apr 04, 2020",950,82,81,63,822,1,0,0,0
50,"Apr 05, 2020",1039,89,80,75,882,1,0,0,0
51,"Apr 06, 2020",1106,67,80,74,929,1,0,0,0
52,"Apr 07, 2020",1160,54,70,73,918,1,0,0,0
53,"Apr 08, 2020",1210,50,57,72,927,1,0,0,0
54,"Apr 09, 2020",1239,29,44,63,921,1,0,0,0
55,"Apr 10, 2020",1283,44,41,59,908,2,1,0,0
56,"Apr 11, 2020",1312,29,34,52,886,4,2,1,1
57,"Apr 12, 2020",1330,18,30,41,855,4,0,1,0
58,"Apr 13, 2020",1349,19,22,35,798,5,1,1,1
59,"Apr 14, 2020",1366,17,18,29,729,9,4,2,1
60,"Apr 15, 2020",1386,20,19,26,649,9,0,2,1
61,"Apr 16, 2020",1401,15,17,23,622,9,0,1,1
62,"Apr 17, 2020",1409,8,15,18,582,11,2,1,1
63,"Apr 18, 2020",1422,13,12,15,544,11,0,0,1
64,"Apr 19, 2020",1431,9,10,15,507,12,1,1,1
65,"Apr 20, 2020",1440,9,10,13,454,12,0,1,1
66,"Apr 21, 2020",1445,5,8,11,426,13,1,0,1
67,"Apr 22, 2020",1448,3,5,9,398,14,1,1,1
68,"Apr 23, 2020",1451,3,4,7,370,16,2,1,1
