Days,Date,0_Cases,1_DailyCases,2_DailyCases- 3-daymovingaverage,3_DailyCases- 7-daymovingaverage,4_CurrentlyInfected,5_Deaths,6_DailyDeaths,7_DailyDeaths- 3-daymovingaverage,8_DailyDeaths- 7-daymovingaverage
0,"Feb 15, 2020",0,0,0,0,0,0,0,0,0
1,"Feb 16, 2020",0,0,0,0,0,0,0,0,0
2,"Feb 17, 2020",0,0,0,0,0,0,0,0,0
3,"Feb 18, 2020",0,0,0,0,0,0,0,0,0
4,"Feb 19, 2020",0,0,0,0,0,0,0,0,0
5,"Feb 20, 2020",0,0,0,0,0,0,0,0,0
6,"Feb 21, 2020",0,0,0,0,0,0,0,0,0
7,"Feb 22, 2020",0,0,0,0,0,0,0,0,0
8,"Feb 23, 2020",0,0,0,0,0,0,0,0,0
9,"Feb 24, 2020",0,0,0,0,0,0,0,0,0
10,"Feb 25, 2020",0,0,0,0,0,0,0,0,0
11,"Feb 26, 2020",0,0,0,0,0,0,0,0,0
12,"Feb 27, 2020",0,0,0,0,0,0,0,0,0
13,"Feb 28, 2020",0,0,0,0,0,0,0,0,0
14,"Feb 29, 2020",0,0,0,0,0,0,0,0,0
15,"Mar 01, 2020",0,0,0,0,0,0,0,0,0
16,"Mar 02, 2020",0,0,0,0,0,0,0,0,0
17,"Mar 03, 2020",0,0,0,0,0,0,0,0,0
18,"Mar 04, 2020",0,0,0,0,0,0,0,0,0
19,"Mar 05, 2020",0,0,0,0,0,0,0,0,0
20,"Mar 06, 2020",0,0,0,0,0,0,0,0,0
21,"Mar 07, 2020",0,0,0,0,0,0,0,0,0
22,"Mar 08, 2020",0,0,0,0,0,0,0,0,0
23,"Mar 09, 2020",0,0,0,0,0,0,0,0,0
24,"Mar 10, 2020",0,0,0,0,0,0,0,0,0
25,"Mar 11, 2020",0,0,0,0,0,0,0,0,0
26,"Mar 12, 2020",0,0,0,0,0,0,0,0,0
27,"Mar 13, 2020",0,0,0,0,0,0,0,0,0
28,"Mar 14, 2020",0,0,0,0,0,0,0,0,0
29,"Mar 15, 2020",0,0,0,0,0,0,0,0,0
30,"Mar 16, 2020",0,0,0,0,0,0,0,0,0
31,"Mar 17, 2020",0,0,0,0,0,0,0,0,0
32,"Mar 18, 2020",0,0,0,0,0,0,0,0,0
33,"Mar 19, 2020",1,0,0,0,1,0,0,0,0
34,"Mar 20, 2020",1,0,0,0,1,0,0,0,0
35,"Mar 21, 2020",1,0,0,0,1,0,0,0,0
36,"Mar 22, 2020",2,1,0,0,2,0,0,0,0
37,"Mar 23, 2020",3,1,1,0,3,0,0,0,0
38,"Mar 24, 2020",3,0,1,1,3,0,0,0,0
39,"Mar 25, 2020",7,4,1,1,6,1,0,0,0
40,"Mar 26, 2020",10,3,3,1,9,1,0,0,0
41,"Mar 27, 2020",10,0,2,1,9,1,0,0,0
42,"Mar 28, 2020",10,0,1,1,9,1,0,0,0
43,"Mar 29, 2020",18,8,3,3,17,1,0,0,0
44,"Mar 30, 2020",27,9,5,3,24,3,2,1,0
45,"Mar 31, 2020",34,7,8,5,31,3,0,0,1
46,"Apr 01, 2020",74,40,19,9,69,5,2,2,0
47,"Apr 02, 2020",98,24,24,13,93,5,0,0,1
48,"Apr 03, 2020",120,22,28,15,115,5,0,1,0
49,"Apr 04, 2020",144,24,24,20,136,8,3,1,1
50,"Apr 05, 2020",184,40,28,23,161,10,2,2,2
51,"Apr 06, 2020",253,69,45,33,217,10,0,1,1
52,"Apr 07, 2020",278,25,44,34,241,11,1,1,1
53,"Apr 08, 2020",342,64,53,39,303,11,0,1,1
54,"Apr 09, 2020",410,68,52,44,359,11,0,0,0
55,"Apr 10, 2020",438,28,54,46,386,11,0,0,1
56,"Apr 11, 2020",491,53,49,49,439,11,0,0,1
57,"Apr 12, 2020",529,38,40,50,442,12,1,0,0
58,"Apr 13, 2020",548,19,37,42,449,13,1,1,0
59,"Apr 14, 2020",570,22,26,41,466,14,1,1,1
60,"Apr 15, 2020",584,14,18,35,480,14,0,1,0
61,"Apr 16, 2020",584,0,12,25,480,14,0,0,1
62,"Apr 17, 2020",627,43,19,27,499,18,4,1,1
63,"Apr 18, 2020",639,12,19,21,507,19,1,2,1
64,"Apr 19, 2020",648,9,21,17,511,20,1,2,1
65,"Apr 20, 2020",648,0,7,14,511,20,0,1,1
66,"Apr 21, 2020",657,9,6,13,510,20,0,0,1
67,"Apr 22, 2020",662,5,5,11,447,22,2,1,1
68,"Apr 23, 2020",671,9,7,12,391,24,2,1,1
69,"Apr 24, 2020",681,10,8,8,368,24,0,1,1
