Days,Date,0_Cases,1_DailyCases,2_DailyCases- 3-daymovingaverage,3_DailyCases- 7-daymovingaverage,4_CurrentlyInfected,5_Deaths,6_DailyDeaths,7_DailyDeaths- 3-daymovingaverage,8_DailyDeaths- 7-daymovingaverage
0,"Feb 15, 2020",0,0,0,0,0,0,0,0,0
1,"Feb 16, 2020",0,0,0,0,0,0,0,0,0
2,"Feb 17, 2020",0,0,0,0,0,0,0,0,0
3,"Feb 18, 2020",0,0,0,0,0,0,0,0,0
4,"Feb 19, 2020",0,0,0,0,0,0,0,0,0
5,"Feb 20, 2020",0,0,0,0,0,0,0,0,0
6,"Feb 21, 2020",0,0,0,0,0,0,0,0,0
7,"Feb 22, 2020",0,0,0,0,0,0,0,0,0
8,"Feb 23, 2020",0,0,0,0,0,0,0,0,0
9,"Feb 24, 2020",0,0,0,0,0,0,0,0,0
10,"Feb 25, 2020",0,0,0,0,0,0,0,0,0
11,"Feb 26, 2020",0,0,0,0,0,0,0,0,0
12,"Feb 27, 2020",0,0,0,0,0,0,0,0,0
13,"Feb 28, 2020",1,1,0,0,1,0,0,0,0
14,"Feb 29, 2020",1,0,0,0,1,0,0,0,0
15,"Mar 01, 2020",1,0,0,0,1,0,0,0,0
16,"Mar 02, 2020",1,0,0,0,1,0,0,0,0
17,"Mar 03, 2020",1,0,0,0,1,0,0,0,0
18,"Mar 04, 2020",1,0,0,0,1,0,0,0,0
19,"Mar 05, 2020",1,0,0,0,1,0,0,0,0
20,"Mar 06, 2020",1,0,0,0,1,0,0,0,0
21,"Mar 07, 2020",1,0,0,0,1,0,0,0,0
22,"Mar 08, 2020",1,0,0,0,1,0,0,0,0
23,"Mar 09, 2020",2,1,0,0,2,0,0,0,0
24,"Mar 10, 2020",2,0,1,0,2,0,0,0,0
25,"Mar 11, 2020",2,0,0,0,2,0,0,0,0
26,"Mar 12, 2020",2,0,0,1,2,0,0,0,0
27,"Mar 13, 2020",2,0,0,0,2,0,0,0,0
28,"Mar 14, 2020",2,0,0,0,2,0,0,0,0
29,"Mar 15, 2020",2,0,0,0,1,0,0,0,0
30,"Mar 16, 2020",2,0,0,0,1,0,0,0,0
31,"Mar 17, 2020",3,1,0,0,2,0,0,0,0
32,"Mar 18, 2020",8,5,2,1,7,0,0,0,0
33,"Mar 19, 2020",12,4,4,1,11,0,0,0,0
34,"Mar 20, 2020",12,0,3,2,11,0,0,0,0
35,"Mar 21, 2020",22,10,4,3,21,0,0,0,0
36,"Mar 22, 2020",30,8,6,4,28,0,0,0,0
37,"Mar 23, 2020",40,10,10,5,37,1,1,0,0
38,"Mar 24, 2020",44,4,7,6,41,1,0,0,0
39,"Mar 25, 2020",51,7,7,6,48,1,0,0,0
40,"Mar 26, 2020",65,14,8,8,61,1,0,0,0
41,"Mar 27, 2020",70,5,9,8,66,1,0,0,0
42,"Mar 28, 2020",97,27,15,11,93,1,0,0,0
43,"Mar 29, 2020",111,14,16,11,107,1,0,0,0
44,"Mar 30, 2020",131,20,20,13,121,2,1,0,0
45,"Mar 31, 2020",135,4,13,13,125,2,0,1,0
46,"Apr 01, 2020",174,39,21,18,163,2,0,0,0
47,"Apr 02, 2020",184,10,17,17,162,2,0,0,1
48,"Apr 03, 2020",210,26,25,20,181,4,2,1,0
49,"Apr 04, 2020",214,4,14,17,185,4,0,0,0
50,"Apr 05, 2020",232,18,16,17,194,5,1,1,1
51,"Apr 06, 2020",238,6,9,15,198,5,0,1,0
52,"Apr 07, 2020",254,16,13,17,204,6,1,0,1
53,"Apr 08, 2020",276,22,15,15,226,6,0,1,1
54,"Apr 09, 2020",288,12,17,15,230,7,1,0,0
55,"Apr 10, 2020",305,17,17,13,240,7,0,1,1
56,"Apr 11, 2020",318,13,14,15,238,10,3,1,1
57,"Apr 12, 2020",323,5,11,13,228,10,0,1,0
58,"Apr 13, 2020",343,20,13,15,242,10,0,1,1
59,"Apr 14, 2020",373,30,18,17,263,11,1,0,1
60,"Apr 15, 2020",407,34,28,19,267,12,1,1,1
61,"Apr 16, 2020",442,35,33,22,277,13,1,1,0
62,"Apr 17, 2020",493,51,40,27,317,17,4,2,2
63,"Apr 18, 2020",542,49,45,32,357,19,2,2,1
64,"Apr 19, 2020",627,85,62,43,436,21,2,3,2
65,"Apr 20, 2020",665,38,57,46,455,22,1,2,1
66,"Apr 21, 2020",782,117,80,58,560,25,3,2,2
67,"Apr 22, 2020",873,91,82,67,648,28,3,2,3
68,"Apr 23, 2020",981,108,106,77,753,31,3,3,2
69,"Apr 24, 2020",1095,114,104,86,855,32,1,2,2
