Days,Date,0_Cases,1_DailyCases,2_DailyCases- 3-daymovingaverage,3_DailyCases- 7-daymovingaverage,4_CurrentlyInfected,5_Deaths,6_DailyDeaths,7_DailyDeaths- 3-daymovingaverage,8_DailyDeaths- 7-daymovingaverage
0,"Feb 15, 2020",0,0,0,0,0,0,0,0,0
1,"Feb 16, 2020",0,0,0,0,0,0,0,0,0
2,"Feb 17, 2020",0,0,0,0,0,0,0,0,0
3,"Feb 18, 2020",0,0,0,0,0,0,0,0,0
4,"Feb 19, 2020",0,0,0,0,0,0,0,0,0
5,"Feb 20, 2020",0,0,0,0,0,0,0,0,0
6,"Feb 21, 2020",0,0,0,0,0,0,0,0,0
7,"Feb 22, 2020",0,0,0,0,0,0,0,0,0
8,"Feb 23, 2020",0,0,0,0,0,0,0,0,0
9,"Feb 24, 2020",0,0,0,0,0,0,0,0,0
10,"Feb 25, 2020",0,0,0,0,0,0,0,0,0
11,"Feb 26, 2020",1,0,0,0,1,0,0,0,0
12,"Feb 27, 2020",4,3,0,0,4,0,0,0,0
13,"Feb 28, 2020",6,2,2,1,6,0,0,0,0
14,"Feb 29, 2020",15,9,4,2,15,0,0,0,0
15,"Mar 01, 2020",19,4,5,2,19,0,0,0,0
16,"Mar 02, 2020",25,6,7,4,25,0,0,0,0
17,"Mar 03, 2020",33,8,6,5,33,0,0,0,0
18,"Mar 04, 2020",59,26,13,8,59,0,0,0,0
19,"Mar 05, 2020",94,35,23,13,94,0,0,0,0
20,"Mar 06, 2020",127,33,31,17,126,0,0,0,0
21,"Mar 07, 2020",156,29,33,20,156,0,0,0,0
22,"Mar 08, 2020",176,20,27,23,175,0,0,0,0
23,"Mar 09, 2020",227,51,33,29,226,0,0,0,0
24,"Mar 10, 2020",400,173,82,52,399,0,0,0,0
25,"Mar 11, 2020",629,229,151,81,628,0,0,0,0
26,"Mar 12, 2020",800,171,191,101,798,1,1,0,0
27,"Mar 13, 2020",996,196,198,124,994,1,0,0,0
28,"Mar 14, 2020",1109,113,160,137,1105,3,2,1,0
29,"Mar 15, 2020",1256,147,152,154,1252,3,0,0,0
30,"Mar 16, 2020",1348,92,118,160,1344,3,0,1,1
31,"Mar 17, 2020",1471,123,120,153,1467,3,0,0,0
32,"Mar 18, 2020",1591,120,112,137,1584,6,3,1,1
33,"Mar 19, 2020",1790,199,147,142,1782,7,1,1,1
34,"Mar 20, 2020",1959,169,163,137,1951,7,0,2,1
35,"Mar 21, 2020",2164,205,191,151,2151,7,0,0,0
36,"Mar 22, 2020",2385,221,198,161,2372,7,0,0,1
37,"Mar 23, 2020",2625,240,222,183,2609,10,3,1,1
38,"Mar 24, 2020",2866,241,234,199,2848,12,2,2,1
39,"Mar 25, 2020",3084,218,233,213,3064,14,2,2,1
40,"Mar 26, 2020",3372,288,249,226,3352,14,0,1,1
41,"Mar 27, 2020",3771,399,302,259,3745,19,5,3,2
42,"Mar 28, 2020",4015,244,310,265,3985,23,4,3,2
43,"Mar 29, 2020",4284,269,304,271,4251,26,3,4,3
44,"Mar 30, 2020",4445,161,225,260,4401,32,6,4,3
45,"Mar 31, 2020",4641,196,209,254,4589,39,7,5,4
46,"Apr 01, 2020",4877,236,197,256,4820,44,5,6,4
47,"Apr 02, 2020",5147,270,234,253,5065,50,6,6,5
48,"Apr 03, 2020",5370,223,243,229,5279,59,9,7,6
49,"Apr 04, 2020",5550,180,225,219,5456,62,3,6,6
50,"Apr 05, 2020",5687,137,180,200,5584,71,9,7,6
51,"Apr 06, 2020",5865,178,165,203,5757,76,5,6,6
52,"Apr 07, 2020",6086,221,178,207,5965,89,13,9,7
53,"Apr 08, 2020",6042,-44,119,166,5909,101,12,10,9
54,"Apr 09, 2020",6219,177,118,153,6079,108,7,10,8
55,"Apr 10, 2020",6314,95,76,135,6169,113,5,8,8
56,"Apr 11, 2020",6409,95,122,123,6258,119,6,6,8
57,"Apr 12, 2020",6525,116,102,120,6365,128,9,7,8
58,"Apr 13, 2020",6603,78,96,105,6437,134,6,7,8
59,"Apr 14, 2020",6623,20,72,77,6452,139,5,7,7
60,"Apr 15, 2020",6797,174,90,108,6615,150,11,7,7
61,"Apr 16, 2020",6905,108,101,98,6721,152,2,6,7
62,"Apr 17, 2020",6937,32,105,89,6744,161,9,7,6
63,"Apr 18, 2020",7036,99,79,89,6840,164,3,5,7
64,"Apr 19, 2020",7078,42,58,79,6881,165,1,4,5
65,"Apr 20, 2020",7156,78,73,79,6943,181,16,7,7
66,"Apr 21, 2020",7241,85,68,88,7027,182,1,6,6
