Days,Date,0_Cases,1_DailyCases,2_DailyCases- 3-daymovingaverage,3_DailyCases- 7-daymovingaverage,4_CurrentlyInfected,5_Deaths,6_DailyDeaths,7_DailyDeaths- 3-daymovingaverage,8_DailyDeaths- 7-daymovingaverage
0,"Feb 15, 2020",0,0,0,0,0,0,0,0,0
1,"Feb 16, 2020",0,0,0,0,0,0,0,0,0
2,"Feb 17, 2020",0,0,0,0,0,0,0,0,0
3,"Feb 18, 2020",0,0,0,0,0,0,0,0,0
4,"Feb 19, 2020",0,0,0,0,0,0,0,0,0
5,"Feb 20, 2020",0,0,0,0,0,0,0,0,0
6,"Feb 21, 2020",0,0,0,0,0,0,0,0,0
7,"Feb 22, 2020",0,0,0,0,0,0,0,0,0
8,"Feb 23, 2020",0,0,0,0,0,0,0,0,0
9,"Feb 24, 2020",2,0,0,0,2,0,0,0,0
10,"Feb 25, 2020",4,2,1,0,4,0,0,0,0
11,"Feb 26, 2020",4,0,1,0,4,0,0,0,0
12,"Feb 27, 2020",6,2,2,1,6,0,0,0,0
13,"Feb 28, 2020",6,0,0,1,6,0,0,0,0
14,"Feb 29, 2020",6,0,1,1,5,0,0,0,0
15,"Mar 01, 2020",6,0,0,1,5,0,0,0,0
16,"Mar 02, 2020",6,0,0,0,4,0,0,0,0
17,"Mar 03, 2020",12,6,2,2,10,0,0,0,0
18,"Mar 04, 2020",15,3,3,1,13,0,0,0,0
19,"Mar 05, 2020",16,1,3,2,14,0,0,0,0
20,"Mar 06, 2020",16,0,2,1,14,0,0,0,0
21,"Mar 07, 2020",16,0,0,1,14,0,0,0,0
22,"Mar 08, 2020",16,0,0,2,14,0,0,0,0
23,"Mar 09, 2020",18,2,1,2,9,0,0,0,0
24,"Mar 10, 2020",18,0,0,0,9,0,0,0,0
25,"Mar 11, 2020",18,0,1,1,9,0,0,0,0
26,"Mar 12, 2020",18,0,0,0,9,0,0,0,0
27,"Mar 13, 2020",19,1,0,1,10,0,0,0,0
28,"Mar 14, 2020",20,1,1,0,11,0,0,0,0
29,"Mar 15, 2020",22,2,1,1,13,0,0,0,0
30,"Mar 16, 2020",24,2,2,1,15,0,0,0,0
31,"Mar 17, 2020",33,9,4,2,21,0,0,0,0
32,"Mar 18, 2020",39,6,6,3,26,0,0,0,0
33,"Mar 19, 2020",48,9,8,4,35,0,0,0,0
34,"Mar 20, 2020",48,0,5,4,35,0,0,0,0
35,"Mar 21, 2020",52,4,4,5,39,0,0,0,0
36,"Mar 22, 2020",55,3,3,5,38,0,0,0,0
37,"Mar 23, 2020",66,11,6,6,49,0,0,0,0
38,"Mar 24, 2020",84,18,10,7,67,0,0,0,0
39,"Mar 25, 2020",99,15,15,9,82,0,0,0,0
40,"Mar 26, 2020",109,10,14,8,86,0,0,0,0
41,"Mar 27, 2020",131,22,16,12,108,0,0,0,0
42,"Mar 28, 2020",152,21,18,14,129,0,0,0,0
43,"Mar 29, 2020",167,15,19,16,144,0,0,0,0
44,"Mar 30, 2020",179,12,16,17,150,0,0,0,0
45,"Mar 31, 2020",192,13,13,15,157,1,1,0,0
46,"Apr 01, 2020",210,18,15,16,175,1,0,0,0
47,"Apr 02, 2020",231,21,17,17,173,1,0,0,0
48,"Apr 03, 2020",252,21,20,18,194,1,0,0,0
49,"Apr 04, 2020",277,25,22,17,214,2,1,0,0
50,"Apr 05, 2020",298,21,23,19,235,2,0,1,0
51,"Apr 06, 2020",331,33,26,22,268,2,0,0,0
52,"Apr 07, 2020",371,40,31,25,302,2,0,0,1
53,"Apr 08, 2020",419,48,41,30,345,2,0,0,0
54,"Apr 09, 2020",457,38,42,33,345,3,1,0,0
55,"Apr 10, 2020",484,27,37,33,372,3,0,1,0
56,"Apr 11, 2020",546,62,43,38,434,3,0,0,0
57,"Apr 12, 2020",599,53,47,43,486,4,1,0,1
58,"Apr 13, 2020",727,128,81,57,599,4,0,1,0
59,"Apr 14, 2020",813,86,89,63,679,4,0,0,0
60,"Apr 15, 2020",910,97,104,70,775,4,0,0,1
61,"Apr 16, 2020",1019,109,97,80,839,4,0,0,0
62,"Apr 17, 2020",1069,50,85,84,887,6,2,1,0
63,"Apr 18, 2020",1180,111,90,90,998,6,0,0,1
64,"Apr 19, 2020",1266,86,83,96,1026,7,1,1,0
65,"Apr 20, 2020",1410,144,113,97,1165,7,0,1,0
66,"Apr 21, 2020",1508,98,110,100,1262,8,1,0,1
67,"Apr 22, 2020",1614,106,116,100,1368,8,0,1,1
68,"Apr 23, 2020",1716,102,102,100,1400,9,1,0,0
