Days,Date,0_DeathRate,1_RecoveryRate,2_Cases,3_DailyCases,4_DailyCases- 3-daymovingaverage,5_DailyCases- 7-daymovingaverage,6_CurrentlyInfected,7_Deaths,8_DailyDeaths,9_DailyDeaths- 3-daymovingaverage,10_DailyDeaths- 7-daymovingaverage,11_NewRecoveries,12_NewCases,13_DeathRate,14_RecoveryRate
0,"Feb 15, 2020",0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
1,"Feb 16, 2020",0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
2,"Feb 17, 2020",0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
3,"Feb 18, 2020",0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
4,"Feb 19, 2020",0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
5,"Feb 20, 2020",0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
6,"Feb 21, 2020",0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
7,"Feb 22, 2020",0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
8,"Feb 23, 2020",0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
9,"Feb 24, 2020",0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
10,"Feb 25, 2020",0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
11,"Feb 26, 2020",0.000,0.000,2,0,0,0,2,0,0,0,0,0,0,0.000,0.000
12,"Feb 27, 2020",0.000,0.000,2,0,0,0,2,0,0,0,0,0,0,0.000,0.000
13,"Feb 28, 2020",0.000,0.000,2,0,1,0,2,0,0,0,0,0,0,0.000,0.000
14,"Feb 29, 2020",0.000,0.000,4,2,1,0,4,0,0,0,0,0,2,0.000,0.000
15,"Mar 01, 2020",0.000,0.000,4,0,0,1,4,0,0,0,0,0,0,0.000,0.000
16,"Mar 02, 2020",0.000,0.000,4,0,1,1,4,0,0,0,0,0,0,0.000,0.000
17,"Mar 03, 2020",0.000,0.000,5,1,0,0,5,0,0,0,0,0,1,0.000,0.000
18,"Mar 04, 2020",0.000,0.000,5,0,1,1,5,0,0,0,0,0,0,0.000,0.000
19,"Mar 05, 2020",0.000,0.000,5,0,0,0,5,0,0,0,0,0,0,0.000,0.000
20,"Mar 06, 2020",0.000,100.000,6,1,0,1,5,0,0,0,0,1,1,0.000,100.000
21,"Mar 07, 2020",0.000,100.000,6,0,1,0,5,0,0,0,0,0,0,0.000,100.000
22,"Mar 08, 2020",0.000,100.000,7,1,0,0,6,0,0,0,0,0,1,0.000,100.000
23,"Mar 09, 2020",0.000,100.000,16,9,4,2,15,0,0,0,0,0,9,0.000,100.000
24,"Mar 10, 2020",0.000,100.000,19,3,4,2,17,0,0,0,0,1,3,0.000,100.000
25,"Mar 11, 2020",0.000,100.000,20,1,4,2,18,0,0,0,0,0,1,0.000,100.000
26,"Mar 12, 2020",0.000,100.000,21,1,2,3,19,0,0,0,0,0,1,0.000,100.000
27,"Mar 13, 2020",0.000,100.000,28,7,3,3,26,0,0,0,0,0,7,0.000,100.000
28,"Mar 14, 2020",0.000,100.000,33,5,4,4,31,0,0,0,0,0,5,0.000,100.000
29,"Mar 15, 2020",0.000,100.000,53,20,11,6,51,0,0,0,0,0,20,0.000,100.000
30,"Mar 16, 2020",0.000,100.000,184,131,52,24,182,0,0,0,0,0,131,0.000,100.000
31,"Mar 17, 2020",0.000,100.000,247,63,71,33,245,0,0,0,0,0,63,0.000,100.000
32,"Mar 18, 2020",13.330,86.670,307,60,85,41,292,2,2,0,0,11,60,13.330,86.670
33,"Mar 19, 2020",13.330,86.670,454,147,90,62,439,2,0,0,0,0,147,13.330,86.670
34,"Mar 20, 2020",18.750,81.250,501,47,85,67,485,3,1,1,0,0,47,18.750,81.250
35,"Mar 21, 2020",18.750,81.250,645,144,112,88,629,3,0,1,0,0,144,18.750,81.250
36,"Mar 22, 2020",27.780,72.220,776,131,108,103,758,5,2,1,1,0,131,27.780,72.220
37,"Mar 23, 2020",31.580,68.420,875,99,124,99,856,6,1,1,1,0,99,31.580,68.420
38,"Mar 24, 2020",28.000,72.000,972,97,109,103,947,7,1,1,1,5,97,28.000,72.000
39,"Mar 25, 2020",27.590,72.410,1063,91,96,108,1034,8,1,1,1,3,91,27.590,72.410
40,"Mar 26, 2020",30.000,70.000,1201,138,109,107,1171,9,1,1,1,0,138,30.000,70.000
41,"Mar 27, 2020",32.350,67.650,1373,172,133,124,1339,11,2,1,1,2,172,32.350,67.650
42,"Mar 28, 2020",29.270,70.730,1495,122,144,122,1454,12,1,2,1,6,122,29.270,70.730
43,"Mar 29, 2020",32.560,67.440,1597,102,132,117,1554,14,2,1,2,0,102,32.560,67.440
44,"Mar 30, 2020",21.650,78.350,1717,120,115,120,1620,21,7,4,2,47,120,21.650,78.350
45,"Mar 31, 2020",25.490,74.510,1938,221,148,138,1836,26,5,4,2,0,221,25.490,74.510
46,"Apr 01, 2020",22.310,77.690,2118,180,173,151,1997,27,1,5,3,18,180,22.310,77.690
47,"Apr 02, 2020",21.380,78.620,2421,303,235,174,2262,34,7,4,4,31,303,21.380,78.620
48,"Apr 03, 2020",24.100,75.900,2686,265,249,188,2520,40,6,5,4,1,265,24.100,75.900
49,"Apr 04, 2020",23.840,76.160,2818,132,234,189,2646,41,1,4,4,5,132,23.840,76.160
50,"Apr 05, 2020",18.220,81.780,3157,339,245,223,2899,47,6,5,5,80,339,18.220,81.780
51,"Apr 06, 2020",16.990,83.010,3766,609,360,293,3454,53,6,4,4,48,609,16.990,83.010
52,"Apr 07, 2020",11.730,88.270,4035,269,406,299,3549,57,4,5,5,170,269,11.730,88.270
53,"Apr 08, 2020",11.550,88.450,4263,228,368,307,3735,61,4,5,5,38,228,11.550,88.450
54,"Apr 09, 2020",10.200,89.800,4489,226,241,295,3852,65,4,4,4,105,226,10.200,89.800
55,"Apr 10, 2020",8.320,91.680,4695,206,220,287,3902,66,1,3,4,155,206,8.320,91.680
56,"Apr 11, 2020",10.250,89.750,5011,316,250,313,4162,87,21,9,6,35,316,10.250,89.750
57,"Apr 12, 2020",8.210,91.790,5230,219,247,296,4110,92,5,9,7,266,219,8.210,91.790
58,"Apr 13, 2020",7.910,92.090,5496,266,267,248,4307,94,2,9,6,67,266,7.910,92.090
59,"Apr 14, 2020",6.580,93.420,5837,341,275,257,4362,97,3,3,5,283,341,6.580,93.420
60,"Apr 15, 2020",7.250,92.750,6383,546,384,303,4824,113,16,7,8,68,546,7.250,92.750
61,"Apr 16, 2020",7.380,92.620,6919,536,475,347,5143,131,18,13,9,199,536,7.380,92.620
62,"Apr 17, 2020",7.250,92.750,7025,106,396,333,5122,138,7,13,10,120,106,7.250,92.750
63,"Apr 18, 2020",7.380,92.620,7638,613,418,375,5660,146,8,11,9,67,613,7.380,92.620
64,"Apr 19, 2020",8.430,91.570,8348,710,476,446,6308,172,26,14,11,36,710,8.430,91.570
65,"Apr 20, 2020",8.370,91.630,8892,544,623,485,6742,180,8,14,13,102,544,8.370,91.630
66,"Apr 21, 2020",9.040,90.960,9565,673,642,532,7286,206,26,20,15,103,673,9.040,90.960
67,"Apr 22, 2020",9.140,90.860,10076,511,576,528,7703,217,11,15,15,83,511,9.140,90.860
68,"Apr 23, 2020",9.350,90.650,11057,981,722,591,8479,241,24,20,16,181,981,9.350,90.650
69,"Apr 24, 2020",8.620,91.380,11940,883,791,702,8925,260,19,18,17,418,883,8.620,91.380
70,"Apr 25, 2020",8.810,91.190,12723,783,883,727,9580,277,17,20,19,111,783,8.810,91.190
71,"Apr 26, 2020",8.960,91.040,13328,605,757,711,10103,289,12,16,17,70,605,8.960,91.040
72,"Apr 27, 2020",9.010,90.990,13915,587,658,718,10586,300,11,14,17,93,587,9.010,90.990
73,"Apr 28, 2020",9.030,90.970,14612,697,630,721,11058,321,21,14,16,204,697,9.030,90.970
74,"Apr 29, 2020",9.340,90.660,15525,913,732,778,11747,353,32,22,20,192,913,9.340,90.660
75,"Apr 30, 2020",8.310,91.690,16473,948,853,774,11996,372,19,24,18,680,948,8.310,91.690
76,"May 01, 2020",8.990,91.010,18092,1619,1160,879,13311,430,58,36,25,246,1619,8.990,91.010
77,"May 02, 2020",8.670,91.330,19022,930,1165,899,13818,451,21,33,24,402,930,8.670,91.330
78,"May 03, 2020",8.450,91.550,20084,1062,1204,966,14498,472,21,33,27,361,1062,8.450,91.550
79,"May 04, 2020",8.030,91.970,20941,857,950,1003,14814,492,20,21,27,521,857,8.030,91.970
80,"May 05, 2020",8.400,91.600,22049,1108,1009,1063,15716,532,40,27,30,166,1108,8.400,91.600
81,"May 06, 2020",8.230,91.770,23214,1165,1043,1098,16370,563,31,30,30,480,1165,8.230,91.770
82,"May 07, 2020",8.570,91.430,24644,1430,1234,1167,17574,606,43,38,34,183,1430,8.570,91.430
83,"May 08, 2020",7.620,92.380,26435,1791,1462,1192,18284,621,15,30,27,1066,1791,7.620,92.380
84,"May 09, 2020",7.790,92.210,28736,2301,1841,1388,20267,660,39,32,30,279,2301,7.790,92.210
85,"May 10, 2020",7.820,92.180,30334,1598,1897,1464,21587,684,24,26,30,254,1598,7.820,92.180
86,"May 11, 2020",7.770,92.230,30941,607,1502,1429,22037,692,8,24,29,149,607,7.770,92.230
87,"May 12, 2020",8.070,91.930,32674,1733,1312,1518,23368,751,59,30,31,343,1733,8.070,91.930
88,"May 13, 2020",8.150,91.850,35298,2624,1655,1726,25609,790,39,35,32,344,2624,8.150,91.850
89,"May 14, 2020",7.610,92.390,35788,490,1616,1592,25294,799,9,36,28,796,490,7.610,92.390
90,"May 15, 2020",7.580,92.420,37218,1430,1514,1540,26230,833,34,27,30,460,1430,7.580,92.420
91,"May 16, 2020",7.360,92.640,38799,1581,1167,1438,27054,865,32,25,29,725,1581,7.360,92.640
92,"May 17, 2020",7.400,92.600,40151,1352,1455,1402,27904,906,41,36,32,461,1352,7.400,92.600
93,"May 18, 2020",7.290,92.710,42125,1974,1635,1598,29266,937,31,35,35,581,1974,7.290,92.710
94,"May 19, 2020",7.230,92.770,43966,1841,1723,1613,30503,974,37,36,32,567,1841,7.230,92.770
95,"May 20, 2020",7.240,92.760,45898,1932,1915,1515,31775,1022,48,39,33,612,1932,7.240,92.760
96,"May 21, 2020",6.940,93.060,48091,2193,1989,1757,32881,1055,33,39,37,1054,2193,6.940,93.060
97,"May 22, 2020",6.790,93.210,50694,2603,2243,1925,34386,1107,52,44,39,1046,2603,6.790,93.210
98,"May 23, 2020",6.420,93.580,52437,1743,2179,1949,34642,1142,35,40,39,1452,1743,6.420,93.580
99,"May 24, 2020",6.400,93.600,54601,2164,2170,2064,36228,1175,33,40,39,545,2164,6.400,93.600
100,"May 25, 2020",6.470,93.530,56349,1748,1885,2032,37657,1210,35,35,39,284,1748,6.470,93.530
101,"May 26, 2020",6.350,93.650,57705,1356,1756,1963,38150,1241,31,33,38,832,1356,6.350,93.650
102,"May 27, 2020",6.220,93.780,59151,1446,1517,1893,38739,1270,29,31,35,828,1446,6.220,93.780
103,"May 28, 2020",6.060,93.940,61227,2076,1626,1876,39690,1306,36,32,36,1089,2076,6.060,93.940
104,"May 29, 2020",5.770,94.230,64028,2801,2108,1905,40358,1365,59,42,37,2074,2801,5.770,94.230
105,"May 30, 2020",5.650,94.350,66457,2429,2435,2003,40880,1446,81,58,44,1826,2429,5.650,94.350
106,"May 31, 2020",5.740,94.260,69496,3039,2756,2128,42687,1538,92,78,51,1140,3039,5.740,94.260
107,"Jun 01, 2020",5.780,94.220,72460,2964,2811,2302,44777,1600,62,78,56,812,2964,5.780,94.220
108,"Jun 02, 2020",5.840,94.160,76398,3938,3314,2670,47607,1681,81,78,63,1027,3938,5.840,94.160
109,"Jun 03, 2020",5.710,94.290,80463,4065,3655,3045,49789,1751,70,71,69,1813,4065,5.710,94.290
110,"Jun 04, 2020",5.740,94.260,85264,4801,4268,3433,53300,1836,85,79,75,1205,4801,5.740,94.260
111,"Jun 05, 2020",5.760,94.240,89249,3985,4284,3603,56144,1907,71,75,78,1070,3985,5.760,94.240
112,"Jun 06, 2020",5.810,94.190,93983,4734,4507,3933,59394,2008,101,86,80,1383,4734,5.810,94.190
113,"Jun 07, 2020",5.850,94.150,98943,4960,4559,4206,63400,2078,70,81,77,884,4960,5.850,94.150
114,"Jun 08, 2020",5.880,94.120,103671,4728,4808,4459,67170,2146,68,79,78,890,4728,5.880,94.120
115,"Jun 09, 2020",6.050,93.950,108317,4646,4778,4560,71044,2255,109,83,82,663,4646,6.050,93.950
