Days,Date,0_CurrentlyInfected,1_DeathRate,2_RecoveryRate,3_Cases,4_DailyCases,5_DailyCases- 3-daymovingaverage,6_DailyCases- 7-daymovingaverage,7_CurrentlyInfected,8_Deaths,9_DailyDeaths,10_DailyDeaths- 3-daymovingaverage,11_DailyDeaths- 7-daymovingaverage,12_NewRecoveries,13_NewCases,14_DeathRate,15_RecoveryRate
0,"Feb 15, 2020",0,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
1,"Feb 16, 2020",0,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
2,"Feb 17, 2020",0,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
3,"Feb 18, 2020",0,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
4,"Feb 19, 2020",0,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
5,"Feb 20, 2020",0,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
6,"Feb 21, 2020",0,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
7,"Feb 22, 2020",0,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
8,"Feb 23, 2020",0,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
9,"Feb 24, 2020",0,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
10,"Feb 25, 2020",0,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
11,"Feb 26, 2020",0,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
12,"Feb 27, 2020",0,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
13,"Feb 28, 2020",0,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
14,"Feb 29, 2020",0,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
15,"Mar 01, 2020",0,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
16,"Mar 02, 2020",0,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
17,"Mar 03, 2020",0,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
18,"Mar 04, 2020",0,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
19,"Mar 05, 2020",0,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
20,"Mar 06, 2020",0,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
21,"Mar 07, 2020",0,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
22,"Mar 08, 2020",0,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
23,"Mar 09, 2020",0,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
24,"Mar 10, 2020",1,0.000,0.000,1,0,0,0,1,0,0,0,0,0,0,0.000,0.000
25,"Mar 11, 2020",13,100.000,0.000,14,13,0,0,13,1,1,0,0,0,13,100.000,0.000
26,"Mar 12, 2020",13,100.000,0.000,14,0,5,2,13,1,0,0,0,0,0,100.000,0.000
27,"Mar 13, 2020",26,100.000,0.000,27,13,8,4,26,1,0,0,0,0,13,100.000,0.000
28,"Mar 14, 2020",42,100.000,0.000,43,16,10,6,42,1,0,0,0,0,16,100.000,0.000
29,"Mar 15, 2020",54,100.000,0.000,55,12,14,8,54,1,0,0,0,0,12,100.000,0.000
30,"Mar 16, 2020",68,100.000,0.000,69,14,14,10,68,1,0,0,0,0,14,100.000,0.000
31,"Mar 17, 2020",68,100.000,0.000,69,0,8,10,68,1,0,0,0,0,0,100.000,0.000
32,"Mar 18, 2020",108,100.000,0.000,109,40,18,13,108,1,0,0,0,0,40,100.000,0.000
33,"Mar 19, 2020",135,50.000,50.000,137,28,23,18,135,1,0,0,0,1,28,50.000,50.000
34,"Mar 20, 2020",198,50.000,50.000,200,63,44,24,198,1,0,0,0,0,63,50.000,50.000
35,"Mar 21, 2020",241,75.000,25.000,245,45,45,29,241,3,2,1,0,0,45,75.000,25.000
36,"Mar 22, 2020",309,75.000,25.000,313,68,59,37,309,3,0,0,1,0,68,75.000,25.000
37,"Mar 23, 2020",338,85.710,14.290,345,32,48,40,338,6,3,2,0,0,32,85.710,14.290
38,"Mar 24, 2020",436,85.710,14.290,443,98,66,53,436,6,0,1,1,0,98,85.710,14.290
39,"Mar 25, 2020",548,80.000,20.000,558,115,82,64,548,8,2,2,1,1,115,80.000,20.000
40,"Mar 26, 2020",663,81.820,18.180,674,116,109,77,663,9,1,1,1,0,116,81.820,18.180
41,"Mar 27, 2020",770,87.500,12.500,786,112,115,84,770,14,5,2,2,0,112,87.500,12.500
42,"Mar 28, 2020",880,80.950,19.050,901,115,114,93,880,17,3,3,2,2,115,80.950,19.050
43,"Mar 29, 2020",961,85.710,14.290,989,88,105,97,961,24,7,5,3,0,88,85.710,14.290
44,"Mar 30, 2020",1039,75.000,25.000,1075,86,96,104,1039,27,3,5,3,5,86,75.000,25.000
45,"Mar 31, 2020",1142,76.920,23.080,1181,106,94,106,1142,30,3,4,3,0,106,76.920,23.080
46,"Apr 01, 2020",1276,78.050,21.950,1317,136,109,108,1276,32,2,3,4,0,136,78.050,21.950
47,"Apr 02, 2020",1429,80.430,19.570,1475,158,133,114,1429,37,5,3,4,0,158,80.430,19.570
48,"Apr 03, 2020",1622,80.390,19.610,1673,198,164,127,1622,41,4,4,4,1,198,80.390,19.610
49,"Apr 04, 2020",1742,77.970,22.030,1801,128,162,129,1742,46,5,4,4,3,128,77.970,22.030
50,"Apr 05, 2020",1742,77.970,22.030,1801,0,108,116,1742,46,0,3,3,0,0,77.970,22.030
51,"Apr 06, 2020",2031,79.710,20.290,2100,299,143,146,2031,55,9,5,4,1,299,79.710,20.290
52,"Apr 07, 2020",2031,79.710,20.290,2100,0,99,131,2031,55,0,3,4,0,0,79.710,20.290
53,"Apr 08, 2020",2449,79.750,20.250,2528,428,243,173,2449,63,8,6,4,2,428,79.750,20.250
54,"Apr 09, 2020",2670,80.490,19.510,2752,224,217,183,2670,66,3,3,4,0,224,80.490,19.510
55,"Apr 10, 2020",2883,81.320,18.680,2974,222,291,186,2883,74,8,7,5,1,222,81.320,18.680
56,"Apr 11, 2020",3132,77.450,22.550,3234,260,236,204,3132,79,5,5,5,6,260,77.450,22.550
57,"Apr 12, 2020",3284,75.000,25.000,3400,166,216,229,3284,87,8,7,5,6,166,75.000,25.000
58,"Apr 13, 2020",3317,60.650,39.350,3472,72,166,196,3317,94,7,7,6,32,72,60.650,39.350
59,"Apr 14, 2020",3407,56.890,43.110,3574,102,113,210,3407,95,1,5,6,11,102,56.890,43.110
60,"Apr 15, 2020",3573,57.870,42.130,3751,177,117,175,3573,103,8,5,5,3,177,57.870,42.130
61,"Apr 16, 2020",3573,57.870,42.130,3751,0,93,143,3573,103,0,3,6,0,0,57.870,42.130
62,"Apr 17, 2020",3809,52.660,47.340,4016,265,147,149,3809,109,6,5,5,23,265,52.660,47.340
63,"Apr 18, 2020",3972,48.740,51.260,4210,194,153,139,3972,116,7,4,5,24,194,48.740,51.260
64,"Apr 19, 2020",4013,46.150,53.850,4273,63,174,125,4013,120,4,6,5,18,63,46.150,53.850
65,"Apr 20, 2020",4176,43.300,56.700,4467,194,151,142,4176,126,6,6,4,25,194,43.300,56.700
66,"Apr 21, 2020",4318,40.000,60.000,4658,191,149,155,4318,136,10,6,6,39,191,40.000,60.000
67,"Apr 22, 2020",4449,37.900,62.100,4821,163,183,153,4449,141,5,7,6,27,163,37.900,62.100
68,"Apr 23, 2020",4593,36.090,63.910,4992,171,175,177,4593,144,3,6,5,24,171,36.090,63.910
69,"Apr 24, 2020",4749,35.010,64.990,5166,174,169,164,4749,146,2,4,6,16,174,35.010,64.990
70,"Apr 25, 2020",4865,32.560,67.440,5338,172,172,161,4865,154,8,4,5,48,172,32.560,67.440
71,"Apr 26, 2020",5041,31.990,68.010,5538,200,182,181,5041,159,5,5,6,19,200,31.990,68.010
72,"Apr 27, 2020",5245,30.900,69.100,5779,241,205,188,5245,165,6,6,5,31,241,30.900,69.100
73,"Apr 28, 2020",5399,26.850,73.150,6021,242,227,194,5399,167,2,5,5,86,242,26.850,73.150
74,"Apr 29, 2020",5540,26.670,73.330,6200,179,221,197,5540,176,9,5,5,29,179,26.670,73.330
75,"Apr 30, 2020",5673,25.250,74.750,6378,178,200,198,5673,178,2,5,5,43,178,25.250,74.750
76,"May 01, 2020",5768,24.610,75.390,6532,154,170,195,5768,188,10,7,6,49,154,24.610,75.390
77,"May 02, 2020",5906,23.590,76.410,6720,188,173,198,5906,192,4,5,5,46,188,23.590,76.410
78,"May 03, 2020",6252,23.510,76.490,7090,370,238,222,6252,197,5,6,5,19,370,23.510,76.490
79,"May 04, 2020",6356,23.780,76.220,7197,107,221,202,6356,200,3,4,5,0,107,23.780,76.220
80,"May 05, 2020",6458,21.850,78.150,7387,190,223,195,6458,203,3,4,6,85,190,21.850,78.150
81,"May 06, 2020",6490,20.330,79.670,7523,136,144,189,6490,210,7,4,4,97,136,20.330,79.670
82,"May 07, 2020",6654,20.240,79.760,7731,208,178,194,6654,218,8,6,6,36,208,20.240,79.760
83,"May 08, 2020",6757,20.250,79.750,7868,137,160,190,6757,225,7,8,5,27,137,20.250,79.750
84,"May 09, 2020",6953,20.680,79.320,8070,202,183,193,6953,231,6,7,6,0,202,20.680,79.320
85,"May 10, 2020",3544,5.000,95.000,8282,212,183,171,3544,237,6,6,6,3615,212,5.000,95.000
86,"May 11, 2020",3517,4.950,95.050,8448,166,194,178,3517,244,7,6,6,186,166,4.950,95.050
87,"May 12, 2020",3680,5.040,94.960,8616,168,182,176,3680,249,5,6,7,0,168,5.040,94.960
88,"May 13, 2020",2510,4.020,95.980,8783,167,167,180,2510,252,3,5,6,1334,167,4.020,95.980
89,"May 14, 2020",2621,4.050,95.950,8944,161,165,173,2621,256,4,4,5,46,161,4.050,95.950
90,"May 15, 2020",2778,4.100,95.900,9118,174,167,179,2778,260,4,4,5,13,174,4.100,95.900
91,"May 16, 2020",2922,4.190,95.810,9268,150,162,171,2922,266,6,5,5,0,150,4.190,95.810
92,"May 17, 2020",3100,4.240,95.760,9449,181,168,167,3100,269,3,4,5,0,181,4.240,95.760
93,"May 18, 2020",3250,4.330,95.670,9606,157,163,165,3250,275,6,5,4,1,157,4.330,95.670
94,"May 19, 2020",3392,4.340,95.660,9867,261,200,179,3392,281,6,5,5,113,261,4.340,95.660
95,"May 20, 2020",3496,4.430,95.570,9977,110,176,170,3496,287,6,6,5,0,110,4.430,95.570
96,"May 21, 2020",3580,4.450,95.550,10116,139,170,168,3580,291,4,5,5,51,139,4.450,95.550
97,"May 22, 2020",3697,4.490,95.510,10267,151,133,164,3697,295,4,5,5,30,151,4.490,95.510
98,"May 23, 2020",3999,4.550,95.450,10577,310,200,187,3999,299,4,4,4,4,310,4.550,95.450
