Days,Date,0_Cases,1_DailyCases,2_DailyCases- 3-daymovingaverage,3_DailyCases- 7-daymovingaverage,4_CurrentlyInfected,5_Deaths,6_DailyDeaths,7_DailyDeaths- 3-daymovingaverage,8_DailyDeaths- 7-daymovingaverage
0,"Feb 15, 2020",0,0,0,0,0,0,0,0,0
1,"Feb 16, 2020",0,0,0,0,0,0,0,0,0
2,"Feb 17, 2020",0,0,0,0,0,0,0,0,0
3,"Feb 18, 2020",0,0,0,0,0,0,0,0,0
4,"Feb 19, 2020",0,0,0,0,0,0,0,0,0
5,"Feb 20, 2020",0,0,0,0,0,0,0,0,0
6,"Feb 21, 2020",0,0,0,0,0,0,0,0,0
7,"Feb 22, 2020",0,0,0,0,0,0,0,0,0
8,"Feb 23, 2020",0,0,0,0,0,0,0,0,0
9,"Feb 24, 2020",0,0,0,0,0,0,0,0,0
10,"Feb 25, 2020",0,0,0,0,0,0,0,0,0
11,"Feb 26, 2020",0,0,0,0,0,0,0,0,0
12,"Feb 27, 2020",0,0,0,0,0,0,0,0,0
13,"Feb 28, 2020",0,0,0,0,0,0,0,0,0
14,"Feb 29, 2020",0,0,0,0,0,0,0,0,0
15,"Mar 01, 2020",0,0,0,0,0,0,0,0,0
16,"Mar 02, 2020",0,0,0,0,0,0,0,0,0
17,"Mar 03, 2020",0,0,0,0,0,0,0,0,0
18,"Mar 04, 2020",0,0,0,0,0,0,0,0,0
19,"Mar 05, 2020",0,0,0,0,0,0,0,0,0
20,"Mar 06, 2020",1,0,0,0,1,0,0,0,0
21,"Mar 07, 2020",6,5,0,0,6,0,0,0,0
22,"Mar 08, 2020",7,1,3,1,7,0,0,0,0
23,"Mar 09, 2020",9,2,2,1,9,0,0,0,0
24,"Mar 10, 2020",11,2,2,2,11,0,0,0,0
25,"Mar 11, 2020",17,6,3,2,17,0,0,0,0
26,"Mar 12, 2020",22,5,5,3,22,0,0,0,0
27,"Mar 13, 2020",38,16,9,6,38,0,0,0,0
28,"Mar 14, 2020",43,5,8,5,43,0,0,0,0
29,"Mar 15, 2020",71,28,17,9,71,0,0,0,0
30,"Mar 16, 2020",86,15,16,11,85,0,0,0,0
31,"Mar 17, 2020",117,31,24,15,116,0,0,0,0
32,"Mar 18, 2020",145,28,25,19,144,0,0,0,0
33,"Mar 19, 2020",234,89,49,30,232,1,0,0,0
34,"Mar 20, 2020",263,29,49,32,261,1,0,0,0
35,"Mar 21, 2020",318,55,58,39,313,4,3,1,0
36,"Mar 22, 2020",363,45,43,42,356,6,2,2,1
37,"Mar 23, 2020",395,32,44,44,387,7,1,2,1
38,"Mar 24, 2020",416,21,32,43,406,9,2,1,1
39,"Mar 25, 2020",480,64,39,48,469,10,1,2,1
40,"Mar 26, 2020",580,100,62,49,552,14,4,2,2
41,"Mar 27, 2020",635,55,73,53,599,20,6,4,3
42,"Mar 28, 2020",671,36,64,51,627,28,8,6,3
43,"Mar 29, 2020",852,181,90,70,804,32,4,6,4
44,"Mar 30, 2020",950,98,105,79,853,44,12,8,5
45,"Mar 31, 2020",1065,115,132,93,614,57,13,9,7
46,"Apr 01, 2020",1323,258,157,120,852,77,20,15,10
47,"Apr 02, 2020",1414,91,154,119,787,90,13,16,11
48,"Apr 03, 2020",1595,181,177,137,953,105,15,16,12
49,"Apr 04, 2020",1746,151,141,154,694,138,33,20,16
50,"Apr 05, 2020",2281,535,289,204,1109,183,45,31,21
51,"Apr 06, 2020",2561,280,322,230,1365,199,16,31,22
52,"Apr 07, 2020",2954,393,403,270,1424,229,30,31,25
53,"Apr 08, 2020",4342,1388,687,431,2751,258,29,25,26
54,"Apr 09, 2020",5256,914,898,549,3503,315,57,38,32
55,"Apr 10, 2020",5897,641,981,615,3962,366,51,46,37
56,"Apr 11, 2020",6848,951,835,729,4690,419,53,54,40
57,"Apr 12, 2020",7519,671,755,748,5257,464,45,49,40
58,"Apr 13, 2020",9784,2265,1295,1032,6611,531,67,55,48
59,"Apr 14, 2020",10303,519,1152,1050,6837,597,66,60,52
60,"Apr 15, 2020",11475,1172,1319,1019,7683,684,87,73,61
61,"Apr 16, 2020",12491,1016,902,1033,5595,776,92,82,66
62,"Apr 17, 2020",13489,998,1062,1085,6073,875,99,92,73
63,"Apr 18, 2020",14420,931,982,1081,6763,973,98,97,79
64,"Apr 19, 2020",15628,1208,1045,1159,7739,1078,105,100,88
65,"Apr 20, 2020",16325,697,946,934,8165,1192,114,106,94
66,"Apr 21, 2020",17837,1512,1139,1077,9547,1308,116,112,102
67,"Apr 22, 2020",19250,1413,1207,1110,10801,1422,114,114,105
