Days,Date,0_Cases,1_DailyCases,2_DailyCases- 3-daymovingaverage,3_DailyCases- 7-daymovingaverage,4_CurrentlyInfected,5_Deaths,6_DailyDeaths,7_DailyDeaths- 3-daymovingaverage,8_DailyDeaths- 7-daymovingaverage
0,"Feb 15, 2020",3,0,0,0,0,1,0,0,0
1,"Feb 16, 2020",3,0,0,0,0,1,0,0,0
2,"Feb 17, 2020",3,0,0,0,0,1,0,0,0
3,"Feb 18, 2020",3,0,0,0,0,1,0,0,0
4,"Feb 19, 2020",3,0,0,0,0,1,0,0,0
5,"Feb 20, 2020",3,0,0,0,0,1,0,0,0
6,"Feb 21, 2020",3,0,0,0,0,1,0,0,0
7,"Feb 22, 2020",3,0,0,0,0,1,0,0,0
8,"Feb 23, 2020",3,0,0,0,0,1,0,0,0
9,"Feb 24, 2020",3,0,0,0,0,1,0,0,0
10,"Feb 25, 2020",3,0,0,0,0,1,0,0,0
11,"Feb 26, 2020",3,0,0,0,0,1,0,0,0
12,"Feb 27, 2020",3,0,0,0,0,1,0,0,0
13,"Feb 28, 2020",3,0,0,0,0,1,0,0,0
14,"Feb 29, 2020",3,0,0,0,0,1,0,0,0
15,"Mar 01, 2020",3,0,0,0,0,1,0,0,0
16,"Mar 02, 2020",3,0,0,0,0,1,0,0,0
17,"Mar 03, 2020",3,0,0,0,0,1,0,0,0
18,"Mar 04, 2020",3,0,0,0,0,1,0,0,0
19,"Mar 05, 2020",3,0,0,0,0,1,0,0,0
20,"Mar 06, 2020",5,2,1,0,2,1,0,0,0
21,"Mar 07, 2020",6,1,1,1,3,1,0,0,0
22,"Mar 08, 2020",10,4,2,1,7,1,0,0,0
23,"Mar 09, 2020",24,14,6,3,21,1,0,0,0
24,"Mar 10, 2020",33,9,9,4,30,1,0,0,0
25,"Mar 11, 2020",49,16,13,7,45,2,1,0,0
26,"Mar 12, 2020",52,3,10,7,45,5,3,2,1
27,"Mar 13, 2020",64,12,10,8,57,5,0,1,0
28,"Mar 14, 2020",111,47,21,15,101,8,3,2,1
29,"Mar 15, 2020",140,29,29,19,126,12,4,2,2
30,"Mar 16, 2020",142,2,26,16,127,12,0,3,1
31,"Mar 17, 2020",187,45,25,22,169,14,2,2,2
32,"Mar 18, 2020",202,15,21,22,178,17,3,1,2
33,"Mar 19, 2020",217,15,25,24,192,17,0,2,2
34,"Mar 20, 2020",230,13,14,24,204,18,1,1,2
35,"Mar 21, 2020",307,77,35,28,275,19,1,1,2
36,"Mar 22, 2020",380,73,55,34,340,25,6,3,1
37,"Mar 23, 2020",462,82,77,46,411,33,8,5,3
38,"Mar 24, 2020",552,90,82,52,497,35,2,5,3
39,"Mar 25, 2020",636,84,85,62,572,38,3,4,3
40,"Mar 26, 2020",707,71,82,70,634,45,7,4,4
41,"Mar 27, 2020",803,96,83,82,718,54,9,7,6
42,"Mar 28, 2020",1075,272,147,109,972,68,14,10,7
43,"Mar 29, 2020",1418,343,237,149,1305,71,3,8,6
44,"Mar 30, 2020",1546,128,247,154,1426,78,7,8,7
45,"Mar 31, 2020",2084,538,337,219,1947,88,10,7,7
46,"Apr 01, 2020",2311,227,297,240,2165,96,8,8,8
47,"Apr 02, 2020",2633,322,363,275,2475,107,11,10,9
48,"Apr 03, 2020",3018,385,311,316,2830,136,29,16,12
49,"Apr 04, 2020",3094,76,261,289,2893,144,8,16,11
50,"Apr 05, 2020",3246,152,204,261,3030,152,8,15,11
51,"Apr 06, 2020",3660,414,214,302,3424,163,11,9,13
52,"Apr 07, 2020",3764,104,224,240,3503,177,14,11,12
53,"Apr 08, 2020",3870,106,208,222,3592,182,5,10,13
54,"Apr 09, 2020",4076,206,138,207,3749,203,21,13,13
55,"Apr 10, 2020",4195,119,144,168,3834,221,18,15,12
56,"Apr 11, 2020",4428,233,186,190,4024,247,26,22,15
57,"Apr 12, 2020",4648,220,191,201,4154,297,50,31,21
58,"Apr 13, 2020",4932,284,245,181,4375,315,18,31,22
59,"Apr 14, 2020",5223,291,265,209,4593,335,20,30,22
60,"Apr 15, 2020",5453,230,269,226,4751,349,14,17,24
61,"Apr 16, 2020",5660,207,242,226,4863,362,13,16,23
62,"Apr 17, 2020",5878,218,219,241,5004,387,25,17,23
63,"Apr 18, 2020",6087,209,211,237,5174,397,10,16,22
64,"Apr 19, 2020",6259,172,200,230,5278,409,12,16,16
65,"Apr 20, 2020",6459,200,193,218,5418,428,19,13,16
66,"Apr 21, 2020",6599,140,171,196,5508,437,9,14,15
67,"Apr 22, 2020",6710,111,150,180,5571,446,9,12,13
68,"Apr 23, 2020",6981,271,174,189,5797,462,16,11,15
69,"Apr 24, 2020",7192,211,198,187,5953,477,15,14,13
70,"Apr 25, 2020",7294,102,195,173,6008,494,17,16,13
71,"Apr 26, 2020",7579,285,199,188,6216,501,7,13,14
72,"Apr 27, 2020",7777,198,195,189,6334,511,10,11,11
73,"Apr 28, 2020",7958,181,221,194,6453,530,19,12,14
74,"Apr 29, 2020",8212,254,211,214,6631,558,28,19,16
75,"Apr 30, 2020",8488,276,237,216,6877,568,10,19,15
76,"May 01, 2020",8772,284,272,225,7109,579,11,16,14
77,"May 02, 2020",8928,156,238,234,7201,603,24,15,16
78,"May 03, 2020",9223,295,245,235,7402,607,4,13,15
79,"May 04, 2020",9485,262,238,244,7547,623,16,15,16
80,"May 05, 2020",9684,199,252,246,7639,637,14,11,15
81,"May 06, 2020",10004,320,260,256,7840,658,21,17,15
82,"May 07, 2020",10343,339,286,265,8040,685,27,21,16
83,"May 08, 2020",10463,120,260,242,8033,696,11,20,17
84,"May 09, 2020",10610,147,202,240,8064,704,8,15,15
85,"May 10, 2020",10794,184,150,225,8151,719,15,11,16
86,"May 11, 2020",11086,292,208,228,8361,726,7,10,14
87,"May 12, 2020",11350,264,247,238,8493,751,25,16,17
88,"May 13, 2020",11618,268,274,231,8595,772,21,18,16
89,"May 14, 2020",11876,258,264,219,8749,790,18,21,15
90,"May 15, 2020",12091,215,247,232,8825,806,16,18,16
91,"May 16, 2020",12305,214,229,243,8927,817,11,15,16
92,"May 17, 2020",12513,208,212,245,9054,824,7,12,15
93,"May 18, 2020",12718,205,209,233,9158,831,7,8,15
94,"May 19, 2020",12942,224,212,228,9262,837,6,7,12
95,"May 20, 2020",13221,279,236,229,9447,842,5,6,10
96,"May 21, 2020",13434,213,239,222,9588,846,4,5,8
97,"May 22, 2020",13597,163,218,215,9648,857,11,6,7
98,"May 23, 2020",13777,180,186,211,9737,863,6,7,7
99,"May 24, 2020",14035,258,200,217,9918,868,5,8,6
100,"May 25, 2020",14319,284,241,229,10123,873,5,5,6
101,"May 26, 2020",14669,350,297,247,10371,886,13,8,7
102,"May 27, 2020",15049,380,338,261,10639,904,18,12,9
103,"May 28, 2020",15588,539,423,307,11069,921,17,16,11
104,"May 29, 2020",16634,1046,655,434,11972,942,21,18,12
105,"May 30, 2020",17224,590,725,493,12466,950,8,16,12
106,"May 31, 2020",18086,862,833,578,13220,957,7,12,13
107,"Jun 01, 2020",18638,552,668,617,13699,960,3,6,12
108,"Jun 02, 2020",18997,359,591,619,13968,966,6,5,12
109,"Jun 03, 2020",19748,751,554,671,14621,974,8,6,10
110,"Jun 04, 2020",20382,634,581,685,15150,984,10,8,9
111,"Jun 05, 2020",20626,244,543,570,15309,987,3,7,6
112,"Jun 06, 2020",21340,714,531,588,15905,994,7,6,7
113,"Jun 07, 2020",21895,555,504,544,16362,1003,9,7,6
114,"Jun 08, 2020",22474,579,616,548,16826,1011,8,8,7
115,"Jun 09, 2020",22992,518,551,571,17239,1017,6,7,8
116,"Jun 10, 2020",23732,740,612,569,17810,1027,10,8,7
117,"Jun 11, 2020",24175,443,567,542,17974,1036,9,9,8
118,"Jun 12, 2020",24787,612,598,594,18281,1052,16,11,9
119,"Jun 13, 2020",25392,605,554,579,18612,1074,22,16,11
120,"Jun 14, 2020",25930,538,585,577,18888,1088,14,17,13
121,"Jun 15, 2020",26420,490,544,563,19070,1098,10,16,12
122,"Jun 16, 2020",26781,361,463,542,19126,1103,5,9,12
123,"Jun 17, 2020",27238,457,436,501,19310,1108,5,7,12
124,"Jun 18, 2020",27799,561,460,517,19593,1116,8,6,11
125,"Jun 19, 2020",28459,660,559,525,19951,1130,14,9,11
126,"Jun 20, 2020",29400,941,721,572,20600,1150,20,14,11
127,"Jun 21, 2020",30052,652,751,589,20990,1169,19,18,12
128,"Jun 22, 2020",30682,630,741,609,21362,1177,8,15,11
129,"Jun 23, 2020",31825,1143,808,721,22197,1186,9,12,12
130,"Jun 24, 2020",32295,470,748,722,22435,1204,18,12,14
131,"Jun 25, 2020",33069,774,795,753,22947,1212,8,12,13
132,"Jun 26, 2020",34073,1004,750,802,23667,1224,12,12,14
133,"Jun 27, 2020",34803,730,836,772,24137,1236,12,11,12
134,"Jun 28, 2020",35455,652,795,772,24525,1244,8,11,11
135,"Jun 29, 2020",36438,983,788,822,25227,1255,11,10,11
136,"Jun 30, 2020",37514,1076,904,813,26015,1266,11,10,11
137,"Jul 01, 2020",38511,997,1019,888,26803,1270,4,9,10
138,"Jul 02, 2020",38805,294,789,819,26858,1274,4,6,9
139,"Jul 03, 2020",40336,1531,940,895,27983,1280,6,5,8
140,"Jul 04, 2020",41830,1494,1107,1004,29087,1290,10,6,7
141,"Jul 05, 2020",44254,2424,1816,1257,31015,1297,7,8,8
142,"Jul 06, 2020",46333,2079,1999,1413,32845,1303,6,8,7
143,"Jul 07, 2020",47873,1540,2014,1480,34178,1309,6,6,6
144,"Jul 08, 2020",50359,2486,2035,1693,36457,1314,5,6,6
145,"Jul 09, 2020",51754,1395,1807,1850,37627,1314,0,3,6
146,"Jul 10, 2020",52914,1160,1681,1796,38324,1360,46,17,11
147,"Jul 11, 2020",54222,1308,1287,1771,38813,1372,12,20,12
148,"Jul 12, 2020",56259,2037,1502,1715,38679,1534,162,73,34
149,"Jul 13, 2020",56911,652,1332,1511,34943,1597,63,79,42
150,"Jul 14, 2020",57458,547,1079,1369,35396,1603,6,77,42
151,"Jul 15, 2020",58768,1310,836,1201,36178,1614,11,27,43
152,"Jul 16, 2020",61160,2392,1417,1344,38080,1643,29,15,47
153,"Jul 17, 2020",62947,1787,1829,1433,39541,1660,17,19,43
154,"Jul 18, 2020",65215,2268,2149,1571,41375,1773,113,53,57
155,"Jul 19, 2020",67377,2162,2073,1588,43081,1831,58,63,42
156,"Jul 20, 2020",68813,1436,1955,1700,43906,1835,4,58,34
157,"Jul 21, 2020",70675,1862,1820,1889,45557,1837,2,21,34
158,"Jul 22, 2020",72190,1515,1604,1917,46724,1843,6,4,33
159,"Jul 23, 2020",74341,2151,1843,1883,48119,1864,21,10,31
160,"Jul 24, 2020",76444,2103,1923,1928,50063,1879,15,14,31
161,"Jul 25, 2020",78412,1968,2074,1885,50763,1897,18,18,18
162,"Jul 26, 2020",80383,1971,2014,1858,52367,1929,32,22,14
163,"Jul 27, 2020",81995,1612,1850,1884,53608,1943,14,21,16
164,"Jul 28, 2020",83612,1617,1734,1848,55058,1946,3,16,15
165,"Jul 29, 2020",85420,1808,1679,1890,56470,1960,14,11,17
166,"Jul 30, 2020",89291,3871,2432,2135,22286,1983,23,13,17
167,"Jul 31, 2020",93269,3978,3219,2404,26075,2022,39,25,20
168,"Aug 01, 2020",98153,4884,4244,2820,30857,2039,17,27,21
169,"Aug 02, 2020",103104,4951,4604,3246,35498,2059,20,25,18
170,"Aug 03, 2020",106241,3137,4324,3464,38328,2104,45,27,23
171,"Aug 04, 2020",112518,6277,4789,4129,44356,2114,10,25,24
172,"Aug 05, 2020",115899,3381,4265,4354,47509,2122,8,21,23
173,"Aug 06, 2020",119375,3476,4378,4298,50452,2144,22,14,23
174,"Aug 07, 2020",122754,3379,3412,4212,53734,2168,24,18,21
175,"Aug 08, 2020",126885,4131,3662,4105,57559,2209,41,29,24
176,"Aug 09, 2020",129680,2795,3435,3796,59880,2270,61,42,31
177,"Aug 10, 2020",136551,6871,4599,4330,66106,2293,23,41,27
178,"Aug 11, 2020",139305,2754,4140,3827,68633,2311,18,34,28
179,"Aug 12, 2020",143524,4219,4614,3946,72137,2403,92,45,40
180,"Aug 13, 2020",147444,3920,3631,4010,74651,2426,23,44,40
181,"Aug 14, 2020",153567,6123,4754,4402,79802,2441,15,43,39
182,"Aug 15, 2020",157833,4266,4770,4421,83044,2600,159,66,56
183,"Aug 16, 2020",161160,3327,4572,4497,45975,2663,63,79,56
184,"Aug 17, 2020",164377,3217,3603,3976,49017,2681,18,80,56
185,"Aug 18, 2020",169124,4747,3764,4259,53675,2684,3,28,53
186,"Aug 19, 2020",173683,4559,4174,4309,57501,2795,111,44,56
187,"Aug 20, 2020",177579,3896,4401,4305,60795,2881,86,67,65
188,"Aug 21, 2020",182365,4786,4414,4114,64906,2940,59,85,71
189,"Aug 22, 2020",187249,4884,4522,4202,69362,2966,26,57,52
190,"Aug 23, 2020",189566,2317,3995,4058,55256,2997,31,39,48
191,"Aug 24, 2020",194199,4633,3945,4260,59167,3004,7,21,46
192,"Aug 25, 2020",197084,2885,3278,3995,61717,3038,34,24,51
193,"Aug 26, 2020",202332,5248,4256,4092,65771,3137,99,47,49
194,"Aug 27, 2020",205545,3213,3782,3996,68347,3234,97,76,50
195,"Aug 28, 2020",209494,3949,4136,3875,71723,3325,91,96,55
196,"Aug 29, 2020",213112,3618,3594,3695,74610,3418,93,94,65
197,"Aug 30, 2020",217373,4261,3942,3972,56456,3520,102,95,74
198,"Aug 31, 2020",220781,3408,3763,3798,59675,3558,38,78,80
199,"Sep 01, 2020",224222,3441,3703,3877,62625,3596,38,59,79
200,"Sep 02, 2020",226416,2194,3014,3440,64198,3623,27,34,70
201,"Sep 03, 2020",228358,1942,2526,3259,65209,3688,65,44,65
202,"Sep 04, 2020",232041,3683,2606,3221,67772,3737,49,47,58
203,"Sep 05, 2020",234526,2485,2704,3059,69123,3790,53,55,54
204,"Sep 06, 2020",237344,2818,2995,2853,48793,3875,85,63,50
205,"Sep 07, 2020",238727,1383,2229,2564,49931,3890,15,51,48
206,"Sep 08, 2020",241967,3240,2480,2535,52884,3916,26,42,45
207,"Sep 09, 2020",245126,3159,2594,2673,55645,3986,70,37,52
208,"Sep 10, 2020",248924,3798,3399,2938,58818,4066,80,58,54
