Days,Date,0_Cases,1_DailyCases,2_DailyCases- 3-daymovingaverage,3_DailyCases- 7-daymovingaverage,4_CurrentlyInfected,5_Deaths,6_DailyDeaths,7_DailyDeaths- 3-daymovingaverage,8_DailyDeaths- 7-daymovingaverage
0,"Feb 15, 2020",0,0,0,0,0,0,0,0,0
1,"Feb 16, 2020",0,0,0,0,0,0,0,0,0
2,"Feb 17, 2020",0,0,0,0,0,0,0,0,0
3,"Feb 18, 2020",0,0,0,0,0,0,0,0,0
4,"Feb 19, 2020",0,0,0,0,0,0,0,0,0
5,"Feb 20, 2020",0,0,0,0,0,0,0,0,0
6,"Feb 21, 2020",0,0,0,0,0,0,0,0,0
7,"Feb 22, 2020",0,0,0,0,0,0,0,0,0
8,"Feb 23, 2020",0,0,0,0,0,0,0,0,0
9,"Feb 24, 2020",0,0,0,0,0,0,0,0,0
10,"Feb 25, 2020",0,0,0,0,0,0,0,0,0
11,"Feb 26, 2020",0,0,0,0,0,0,0,0,0
12,"Feb 27, 2020",0,0,0,0,0,0,0,0,0
13,"Feb 28, 2020",0,0,0,0,0,0,0,0,0
14,"Feb 29, 2020",0,0,0,0,0,0,0,0,0
15,"Mar 01, 2020",0,0,0,0,0,0,0,0,0
16,"Mar 02, 2020",2,0,0,0,2,0,0,0,0
17,"Mar 03, 2020",4,2,1,0,4,0,0,0,0
18,"Mar 04, 2020",6,2,2,1,6,0,0,0,0
19,"Mar 05, 2020",9,3,2,1,9,0,0,0,0
20,"Mar 06, 2020",14,5,4,2,14,0,0,0,0
21,"Mar 07, 2020",23,9,5,3,23,0,0,0,0
22,"Mar 08, 2020",33,10,8,5,33,0,0,0,0
23,"Mar 09, 2020",43,10,10,6,43,0,0,0,0
24,"Mar 10, 2020",45,2,7,6,45,0,0,0,0
25,"Mar 11, 2020",68,23,12,9,68,0,0,0,0
26,"Mar 12, 2020",87,19,15,11,86,0,0,0,0
27,"Mar 13, 2020",126,39,27,16,125,0,0,0,0
28,"Mar 14, 2020",191,65,41,24,189,0,0,0,0
29,"Mar 15, 2020",277,86,63,35,274,0,0,0,0
30,"Mar 16, 2020",374,97,83,47,370,1,1,0,0
31,"Mar 17, 2020",508,134,105,66,504,1,0,0,0
32,"Mar 18, 2020",729,221,151,94,723,2,1,0,0
33,"Mar 19, 2020",893,164,173,116,885,4,2,1,0
34,"Mar 20, 2020",1159,266,217,147,1148,6,2,2,1
35,"Mar 21, 2020",1455,296,242,181,1438,12,6,3,2
36,"Mar 22, 2020",1820,365,309,220,1801,14,2,4,2
37,"Mar 23, 2020",2343,523,395,281,2305,23,9,5,3
38,"Mar 24, 2020",2687,344,410,312,2630,33,10,7,4
39,"Mar 25, 2020",3407,720,529,382,3340,43,10,10,6
40,"Mar 26, 2020",4032,625,563,449,3925,60,17,12,8
41,"Mar 27, 2020",4856,824,723,528,4733,76,16,15,10
42,"Mar 28, 2020",5883,1027,826,632,5736,100,24,19,13
43,"Mar 29, 2020",6785,902,917,710,6619,119,19,19,15
44,"Mar 30, 2020",7292,507,812,707,7105,140,21,22,17
45,"Mar 31, 2020",8470,1178,863,826,8263,160,20,20,18
46,"Apr 01, 2020",9390,920,868,855,9156,187,27,22,20
47,"Apr 02, 2020",10281,891,996,892,9997,209,22,23,22
48,"Apr 03, 2020",11250,969,927,914,10929,246,37,29,24
49,"Apr 04, 2020",11976,726,862,870,11627,266,20,26,24
50,"Apr 05, 2020",12834,858,851,864,12456,295,29,29,25
51,"Apr 06, 2020",13348,514,699,865,12882,311,16,22,24
52,"Apr 07, 2020",14159,811,728,813,13610,345,34,26,27
53,"Apr 08, 2020",14955,796,707,795,14358,380,35,28,27
54,"Apr 09, 2020",15883,928,845,800,15247,409,29,33,29
55,"Apr 10, 2020",17609,1726,1150,909,16916,435,26,30,27
56,"Apr 11, 2020",18196,587,1080,888,17431,470,35,30,29
57,"Apr 12, 2020",18877,681,998,864,18066,504,34,32,30
58,"Apr 13, 2020",19275,398,556,846,18433,535,31,33,32
59,"Apr 14, 2020",19861,586,555,815,18909,567,32,32,31
60,"Apr 15, 2020",20593,732,572,805,19569,599,32,32,32
61,"Apr 16, 2020",21447,854,724,795,20271,629,30,31,31
62,"Apr 17, 2020",21653,206,597,578,20420,657,28,30,32
63,"Apr 18, 2020",22407,754,605,602,21043,687,30,30,31
64,"Apr 19, 2020",23000,593,517,589,21609,714,27,28,30
65,"Apr 20, 2020",23747,747,698,638,22335,735,21,26,28
66,"Apr 21, 2020",24335,588,643,640,22556,762,27,25,28
67,"Apr 22, 2020",25021,686,674,632,22969,785,23,24,27
