Days,Date,0_Cases,1_DailyCases,2_DailyCases- 3-daymovingaverage,3_DailyCases- 7-daymovingaverage,4_CurrentlyInfected,5_Deaths,6_DailyDeaths,7_DailyDeaths- 3-daymovingaverage,8_DailyDeaths- 7-daymovingaverage
0,"Feb 15, 2020",0,0,0,0,0,0,0,0,0
1,"Feb 16, 2020",0,0,0,0,0,0,0,0,0
2,"Feb 17, 2020",0,0,0,0,0,0,0,0,0
3,"Feb 18, 2020",0,0,0,0,0,0,0,0,0
4,"Feb 19, 2020",0,0,0,0,0,0,0,0,0
5,"Feb 20, 2020",0,0,0,0,0,0,0,0,0
6,"Feb 21, 2020",0,0,0,0,0,0,0,0,0
7,"Feb 22, 2020",0,0,0,0,0,0,0,0,0
8,"Feb 23, 2020",0,0,0,0,0,0,0,0,0
9,"Feb 24, 2020",0,0,0,0,0,0,0,0,0
10,"Feb 25, 2020",0,0,0,0,0,0,0,0,0
11,"Feb 26, 2020",0,0,0,0,0,0,0,0,0
12,"Feb 27, 2020",0,0,0,0,0,0,0,0,0
13,"Feb 28, 2020",0,0,0,0,0,0,0,0,0
14,"Feb 29, 2020",1,0,0,0,1,0,0,0,0
15,"Mar 01, 2020",3,2,0,0,3,0,0,0,0
16,"Mar 02, 2020",7,4,3,1,7,0,0,0,0
17,"Mar 03, 2020",8,1,2,1,8,0,0,0,0
18,"Mar 04, 2020",8,0,2,1,8,0,0,0,0
19,"Mar 05, 2020",8,0,0,1,8,0,0,0,0
20,"Mar 06, 2020",11,3,1,2,11,0,0,0,0
21,"Mar 07, 2020",12,1,1,1,12,0,0,0,0
22,"Mar 08, 2020",15,3,3,2,15,0,0,0,0
23,"Mar 09, 2020",18,3,2,1,18,0,0,0,0
24,"Mar 10, 2020",24,6,4,3,24,0,0,0,0
25,"Mar 11, 2020",262,238,82,36,262,0,0,0,0
26,"Mar 12, 2020",262,0,82,36,262,0,0,0,0
27,"Mar 13, 2020",320,58,98,44,320,0,0,0,0
28,"Mar 14, 2020",337,17,25,47,333,0,0,0,0
29,"Mar 15, 2020",401,64,47,55,397,0,0,0,0
30,"Mar 16, 2020",439,38,39,60,435,0,0,0,0
31,"Mar 17, 2020",442,3,35,60,438,0,0,0,0
32,"Mar 18, 2020",452,10,17,27,448,0,0,0,0
33,"Mar 19, 2020",460,8,7,28,450,0,0,0,0
34,"Mar 20, 2020",470,10,10,22,460,0,0,0,0
35,"Mar 21, 2020",481,11,9,20,454,0,0,0,0
36,"Mar 22, 2020",494,13,12,14,461,0,0,0,0
37,"Mar 23, 2020",501,7,10,8,468,0,0,0,0
38,"Mar 24, 2020",526,25,15,12,485,0,0,0,0
39,"Mar 25, 2020",537,11,14,13,496,0,0,0,0
40,"Mar 26, 2020",549,12,16,12,506,0,0,0,0
41,"Mar 27, 2020",562,13,12,13,519,0,0,0,0
42,"Mar 28, 2020",590,28,18,16,544,1,1,0,0
43,"Mar 29, 2020",634,44,28,20,585,1,0,0,0
44,"Mar 30, 2020",693,59,44,27,641,1,0,0,0
45,"Mar 31, 2020",781,88,64,37,717,2,1,0,0
46,"Apr 01, 2020",835,54,67,42,762,2,0,1,0
47,"Apr 02, 2020",949,114,85,58,874,3,1,0,0
48,"Apr 03, 2020",1075,126,98,73,979,3,0,1,1
49,"Apr 04, 2020",1325,250,163,105,1213,3,0,0,0
50,"Apr 05, 2020",1604,279,219,138,1477,4,1,0,1
51,"Apr 06, 2020",1832,228,252,163,1697,4,0,1,0
52,"Apr 07, 2020",2057,225,244,182,1901,6,2,1,1
53,"Apr 08, 2020",2210,153,202,197,2026,6,0,0,0
54,"Apr 09, 2020",2376,166,181,204,2164,6,0,1,1
55,"Apr 10, 2020",2512,136,152,205,2279,6,0,0,0
56,"Apr 11, 2020",2728,216,173,200,2475,6,0,0,0
57,"Apr 12, 2020",2979,251,201,197,2697,7,1,0,1
58,"Apr 13, 2020",3231,252,239,200,2890,7,0,1,0
59,"Apr 14, 2020",3428,197,234,196,3048,7,0,0,0
60,"Apr 15, 2020",3711,283,244,214,3298,7,0,0,1
61,"Apr 16, 2020",4103,392,290,247,3681,7,0,0,0
62,"Apr 17, 2020",4663,560,412,307,4192,7,0,0,0
63,"Apr 18, 2020",5008,345,432,326,4490,8,1,0,0
64,"Apr 19, 2020",5448,440,449,352,4922,8,0,1,0
65,"Apr 20, 2020",6015,567,450,398,5451,9,1,0,1
66,"Apr 21, 2020",6533,518,509,444,5910,9,0,1,0
67,"Apr 22, 2020",7141,608,564,490,6442,10,1,0,0
68,"Apr 23, 2020",7764,623,583,523,7004,10,0,1,1
