Days,Date,0_Cases,1_DailyCases,2_DailyCases- 3-daymovingaverage,3_DailyCases- 7-daymovingaverage,4_CurrentlyInfected,5_Deaths,6_DailyDeaths,7_DailyDeaths- 3-daymovingaverage,8_DailyDeaths- 7-daymovingaverage
0,"Feb 15, 2020",0,0,0,0,0,0,0,0,0
1,"Feb 16, 2020",0,0,0,0,0,0,0,0,0
2,"Feb 17, 2020",0,0,0,0,0,0,0,0,0
3,"Feb 18, 2020",0,0,0,0,0,0,0,0,0
4,"Feb 19, 2020",0,0,0,0,0,0,0,0,0
5,"Feb 20, 2020",0,0,0,0,0,0,0,0,0
6,"Feb 21, 2020",0,0,0,0,0,0,0,0,0
7,"Feb 22, 2020",0,0,0,0,0,0,0,0,0
8,"Feb 23, 2020",0,0,0,0,0,0,0,0,0
9,"Feb 24, 2020",0,0,0,0,0,0,0,0,0
10,"Feb 25, 2020",0,0,0,0,0,0,0,0,0
11,"Feb 26, 2020",1,0,0,0,1,0,0,0,0
12,"Feb 27, 2020",1,0,0,0,1,0,0,0,0
13,"Feb 28, 2020",3,2,1,0,2,0,0,0,0
14,"Feb 29, 2020",3,0,0,0,2,0,0,0,0
15,"Mar 01, 2020",3,0,1,1,2,0,0,0,0
16,"Mar 02, 2020",3,0,0,0,2,0,0,0,0
17,"Mar 03, 2020",4,1,0,1,3,0,0,0,0
18,"Mar 04, 2020",6,2,1,0,5,0,0,0,0
19,"Mar 05, 2020",6,0,1,1,3,0,0,0,0
20,"Mar 06, 2020",9,3,2,1,6,0,0,0,0
21,"Mar 07, 2020",13,4,2,1,10,0,0,0,0
22,"Mar 08, 2020",15,2,3,2,10,0,0,0,0
23,"Mar 09, 2020",17,2,3,2,12,0,0,0,0
24,"Mar 10, 2020",29,12,5,4,24,0,0,0,0
25,"Mar 11, 2020",47,18,11,5,41,0,0,0,0
26,"Mar 12, 2020",59,12,14,8,52,0,0,0,0
27,"Mar 13, 2020",95,36,22,12,88,0,0,0,0
28,"Mar 14, 2020",123,28,25,16,114,0,0,0,0
29,"Mar 15, 2020",139,16,27,18,130,0,0,0,0
30,"Mar 16, 2020",168,29,24,21,159,0,0,0,0
31,"Mar 17, 2020",217,49,32,27,198,0,0,0,0
32,"Mar 18, 2020",260,43,40,31,241,0,0,0,0
33,"Mar 19, 2020",277,17,36,31,252,0,0,0,0
34,"Mar 20, 2020",308,31,31,30,277,0,0,0,0
35,"Mar 21, 2020",367,59,35,35,315,0,0,0,0
36,"Mar 22, 2020",433,66,52,42,366,3,3,0,0
37,"Mar 23, 2020",576,143,90,58,496,7,4,2,0
38,"Mar 24, 2020",794,218,142,83,703,12,5,4,2
39,"Mar 25, 2020",906,112,158,92,803,17,5,5,3
40,"Mar 26, 2020",1029,123,151,107,912,23,6,5,3
41,"Mar 27, 2020",1292,263,166,141,1151,26,3,5,4
42,"Mar 28, 2020",1452,160,182,155,1276,37,11,7,5
43,"Mar 29, 2020",1815,363,262,197,1566,43,6,6,6
44,"Mar 30, 2020",2109,294,272,219,1835,65,22,13,8
45,"Mar 31, 2020",2245,136,264,208,1943,82,17,15,10
46,"Apr 01, 2020",2460,215,215,222,2116,92,10,17,11
47,"Apr 02, 2020",2738,278,210,244,2356,115,23,16,13
48,"Apr 03, 2020",3183,445,313,270,2767,133,18,17,15
49,"Apr 04, 2020",3613,430,384,309,3138,146,13,18,16
50,"Apr 05, 2020",3864,251,375,292,3339,151,5,12,15
51,"Apr 06, 2020",4057,193,292,279,3475,176,25,15,16
52,"Apr 07, 2020",4417,360,268,310,3760,197,21,17,16
53,"Apr 08, 2020",4761,344,299,329,4013,220,23,23,19
54,"Apr 09, 2020",5202,441,381,352,4307,248,28,24,19
55,"Apr 10, 2020",5467,265,350,326,4468,270,22,24,19
56,"Apr 11, 2020",5990,523,410,340,4941,291,21,24,21
57,"Apr 12, 2020",6300,310,366,348,5132,316,25,22,23
58,"Apr 13, 2020",6633,333,389,368,5388,331,15,21,23
59,"Apr 14, 2020",6879,246,296,351,5477,351,20,20,22
60,"Apr 15, 2020",7216,337,305,351,5627,372,21,18,21
61,"Apr 16, 2020",7707,491,358,358,5958,392,20,21,21
62,"Apr 17, 2020",8067,360,396,371,6148,411,19,20,20
63,"Apr 18, 2020",8418,351,401,347,6267,421,10,16,19
64,"Apr 19, 2020",8746,328,346,350,6403,451,30,20,19
65,"Apr 20, 2020",8936,190,290,329,6441,478,27,22,21
66,"Apr 21, 2020",9242,306,275,337,6591,498,20,26,21
67,"Apr 22, 2020",9710,468,321,356,6780,524,26,24,22
