Days,Date,0_DeathRate,1_RecoveryRate,2_Cases,3_DailyCases,4_DailyCases- 3-daymovingaverage,5_DailyCases- 7-daymovingaverage,6_CurrentlyInfected,7_Deaths,8_DailyDeaths,9_DailyDeaths- 3-daymovingaverage,10_DailyDeaths- 7-daymovingaverage,11_NewRecoveries,12_NewCases,13_DeathRate,14_RecoveryRate
0,"Feb 15, 2020",0.000,100.000,2,0,0,0,0,0,0,0,0,0,0,0.000,100.000
1,"Feb 16, 2020",0.000,100.000,2,0,0,0,0,0,0,0,0,0,0,0.000,100.000
2,"Feb 17, 2020",0.000,100.000,2,0,0,0,0,0,0,0,0,0,0,0.000,100.000
3,"Feb 18, 2020",0.000,100.000,2,0,0,0,0,0,0,0,0,0,0,0.000,100.000
4,"Feb 19, 2020",0.000,100.000,2,0,0,0,0,0,0,0,0,0,0,0.000,100.000
5,"Feb 20, 2020",0.000,100.000,2,0,0,0,0,0,0,0,0,0,0,0.000,100.000
6,"Feb 21, 2020",0.000,100.000,2,0,0,0,0,0,0,0,0,0,0,0.000,100.000
7,"Feb 22, 2020",0.000,100.000,2,0,0,0,0,0,0,0,0,0,0,0.000,100.000
8,"Feb 23, 2020",0.000,100.000,2,0,0,0,0,0,0,0,0,0,0,0.000,100.000
9,"Feb 24, 2020",0.000,100.000,2,0,0,0,0,0,0,0,0,0,0,0.000,100.000
10,"Feb 25, 2020",0.000,100.000,2,0,0,0,0,0,0,0,0,0,0,0.000,100.000
11,"Feb 26, 2020",0.000,100.000,2,0,0,0,0,0,0,0,0,0,0,0.000,100.000
12,"Feb 27, 2020",0.000,100.000,2,0,0,0,0,0,0,0,0,0,0,0.000,100.000
13,"Feb 28, 2020",0.000,100.000,2,0,0,0,0,0,0,0,0,0,0,0.000,100.000
14,"Feb 29, 2020",0.000,100.000,2,0,0,0,0,0,0,0,0,0,0,0.000,100.000
15,"Mar 01, 2020",0.000,100.000,2,0,0,0,0,0,0,0,0,0,0,0.000,100.000
16,"Mar 02, 2020",0.000,100.000,3,1,0,0,1,0,0,0,0,0,1,0.000,100.000
17,"Mar 03, 2020",0.000,100.000,3,0,1,0,1,0,0,0,0,0,0,0.000,100.000
18,"Mar 04, 2020",0.000,100.000,3,0,0,0,1,0,0,0,0,0,0,0.000,100.000
19,"Mar 05, 2020",0.000,100.000,7,4,1,1,5,0,0,0,0,0,4,0.000,100.000
20,"Mar 06, 2020",0.000,100.000,13,6,4,2,11,0,0,0,0,0,6,0.000,100.000
21,"Mar 07, 2020",0.000,100.000,14,1,3,1,11,0,0,0,0,1,1,0.000,100.000
22,"Mar 08, 2020",0.000,100.000,17,3,4,3,14,0,0,0,0,0,3,0.000,100.000
23,"Mar 09, 2020",0.000,100.000,20,3,2,2,17,0,0,0,0,0,3,0.000,100.000
24,"Mar 10, 2020",0.000,100.000,20,0,2,2,17,0,0,0,0,0,0,0.000,100.000
25,"Mar 11, 2020",0.000,100.000,28,8,4,4,25,0,0,0,0,0,8,0.000,100.000
26,"Mar 12, 2020",0.000,100.000,34,6,4,4,31,0,0,0,0,0,6,0.000,100.000
27,"Mar 13, 2020",0.000,100.000,45,11,9,4,37,0,0,0,0,5,11,0.000,100.000
28,"Mar 14, 2020",0.000,100.000,59,14,10,7,51,0,0,0,0,0,14,0.000,100.000
29,"Mar 15, 2020",0.000,100.000,63,4,10,6,55,0,0,0,0,0,4,0.000,100.000
30,"Mar 16, 2020",0.000,100.000,93,30,16,11,85,0,0,0,0,0,30,0.000,100.000
31,"Mar 17, 2020",0.000,100.000,114,21,18,13,106,0,0,0,0,0,21,0.000,100.000
32,"Mar 18, 2020",0.000,100.000,147,33,28,17,139,0,0,0,0,0,33,0.000,100.000
33,"Mar 19, 2020",11.110,88.890,199,52,35,24,190,1,1,0,0,0,52,11.110,88.890
34,"Mar 20, 2020",7.690,92.310,253,54,47,30,240,1,0,0,0,4,54,7.690,92.310
35,"Mar 21, 2020",5.880,94.120,306,53,53,35,289,1,0,0,0,4,53,5.880,94.120
36,"Mar 22, 2020",5.880,94.120,367,61,56,43,350,1,0,0,0,0,61,5.880,94.120
37,"Mar 23, 2020",5.560,94.440,438,71,61,50,420,1,0,0,0,1,71,5.560,94.440
38,"Mar 24, 2020",4.350,95.650,495,57,63,54,472,1,0,0,0,5,57,4.350,95.650
39,"Mar 25, 2020",9.380,90.630,658,163,97,73,626,3,2,1,0,7,163,9.380,90.630
40,"Mar 26, 2020",7.320,92.680,840,182,134,92,799,3,0,0,1,9,182,7.320,92.680
41,"Mar 27, 2020",8.160,91.840,1036,196,181,111,987,4,1,1,0,7,196,8.160,91.840
42,"Mar 28, 2020",7.550,92.450,1264,228,202,137,1211,4,0,1,0,4,228,7.550,92.450
43,"Mar 29, 2020",11.110,88.890,1534,270,231,167,1462,8,4,1,1,15,270,11.110,88.890
44,"Mar 30, 2020",12.000,88.000,1836,302,267,200,1761,9,1,2,2,2,302,12.000,88.000
45,"Mar 31, 2020",12.320,87.680,2337,501,357,263,2199,17,8,4,2,55,501,12.320,87.680
46,"Apr 01, 2020",11.210,88.790,2777,440,415,303,2563,24,7,6,3,69,440,11.210,88.790
47,"Apr 02, 2020",11.320,88.680,3548,771,570,386,3283,30,6,7,4,45,771,11.320,88.680
48,"Apr 03, 2020",10.790,89.210,4149,601,604,445,3834,34,4,5,4,46,601,10.790,89.210
49,"Apr 04, 2020",11.440,88.560,4731,582,652,495,4355,43,9,7,6,52,582,11.440,88.560
50,"Apr 05, 2020",11.250,88.750,5389,658,613,551,4989,45,2,5,5,22,658,11.250,88.750
51,"Apr 06, 2020",10.380,89.620,6343,954,732,644,5890,47,2,4,5,51,954,10.380,89.620
52,"Apr 07, 2020",10.510,89.490,7497,1154,922,737,6945,58,11,5,6,88,1154,10.510,89.490
53,"Apr 08, 2020",9.800,90.200,8672,1175,1094,842,8029,63,5,6,6,86,1175,9.800,90.200
54,"Apr 09, 2020",9.820,90.180,10131,1459,1263,941,9357,76,13,10,6,118,1459,9.820,90.180
55,"Apr 10, 2020",10.570,89.430,11917,1786,1473,1109,11028,94,18,12,9,97,1786,10.570,89.430
56,"Apr 11, 2020",9.210,90.790,13584,1667,1637,1265,12433,106,12,14,9,250,1667,9.210,90.790
57,"Apr 12, 2020",9.150,90.850,15770,2186,1880,1483,14349,130,24,18,12,246,2186,9.150,90.850
58,"Apr 13, 2020",9.150,90.850,18328,2558,2137,1712,16710,148,18,18,14,179,2558,9.150,90.850
59,"Apr 14, 2020",9.120,90.880,21102,2774,2506,1944,19238,170,22,21,16,224,2774,9.120,90.880
60,"Apr 15, 2020",9.070,90.930,24490,3388,2907,2260,22306,198,28,23,20,292,3388,9.070,90.930
