Days,Date,0_Cases,1_DailyCases,2_DailyCases- 3-daymovingaverage,3_DailyCases- 7-daymovingaverage,4_CurrentlyInfected,5_Deaths,6_DailyDeaths,7_DailyDeaths- 3-daymovingaverage,8_DailyDeaths- 7-daymovingaverage
0,"Feb 15, 2020",0,0,0,0,0,0,0,0,0
1,"Feb 16, 2020",0,0,0,0,0,0,0,0,0
2,"Feb 17, 2020",0,0,0,0,0,0,0,0,0
3,"Feb 18, 2020",0,0,0,0,0,0,0,0,0
4,"Feb 19, 2020",0,0,0,0,0,0,0,0,0
5,"Feb 20, 2020",0,0,0,0,0,0,0,0,0
6,"Feb 21, 2020",0,0,0,0,0,0,0,0,0
7,"Feb 22, 2020",0,0,0,0,0,0,0,0,0
8,"Feb 23, 2020",0,0,0,0,0,0,0,0,0
9,"Feb 24, 2020",0,0,0,0,0,0,0,0,0
10,"Feb 25, 2020",0,0,0,0,0,0,0,0,0
11,"Feb 26, 2020",0,0,0,0,0,0,0,0,0
12,"Feb 27, 2020",0,0,0,0,0,0,0,0,0
13,"Feb 28, 2020",0,0,0,0,0,0,0,0,0
14,"Feb 29, 2020",0,0,0,0,0,0,0,0,0
15,"Mar 01, 2020",0,0,0,0,0,0,0,0,0
16,"Mar 02, 2020",0,0,0,0,0,0,0,0,0
17,"Mar 03, 2020",0,0,0,0,0,0,0,0,0
18,"Mar 04, 2020",0,0,0,0,0,0,0,0,0
19,"Mar 05, 2020",0,0,0,0,0,0,0,0,0
20,"Mar 06, 2020",0,0,0,0,0,0,0,0,0
21,"Mar 07, 2020",0,0,0,0,0,0,0,0,0
22,"Mar 08, 2020",0,0,0,0,0,0,0,0,0
23,"Mar 09, 2020",0,0,0,0,0,0,0,0,0
24,"Mar 10, 2020",0,0,0,0,0,0,0,0,0
25,"Mar 11, 2020",0,0,0,0,0,0,0,0,0
26,"Mar 12, 2020",0,0,0,0,0,0,0,0,0
27,"Mar 13, 2020",0,0,0,0,0,0,0,0,0
28,"Mar 14, 2020",1,0,0,0,1,0,0,0,0
29,"Mar 15, 2020",5,4,0,0,5,0,0,0,0
30,"Mar 16, 2020",7,2,2,1,7,0,0,0,0
31,"Mar 17, 2020",7,0,2,1,7,0,0,0,0
32,"Mar 18, 2020",11,4,2,1,11,0,0,0,0
33,"Mar 19, 2020",11,0,2,2,11,0,0,0,0
34,"Mar 20, 2020",17,6,3,2,17,0,0,0,0
35,"Mar 21, 2020",17,0,2,3,17,0,0,0,0
36,"Mar 22, 2020",19,2,3,2,19,0,0,0,0
37,"Mar 23, 2020",36,17,6,4,36,0,0,0,0
38,"Mar 24, 2020",40,4,8,5,40,0,0,0,0
39,"Mar 25, 2020",41,1,7,4,41,0,0,0,0
40,"Mar 26, 2020",50,9,5,5,50,0,0,0,0
41,"Mar 27, 2020",54,4,4,6,54,0,0,0,0
42,"Mar 28, 2020",60,6,7,6,60,0,0,0,0
43,"Mar 29, 2020",70,10,6,7,70,0,0,0,0
44,"Mar 30, 2020",70,0,6,5,70,0,0,0,0
45,"Mar 31, 2020",75,5,5,5,75,0,0,0,0
46,"Apr 01, 2020",82,7,4,6,82,0,0,0,0
47,"Apr 02, 2020",84,2,4,5,84,0,0,0,0
48,"Apr 03, 2020",89,5,5,5,89,0,0,0,0
49,"Apr 04, 2020",102,13,7,6,102,0,0,0,0
50,"Apr 05, 2020",104,2,6,5,100,0,0,0,0
51,"Apr 06, 2020",105,1,6,5,101,0,0,0,0
52,"Apr 07, 2020",105,0,1,4,98,0,0,0,0
53,"Apr 08, 2020",110,5,2,4,103,0,0,0,0
54,"Apr 09, 2020",113,3,2,4,106,0,0,0,0
55,"Apr 10, 2020",118,5,5,4,111,0,0,0,0
56,"Apr 11, 2020",120,2,3,3,102,0,0,0,0
57,"Apr 12, 2020",126,6,4,3,101,0,0,0,0
58,"Apr 13, 2020",127,1,3,3,85,0,0,0,0
59,"Apr 14, 2020",134,7,5,4,85,0,0,0,0
60,"Apr 15, 2020",136,2,3,4,82,0,0,0,0
61,"Apr 16, 2020",138,2,4,3,78,0,0,0,0
62,"Apr 17, 2020",143,5,3,4,78,0,0,0,0
63,"Apr 18, 2020",144,1,3,3,75,0,0,0,0
64,"Apr 19, 2020",147,3,3,3,71,0,0,0,0
65,"Apr 20, 2020",147,0,1,3,71,0,0,0,0
66,"Apr 21, 2020",150,3,2,3,66,0,0,0,0
67,"Apr 22, 2020",153,3,2,2,69,0,0,0,0
68,"Apr 23, 2020",154,1,2,2,67,0,0,0,0
69,"Apr 24, 2020",176,22,9,5,89,0,0,0,0
