Days,Date,0_Cases,1_DailyCases,2_DailyCases- 3-daymovingaverage,3_DailyCases- 7-daymovingaverage,4_CurrentlyInfected,5_Deaths,6_DailyDeaths,7_DailyDeaths- 3-daymovingaverage,8_DailyDeaths- 7-daymovingaverage
0,"Feb 15, 2020",0,0,0,0,0,0,0,0,0
1,"Feb 16, 2020",0,0,0,0,0,0,0,0,0
2,"Feb 17, 2020",0,0,0,0,0,0,0,0,0
3,"Feb 18, 2020",0,0,0,0,0,0,0,0,0
4,"Feb 19, 2020",0,0,0,0,0,0,0,0,0
5,"Feb 20, 2020",0,0,0,0,0,0,0,0,0
6,"Feb 21, 2020",0,0,0,0,0,0,0,0,0
7,"Feb 22, 2020",0,0,0,0,0,0,0,0,0
8,"Feb 23, 2020",0,0,0,0,0,0,0,0,0
9,"Feb 24, 2020",0,0,0,0,0,0,0,0,0
10,"Feb 25, 2020",0,0,0,0,0,0,0,0,0
11,"Feb 26, 2020",0,0,0,0,0,0,0,0,0
12,"Feb 27, 2020",1,0,0,0,1,0,0,0,0
13,"Feb 28, 2020",1,0,0,0,1,0,0,0,0
14,"Feb 29, 2020",1,0,0,0,1,0,0,0,0
15,"Mar 01, 2020",9,8,3,0,8,1,1,0,0
16,"Mar 02, 2020",9,0,2,1,8,1,0,0,0
17,"Mar 03, 2020",11,2,4,2,10,1,0,0,0
18,"Mar 04, 2020",17,6,2,2,16,1,0,0,0
19,"Mar 05, 2020",22,5,5,3,21,1,0,0,0
20,"Mar 06, 2020",24,2,4,3,23,1,0,0,0
21,"Mar 07, 2020",27,3,3,4,26,1,0,0,0
22,"Mar 08, 2020",37,10,5,4,36,1,0,0,0
23,"Mar 09, 2020",51,14,9,6,49,2,1,0,0
24,"Mar 10, 2020",62,11,12,7,60,2,0,1,0
25,"Mar 11, 2020",69,7,11,8,66,3,1,0,1
26,"Mar 12, 2020",72,3,7,7,67,5,2,1,0
27,"Mar 13, 2020",80,8,6,8,73,5,0,1,1
28,"Mar 14, 2020",101,21,10,10,92,5,0,1,0
29,"Mar 15, 2020",109,8,13,11,98,7,2,1,1
30,"Mar 16, 2020",109,0,9,8,96,9,2,1,1
31,"Mar 17, 2020",119,10,6,8,104,11,2,2,1
32,"Mar 18, 2020",140,21,11,10,122,14,3,2,2
33,"Mar 19, 2020",144,4,11,11,126,14,0,2,1
34,"Mar 20, 2020",151,7,11,10,133,14,0,1,2
35,"Mar 21, 2020",160,9,7,8,136,20,6,2,2
36,"Mar 22, 2020",175,15,10,10,151,20,0,2,2
37,"Mar 23, 2020",187,12,12,11,163,20,0,2,1
38,"Mar 24, 2020",187,0,9,9,162,21,1,0,2
39,"Mar 25, 2020",208,21,11,10,183,21,0,1,1
40,"Mar 26, 2020",208,0,7,9,183,21,0,0,1
41,"Mar 27, 2020",223,15,12,11,196,21,0,0,1
42,"Mar 28, 2020",224,1,5,9,196,22,1,0,0
43,"Mar 29, 2020",224,0,6,7,196,22,0,1,0
44,"Mar 30, 2020",230,6,2,6,192,25,3,1,1
45,"Mar 31, 2020",236,6,4,7,197,26,1,1,1
46,"Apr 01, 2020",236,0,4,4,195,28,2,2,1
47,"Apr 02, 2020",245,9,5,5,194,30,2,2,1
48,"Apr 03, 2020",251,6,5,4,193,32,2,2,1
49,"Apr 04, 2020",259,8,8,5,200,32,0,1,2
50,"Apr 05, 2020",266,7,7,6,199,32,0,1,1
51,"Apr 06, 2020",277,11,8,7,210,32,0,0,1
52,"Apr 07, 2020",279,2,7,6,205,34,2,1,1
53,"Apr 08, 2020",308,29,14,10,229,34,0,0,1
54,"Apr 09, 2020",333,25,19,13,250,34,0,1,1
55,"Apr 10, 2020",344,11,21,13,260,34,0,0,0
56,"Apr 11, 2020",356,12,16,14,268,35,1,0,1
57,"Apr 12, 2020",356,0,8,13,268,35,0,1,0
58,"Apr 13, 2020",371,15,9,13,282,36,1,0,1
59,"Apr 14, 2020",372,1,5,14,283,36,0,1,0
60,"Apr 15, 2020",393,21,13,12,304,36,0,0,0
61,"Apr 16, 2020",426,33,18,13,333,38,2,1,1
62,"Apr 17, 2020",435,9,21,13,339,39,1,1,0
63,"Apr 18, 2020",455,20,21,14,356,39,0,1,1
64,"Apr 19, 2020",461,6,11,15,362,39,0,0,1
65,"Apr 20, 2020",462,1,9,13,362,39,0,0,0
66,"Apr 21, 2020",476,14,7,15,374,40,1,0,1
67,"Apr 22, 2020",488,12,9,14,386,40,0,1,0
68,"Apr 23, 2020",501,13,13,10,398,40,0,0,0
69,"Apr 24, 2020",513,12,13,11,409,40,0,0,1
