Days,Date,0_DeathRate,1_RecoveryRate,2_Cases,3_DailyCases,4_DailyCases- 3-daymovingaverage,5_DailyCases- 7-daymovingaverage,6_CurrentlyInfected,7_Deaths,8_DailyDeaths,9_DailyDeaths- 3-daymovingaverage,10_DailyDeaths- 7-daymovingaverage,11_NewRecoveries,12_NewCases,13_DeathRate,14_RecoveryRate
0,"Feb 15, 2020",0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
1,"Feb 16, 2020",0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
2,"Feb 17, 2020",0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
3,"Feb 18, 2020",0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
4,"Feb 19, 2020",0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
5,"Feb 20, 2020",0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
6,"Feb 21, 2020",0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
7,"Feb 22, 2020",0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
8,"Feb 23, 2020",0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
9,"Feb 24, 2020",0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
10,"Feb 25, 2020",0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
11,"Feb 26, 2020",0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
12,"Feb 27, 2020",0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
13,"Feb 28, 2020",0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
14,"Feb 29, 2020",0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
15,"Mar 01, 2020",0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
16,"Mar 02, 2020",0.000,0.000,1,0,0,0,1,0,0,0,0,0,0,0.000,0.000
17,"Mar 03, 2020",0.000,0.000,1,0,0,0,1,0,0,0,0,0,0,0.000,0.000
18,"Mar 04, 2020",0.000,0.000,2,1,0,0,2,0,0,0,0,0,1,0.000,0.000
19,"Mar 05, 2020",0.000,100.000,5,3,2,0,4,0,0,0,0,1,3,0.000,100.000
20,"Mar 06, 2020",0.000,100.000,5,0,1,1,4,0,0,0,0,0,0,0.000,100.000
21,"Mar 07, 2020",0.000,100.000,7,2,2,1,6,0,0,0,0,0,2,0.000,100.000
22,"Mar 08, 2020",0.000,100.000,11,4,2,2,10,0,0,0,0,0,4,0.000,100.000
23,"Mar 09, 2020",0.000,100.000,20,9,5,2,19,0,0,0,0,0,9,0.000,100.000
24,"Mar 10, 2020",0.000,100.000,20,0,4,3,19,0,0,0,0,0,0,0.000,100.000
25,"Mar 11, 2020",0.000,100.000,45,25,11,6,44,0,0,0,0,0,25,0.000,100.000
26,"Mar 12, 2020",0.000,100.000,45,0,9,6,44,0,0,0,0,0,0,0.000,100.000
27,"Mar 13, 2020",0.000,100.000,86,41,22,11,85,0,0,0,0,0,41,0.000,100.000
28,"Mar 14, 2020",0.000,100.000,103,17,19,14,102,0,0,0,0,0,17,0.000,100.000
29,"Mar 15, 2020",0.000,100.000,118,15,24,15,115,0,0,0,0,2,15,0.000,100.000
30,"Mar 16, 2020",0.000,100.000,133,15,16,17,127,0,0,0,0,3,15,0.000,100.000
31,"Mar 17, 2020",0.000,100.000,171,38,23,21,165,0,0,0,0,0,38,0.000,100.000
32,"Mar 18, 2020",0.000,100.000,238,67,40,28,232,0,0,0,0,0,67,0.000,100.000
33,"Mar 19, 2020",0.000,100.000,274,36,47,32,266,0,0,0,0,2,36,0.000,100.000
34,"Mar 20, 2020",0.000,100.000,344,70,57,37,336,0,0,0,0,0,70,0.000,100.000
35,"Mar 21, 2020",0.000,100.000,392,48,52,42,376,0,0,0,0,8,48,0.000,100.000
36,"Mar 22, 2020",0.000,100.000,511,119,79,56,494,0,0,0,0,1,119,0.000,100.000
37,"Mar 23, 2020",0.000,100.000,562,51,72,61,543,0,0,0,0,2,51,0.000,100.000
38,"Mar 24, 2020",3.450,96.550,767,205,125,85,738,1,1,0,0,9,205,3.450,96.550
39,"Mar 25, 2020",6.450,93.550,900,133,130,95,869,2,1,0,0,1,133,6.450,93.550
40,"Mar 26, 2020",8.330,91.670,1012,112,150,105,976,3,1,1,0,4,112,8.330,91.670
41,"Mar 27, 2020",7.890,92.110,1104,92,112,109,1066,3,0,1,0,2,92,7.890,92.110
42,"Mar 28, 2020",9.760,90.240,1203,99,101,116,1162,4,1,0,1,2,99,9.760,90.240
43,"Mar 29, 2020",10.810,89.190,1299,96,96,112,1225,8,4,2,1,29,96,10.810,89.190
44,"Mar 30, 2020",6.500,93.500,1453,154,116,127,1330,8,0,2,1,49,154,6.500,93.500
45,"Mar 31, 2020",5.710,94.290,1563,110,120,114,1388,10,2,2,1,50,110,5.710,94.290
46,"Apr 01, 2020",5.710,94.290,1720,157,141,117,1440,16,6,2,2,99,157,5.710,94.290
47,"Apr 02, 2020",6.020,93.980,1885,165,144,125,1536,21,5,5,3,64,165,6.020,93.980
48,"Apr 03, 2020",6.650,93.350,2039,154,158,134,1663,25,4,5,3,23,154,6.650,93.350
49,"Apr 04, 2020",6.460,93.540,2179,140,153,139,1730,29,4,4,4,69,140,6.460,93.540
50,"Apr 05, 2020",6.510,93.490,2402,223,173,158,1880,34,5,4,3,68,223,6.510,93.490
51,"Apr 06, 2020",6.450,93.550,2605,203,188,164,2016,38,4,5,5,63,203,6.450,93.550
52,"Apr 07, 2020",6.250,93.750,2795,190,206,176,2139,41,3,4,4,64,190,6.250,93.750
53,"Apr 08, 2020",6.100,93.900,2932,137,176,173,2260,41,0,2,4,16,137,6.100,93.900
54,"Apr 09, 2020",6.200,93.800,3287,355,228,201,2577,44,3,2,3,35,355,6.200,93.800
55,"Apr 10, 2020",6.420,93.580,3651,364,285,230,2919,47,3,2,3,19,364,6.420,93.580
56,"Apr 11, 2020",6.740,93.260,4033,382,367,265,3261,52,5,4,3,35,382,6.740,93.260
57,"Apr 12, 2020",7.200,92.800,4462,429,392,294,3642,59,7,5,4,41,429,7.200,92.800
58,"Apr 13, 2020",7.470,92.530,4934,472,427,333,4064,65,6,6,4,44,472,7.470,92.530
59,"Apr 14, 2020",7.590,92.410,5369,435,446,367,4407,73,8,7,4,84,435,7.590,92.410
60,"Apr 15, 2020",7.820,92.180,5862,493,466,419,4852,79,6,6,6,42,493,7.820,92.180
61,"Apr 16, 2020",7.740,92.260,6380,518,482,442,5307,83,4,6,5,59,518,7.740,92.260
62,"Apr 17, 2020",7.660,92.340,7142,762,591,499,6006,87,4,5,6,59,762,7.660,92.340
63,"Apr 18, 2020",6.470,93.530,8274,1132,804,605,6853,92,5,4,6,280,1132,6.470,93.530
64,"Apr 19, 2020",6.490,93.510,9362,1088,994,700,7867,97,5,5,5,69,1088,6.490,93.510
65,"Apr 20, 2020",6.470,93.530,10484,1122,1114,793,8891,103,6,5,6,92,1122,6.470,93.530
66,"Apr 21, 2020",6.230,93.770,11631,1147,1119,895,9882,109,6,6,5,150,1147,6.230,93.770
67,"Apr 22, 2020",5.920,94.080,12772,1141,1137,987,10846,114,5,6,5,172,1141,5.920,94.080
68,"Apr 23, 2020",5.910,94.090,13930,1158,1149,1079,11884,121,7,6,5,113,1158,5.910,94.090
69,"Apr 24, 2020",5.840,94.160,15102,1172,1157,1137,12926,127,6,6,6,124,1172,5.840,94.160
70,"Apr 25, 2020",5.780,94.220,16299,1197,1175,1146,13948,136,9,7,6,166,1197,5.780,94.220
71,"Apr 26, 2020",5.570,94.430,17522,1223,1198,1166,15026,139,3,6,6,142,1223,5.570,94.430
72,"Apr 27, 2020",5.380,94.620,18811,1289,1236,1189,16136,144,5,6,6,174,1289,5.380,94.620
73,"Apr 28, 2020",5.180,94.820,20077,1266,1259,1207,17141,152,8,5,6,253,1266,5.180,94.820
74,"Apr 29, 2020",5.050,94.950,21402,1325,1294,1233,18292,157,5,6,6,169,1325,5.050,94.950
75,"Apr 30, 2020",4.870,95.130,22753,1351,1314,1260,19428,162,5,6,6,210,1351,4.870,95.130
76,"May 01, 2020",4.540,95.460,24097,1344,1340,1285,20373,169,7,6,6,392,1344,4.540,95.460
77,"May 02, 2020",4.470,95.530,25459,1362,1352,1309,21518,176,7,6,6,210,1362,4.470,95.530
78,"May 03, 2020",4.260,95.740,27011,1552,1419,1355,22693,184,8,7,6,369,1552,4.260,95.740
79,"May 04, 2020",4.090,95.910,28656,1645,1520,1407,23989,191,7,8,7,342,1645,4.090,95.910
80,"May 05, 2020",3.550,96.450,30251,1595,1597,1453,24620,200,9,8,7,955,1595,3.550,96.450
81,"May 06, 2020",2.990,97.010,31938,1687,1643,1505,24946,209,9,8,7,1352,1687,2.990,97.010
82,"May 07, 2020",2.730,97.270,33731,1793,1691,1569,25714,219,10,9,9,1015,1793,2.730,97.270
83,"May 08, 2020",2.450,97.550,35432,1701,1727,1619,26083,229,10,10,8,1322,1701,2.450,97.550
84,"May 09, 2020",2.300,97.700,37136,1704,1733,1668,26753,239,10,10,9,1024,1704,2.300,97.700
85,"May 10, 2020",2.100,97.900,39048,1912,1772,1720,27345,246,7,9,9,1313,1912,2.100,97.900
86,"May 11, 2020",1.960,98.040,41014,1966,1861,1765,28022,255,9,9,9,1280,1966,1.960,98.040
87,"May 12, 2020",1.700,98.300,42925,1911,1930,1811,27404,264,9,8,9,2520,1911,1.700,98.300
88,"May 13, 2020",1.530,98.470,44830,1905,1927,1841,26935,273,9,9,9,2365,1905,1.530,98.470
89,"May 14, 2020",1.460,98.540,46869,2039,1952,1877,27535,283,10,9,10,1429,2039,1.460,98.540
90,"May 15, 2020",1.320,98.680,49176,2307,2083,1964,27015,292,9,10,9,2818,2307,1.320,98.680
91,"May 16, 2020",1.260,98.740,52016,2840,2396,2125,28048,302,10,9,9,1797,2840,1.260,98.740
92,"May 17, 2020",1.200,98.800,54752,2736,2627,2244,28718,312,10,10,9,2056,2736,1.200,98.800
93,"May 18, 2020",1.100,98.900,57345,2593,2723,2333,28277,320,8,9,9,3026,2593,1.100,98.900
94,"May 19, 2020",1.030,98.970,59854,2509,2613,2418,27891,329,9,9,10,2886,2509,1.030,98.970
95,"May 20, 2020",1.000,99.000,62545,2691,2598,2531,28728,339,10,9,9,1844,2691,1.000,99.000
96,"May 21, 2020",0.960,99.040,65077,2532,2577,2601,28686,351,12,11,10,2562,2532,0.960,99.040
97,"May 22, 2020",0.920,99.080,67719,2642,2622,2649,28352,364,13,11,10,2963,2642,0.920,99.080
98,"May 23, 2020",0.910,99.090,70161,2442,2538,2592,28546,379,15,14,11,2233,2442,0.910,99.090
99,"May 24, 2020",0.890,99.110,72560,2399,2495,2544,28650,390,11,13,11,2284,2399,0.890,99.110
100,"May 25, 2020",0.870,99.130,74795,2235,2358,2493,28728,399,9,11,11,2148,2235,0.870,99.130
101,"May 26, 2020",0.840,99.160,76726,1931,2189,2410,27865,411,12,11,12,2782,1931,0.840,99.160
102,"May 27, 2020",0.830,99.170,78541,1815,1993,2286,27094,425,14,12,12,2572,1815,0.830,99.170
103,"May 28, 2020",0.800,99.200,80185,1644,1797,2158,25191,441,16,14,13,3531,1644,0.800,99.200
104,"May 29, 2020",0.800,99.200,81766,1581,1680,2007,24295,458,17,15,14,2460,1581,0.800,99.200
105,"May 30, 2020",0.810,99.190,83384,1618,1614,1889,24021,480,22,19,14,1870,1618,0.810,99.190
106,"May 31, 2020",0.800,99.200,85261,1877,1692,1814,22316,503,23,20,16,3559,1877,0.800,99.200
107,"Jun 01, 2020",0.810,99.190,87142,1881,1792,1764,22311,525,22,23,18,1864,1881,0.810,99.190
108,"Jun 02, 2020",0.830,99.170,89011,1869,1876,1755,22672,549,24,23,20,1484,1869,0.830,99.170
109,"Jun 03, 2020",0.840,99.160,91182,2171,1974,1806,22444,579,30,25,22,2369,2171,0.840,99.160
110,"Jun 04, 2020",0.880,99.120,93157,1975,2005,1853,23581,611,32,29,24,806,1975,0.880,99.120
111,"Jun 05, 2020",0.900,99.100,95748,2591,2245,1997,24490,642,31,31,27,1651,2591,0.900,99.100
112,"Jun 06, 2020",0.930,99.070,98869,3121,2563,2212,26402,676,34,32,28,1175,3121,0.930,99.070
113,"Jun 07, 2020",0.970,99.030,101914,3045,2919,2379,28385,712,36,34,29,1026,3045,0.970,99.030
114,"Jun 08, 2020",0.990,99.010,105283,3369,3178,2592,30013,746,34,34,32,1707,3369,0.990,99.010
