Days,Date,0_Cases,1_DailyCases,2_DailyCases- 3-daymovingaverage,3_DailyCases- 7-daymovingaverage,4_CurrentlyInfected,5_Deaths,6_DailyDeaths,7_DailyDeaths- 3-daymovingaverage,8_DailyDeaths- 7-daymovingaverage
0,"Feb 15, 2020",0,0,0,0,0,0,0,0,0
1,"Feb 16, 2020",0,0,0,0,0,0,0,0,0
2,"Feb 17, 2020",0,0,0,0,0,0,0,0,0
3,"Feb 18, 2020",0,0,0,0,0,0,0,0,0
4,"Feb 19, 2020",0,0,0,0,0,0,0,0,0
5,"Feb 20, 2020",0,0,0,0,0,0,0,0,0
6,"Feb 21, 2020",0,0,0,0,0,0,0,0,0
7,"Feb 22, 2020",0,0,0,0,0,0,0,0,0
8,"Feb 23, 2020",0,0,0,0,0,0,0,0,0
9,"Feb 24, 2020",0,0,0,0,0,0,0,0,0
10,"Feb 25, 2020",0,0,0,0,0,0,0,0,0
11,"Feb 26, 2020",0,0,0,0,0,0,0,0,0
12,"Feb 27, 2020",0,0,0,0,0,0,0,0,0
13,"Feb 28, 2020",0,0,0,0,0,0,0,0,0
14,"Feb 29, 2020",0,0,0,0,0,0,0,0,0
15,"Mar 01, 2020",0,0,0,0,0,0,0,0,0
16,"Mar 02, 2020",1,0,0,0,1,0,0,0,0
17,"Mar 03, 2020",2,1,0,0,2,0,0,0,0
18,"Mar 04, 2020",4,2,1,0,4,0,0,0,0
19,"Mar 05, 2020",4,0,1,1,4,0,0,0,0
20,"Mar 06, 2020",4,0,1,0,3,0,0,0,0
21,"Mar 07, 2020",4,0,0,1,3,0,0,0,0
22,"Mar 08, 2020",4,0,0,0,3,0,0,0,0
23,"Mar 09, 2020",4,0,0,1,3,0,0,0,0
24,"Mar 10, 2020",4,0,0,0,3,0,0,0,0
25,"Mar 11, 2020",4,0,0,0,3,0,0,0,0
26,"Mar 12, 2020",10,6,2,1,9,0,0,0,0
27,"Mar 13, 2020",21,11,6,2,19,0,0,0,0
28,"Mar 14, 2020",24,3,6,3,22,0,0,0,0
29,"Mar 15, 2020",24,0,5,3,22,0,0,0,0
30,"Mar 16, 2020",27,3,2,3,25,0,0,0,0
31,"Mar 17, 2020",27,0,1,4,25,0,0,0,0
32,"Mar 18, 2020",36,9,4,4,34,0,0,0,0
33,"Mar 19, 2020",36,0,3,4,34,0,0,0,0
34,"Mar 20, 2020",47,11,7,4,42,0,0,0,0
35,"Mar 21, 2020",56,9,6,4,51,0,0,0,0
36,"Mar 22, 2020",67,11,11,6,62,0,0,0,0
37,"Mar 23, 2020",79,12,10,8,71,0,0,0,0
38,"Mar 24, 2020",86,7,10,8,78,0,0,0,0
39,"Mar 25, 2020",99,13,11,9,90,0,0,0,0
40,"Mar 26, 2020",105,6,9,10,96,0,0,0,0
41,"Mar 27, 2020",119,14,11,10,108,0,0,0,0
42,"Mar 28, 2020",130,11,10,11,112,0,0,0,0
43,"Mar 29, 2020",142,12,12,11,115,0,0,0,0
44,"Mar 30, 2020",162,20,15,11,135,0,0,0,0
45,"Mar 31, 2020",175,13,15,13,135,0,0,0,0
46,"Apr 01, 2020",190,15,16,13,144,1,1,0,0
47,"Apr 02, 2020",195,5,11,13,139,1,0,0,0
48,"Apr 03, 2020",207,12,10,13,140,1,0,0,0
49,"Apr 04, 2020",219,12,10,12,145,2,1,0,0
50,"Apr 05, 2020",222,3,9,12,138,2,0,1,0
51,"Apr 06, 2020",226,4,6,9,132,2,0,0,0
52,"Apr 07, 2020",237,11,6,9,130,2,0,0,1
53,"Apr 08, 2020",244,7,8,7,129,2,0,0,0
54,"Apr 09, 2020",250,6,8,8,125,2,0,0,0
55,"Apr 10, 2020",265,15,9,9,126,2,0,0,0
56,"Apr 11, 2020",278,13,11,8,124,2,0,0,0
57,"Apr 12, 2020",280,2,10,8,107,2,0,0,0
58,"Apr 13, 2020",291,11,9,10,111,2,0,0,0
59,"Apr 14, 2020",299,8,7,8,114,2,0,0,0
60,"Apr 15, 2020",314,15,11,10,122,2,0,0,0
61,"Apr 16, 2020",335,21,15,13,139,2,0,0,0
62,"Apr 17, 2020",342,7,14,11,142,2,0,0,0
63,"Apr 18, 2020",350,8,12,10,136,3,1,0,0
64,"Apr 19, 2020",367,17,11,12,144,3,0,1,0
65,"Apr 20, 2020",377,10,12,13,137,5,2,1,1
66,"Apr 21, 2020",412,35,20,16,165,5,0,0,0
67,"Apr 22, 2020",442,30,25,18,183,6,1,1,1
68,"Apr 23, 2020",479,37,34,21,216,6,0,1,0
69,"Apr 24, 2020",545,66,45,29,276,7,1,0,1
