Days,Date,0_Cases,1_DailyCases,2_DailyCases- 3-daymovingaverage,3_DailyCases- 7-daymovingaverage,4_CurrentlyInfected,5_Deaths,6_DailyDeaths,7_DailyDeaths- 3-daymovingaverage,8_DailyDeaths- 7-daymovingaverage
0,"Feb 15, 2020",0,0,0,0,0,0,0,0,0
1,"Feb 16, 2020",0,0,0,0,0,0,0,0,0
2,"Feb 17, 2020",0,0,0,0,0,0,0,0,0
3,"Feb 18, 2020",0,0,0,0,0,0,0,0,0
4,"Feb 19, 2020",0,0,0,0,0,0,0,0,0
5,"Feb 20, 2020",0,0,0,0,0,0,0,0,0
6,"Feb 21, 2020",0,0,0,0,0,0,0,0,0
7,"Feb 22, 2020",0,0,0,0,0,0,0,0,0
8,"Feb 23, 2020",0,0,0,0,0,0,0,0,0
9,"Feb 24, 2020",0,0,0,0,0,0,0,0,0
10,"Feb 25, 2020",0,0,0,0,0,0,0,0,0
11,"Feb 26, 2020",0,0,0,0,0,0,0,0,0
12,"Feb 27, 2020",0,0,0,0,0,0,0,0,0
13,"Feb 28, 2020",0,0,0,0,0,0,0,0,0
14,"Feb 29, 2020",0,0,0,0,0,0,0,0,0
15,"Mar 01, 2020",0,0,0,0,0,0,0,0,0
16,"Mar 02, 2020",0,0,0,0,0,0,0,0,0
17,"Mar 03, 2020",0,0,0,0,0,0,0,0,0
18,"Mar 04, 2020",0,0,0,0,0,0,0,0,0
19,"Mar 05, 2020",0,0,0,0,0,0,0,0,0
20,"Mar 06, 2020",1,0,0,0,1,0,0,0,0
21,"Mar 07, 2020",1,0,0,0,1,0,0,0,0
22,"Mar 08, 2020",1,0,0,0,1,0,0,0,0
23,"Mar 09, 2020",2,1,0,0,2,0,0,0,0
24,"Mar 10, 2020",5,3,2,0,5,0,0,0,0
25,"Mar 11, 2020",18,13,5,3,18,0,0,0,0
26,"Mar 12, 2020",24,6,8,3,24,0,0,0,0
27,"Mar 13, 2020",35,11,10,5,35,0,0,0,0
28,"Mar 14, 2020",46,11,9,7,46,0,0,0,0
29,"Mar 15, 2020",48,2,8,6,47,0,0,0,0
30,"Mar 16, 2020",57,9,7,8,56,0,0,0,0
31,"Mar 17, 2020",72,15,9,10,71,0,0,0,0
32,"Mar 18, 2020",89,17,14,10,88,0,0,0,0
33,"Mar 19, 2020",103,14,15,11,102,0,0,0,0
34,"Mar 20, 2020",135,32,21,15,132,1,0,0,0
35,"Mar 21, 2020",171,36,27,17,168,1,0,0,0
36,"Mar 22, 2020",222,51,40,25,218,2,1,0,0
37,"Mar 23, 2020",249,27,38,28,243,3,1,1,0
38,"Mar 24, 2020",303,54,44,33,285,3,0,1,0
39,"Mar 25, 2020",384,81,54,42,365,4,1,0,1
40,"Mar 26, 2020",457,73,69,50,435,7,3,2,1
41,"Mar 27, 2020",528,71,75,57,478,8,1,1,1
42,"Mar 28, 2020",659,131,92,69,607,10,2,2,1
43,"Mar 29, 2020",741,82,95,74,686,13,3,2,2
44,"Mar 30, 2020",785,44,85,77,727,16,3,3,2
45,"Mar 31, 2020",900,115,81,85,835,23,7,4,3
46,"Apr 01, 2020",1060,160,106,97,990,28,5,5,3
47,"Apr 02, 2020",1171,111,129,102,1098,31,3,5,3
48,"Apr 03, 2020",1476,305,192,135,1383,39,8,6,5
49,"Apr 04, 2020",1624,148,188,138,1526,44,5,5,5
50,"Apr 05, 2020",1908,284,245,167,1803,51,7,7,5
51,"Apr 06, 2020",2200,292,242,202,2024,58,7,6,6
52,"Apr 07, 2020",2447,247,274,221,2268,61,3,6,6
53,"Apr 08, 2020",2666,219,253,229,2483,65,4,4,5
54,"Apr 09, 2020",2867,201,222,243,2683,66,1,3,5
55,"Apr 10, 2020",3105,238,219,232,2916,71,5,3,4
56,"Apr 11, 2020",3380,275,238,251,3188,74,3,3,5
57,"Apr 12, 2020",3630,250,255,246,3150,80,6,5,4
58,"Apr 13, 2020",4054,424,316,265,3569,85,5,5,4
59,"Apr 14, 2020",4465,411,362,288,3971,94,9,6,4
60,"Apr 15, 2020",4873,408,414,316,4374,99,5,7,5
61,"Apr 16, 2020",5318,445,421,350,4772,103,4,6,6
62,"Apr 17, 2020",5690,372,409,369,5046,110,7,5,5
63,"Apr 18, 2020",5994,304,373,374,5240,117,7,6,6
64,"Apr 19, 2020",6318,324,334,384,5443,122,5,6,6
65,"Apr 20, 2020",6630,312,313,368,5635,125,3,5,6
66,"Apr 21, 2020",6890,260,299,346,5783,130,5,5,5
67,"Apr 22, 2020",7114,224,265,320,5955,134,4,4,5
