Days,Date,0_Cases,1_DailyCases,2_DailyCases- 3-daymovingaverage,3_DailyCases- 7-daymovingaverage,4_CurrentlyInfected,5_Deaths,6_DailyDeaths,7_DailyDeaths- 3-daymovingaverage,8_DailyDeaths- 7-daymovingaverage
0,"Feb 15, 2020",72,0,0,0,54,0,0,0,0
1,"Feb 16, 2020",75,3,5,4,56,0,0,0,0
2,"Feb 17, 2020",77,2,4,5,53,0,0,0,0
3,"Feb 18, 2020",81,4,3,5,52,0,0,0,0
4,"Feb 19, 2020",84,3,3,4,50,0,0,0,0
5,"Feb 20, 2020",85,1,2,4,48,0,0,0,0
6,"Feb 21, 2020",86,1,2,3,39,0,0,0,0
7,"Feb 22, 2020",89,3,2,2,40,0,0,0,0
8,"Feb 23, 2020",89,0,1,2,38,0,0,0,0
9,"Feb 24, 2020",90,1,1,2,41,0,0,0,0
10,"Feb 25, 2020",91,1,1,2,33,0,0,0,0
11,"Feb 26, 2020",93,2,1,1,31,0,0,0,0
12,"Feb 27, 2020",96,3,2,2,30,0,0,0,0
13,"Feb 28, 2020",98,2,3,1,29,0,0,0,0
14,"Feb 29, 2020",102,4,3,2,30,0,0,0,0
15,"Mar 01, 2020",106,4,3,3,32,0,0,0,0
16,"Mar 02, 2020",108,2,3,2,30,0,0,0,0
17,"Mar 03, 2020",110,2,3,3,32,0,0,0,0
18,"Mar 04, 2020",112,2,2,3,33,0,0,0,0
19,"Mar 05, 2020",117,5,3,3,36,0,0,0,0
20,"Mar 06, 2020",130,13,7,4,48,0,0,0,0
21,"Mar 07, 2020",138,8,8,5,48,0,0,0,0
22,"Mar 08, 2020",150,12,11,7,60,0,0,0,0
23,"Mar 09, 2020",160,10,10,7,67,0,0,0,0
24,"Mar 10, 2020",166,6,10,8,73,0,0,0,0
25,"Mar 11, 2020",178,12,9,9,82,0,0,0,0
26,"Mar 12, 2020",187,9,9,10,91,0,0,0,0
27,"Mar 13, 2020",200,13,11,10,103,0,0,0,0
28,"Mar 14, 2020",212,12,12,11,107,0,0,0,0
29,"Mar 15, 2020",226,14,13,11,121,0,0,0,0
30,"Mar 16, 2020",243,17,14,12,134,0,0,0,0
31,"Mar 17, 2020",266,23,18,14,152,0,0,0,0
32,"Mar 18, 2020",313,47,29,19,196,0,0,0,0
33,"Mar 19, 2020",345,32,34,23,221,0,0,0,0
34,"Mar 20, 2020",385,40,40,26,254,0,0,0,0
35,"Mar 21, 2020",432,47,39,32,290,2,2,0,0
36,"Mar 22, 2020",455,23,37,32,309,2,0,0,0
37,"Mar 23, 2020",509,54,41,38,355,2,0,1,0
38,"Mar 24, 2020",558,49,42,42,400,2,0,0,0
39,"Mar 25, 2020",631,73,59,46,469,2,0,0,0
40,"Mar 26, 2020",683,52,58,48,509,2,0,0,1
41,"Mar 27, 2020",732,49,58,49,547,2,0,0,0
42,"Mar 28, 2020",802,70,57,53,602,2,0,0,0
43,"Mar 29, 2020",844,42,54,56,629,3,1,0,0
44,"Mar 30, 2020",879,35,49,53,648,3,0,1,0
45,"Mar 31, 2020",926,47,41,52,683,3,0,0,0
46,"Apr 01, 2020",1000,74,52,53,752,3,0,0,1
47,"Apr 02, 2020",1049,49,57,52,779,4,1,0,0
48,"Apr 03, 2020",1114,65,62,55,827,5,1,1,0
49,"Apr 04, 2020",1189,75,63,55,886,6,1,1,1
50,"Apr 05, 2020",1309,120,87,67,983,6,0,1,0
51,"Apr 06, 2020",1375,66,87,70,1025,6,0,0,1
52,"Apr 07, 2020",1481,106,97,80,1098,6,0,0,0
53,"Apr 08, 2020",1623,142,105,89,1211,6,0,0,1
54,"Apr 09, 2020",1910,287,178,123,1444,6,0,0,0
55,"Apr 10, 2020",2108,198,209,142,1609,7,1,0,0
56,"Apr 11, 2020",2299,191,226,158,1763,8,1,1,0
57,"Apr 12, 2020",2532,233,207,175,1964,8,0,1,1
58,"Apr 13, 2020",2918,386,270,220,2323,9,1,0,0
59,"Apr 14, 2020",3252,334,318,253,2631,10,1,1,1
60,"Apr 15, 2020",3699,447,389,297,3037,10,0,1,0
61,"Apr 16, 2020",4427,728,503,360,3734,10,0,0,1
62,"Apr 17, 2020",5050,623,599,420,4331,11,1,0,0
63,"Apr 18, 2020",5992,942,764,527,5241,11,0,1,1
64,"Apr 19, 2020",6588,596,721,580,5809,11,0,0,0
65,"Apr 20, 2020",8014,1426,988,728,7202,11,0,0,1
66,"Apr 21, 2020",9125,1111,1044,839,8275,11,0,0,0
67,"Apr 22, 2020",10141,1016,1184,920,9233,12,1,0,0
68,"Apr 23, 2020",11178,1037,1055,965,10242,12,0,1,0
69,"Apr 24, 2020",12075,897,983,1003,11107,12,0,0,0
70,"Apr 25, 2020",12693,618,851,957,11679,12,0,0,1
71,"Apr 26, 2020",13624,931,815,1006,12552,12,0,0,0
72,"Apr 27, 2020",14423,799,783,915,13314,14,2,1,0
73,"Apr 28, 2020",14951,528,753,832,13809,14,0,0,1
74,"Apr 29, 2020",15641,690,672,786,14439,14,0,1,0
75,"Apr 30, 2020",16169,528,582,713,14910,15,1,0,0
76,"May 01, 2020",17101,932,717,718,15817,16,1,1,1
77,"May 02, 2020",17548,447,635,694,16184,17,1,1,1
78,"May 03, 2020",18205,657,679,654,16779,18,1,1,0
79,"May 04, 2020",18778,573,559,622,17303,18,0,1,1
80,"May 05, 2020",19410,632,621,637,17873,18,0,0,1
81,"May 06, 2020",20198,788,664,651,18544,20,2,1,0
82,"May 07, 2020",20939,741,720,682,19207,20,0,0,1
83,"May 08, 2020",21707,768,766,658,19647,20,0,1,1
84,"May 09, 2020",22460,753,754,701,20144,20,0,0,0
85,"May 10, 2020",23336,876,799,733,20595,20,0,0,0
86,"May 11, 2020",23787,451,693,716,20541,21,1,0,1
87,"May 12, 2020",24671,884,737,752,20799,21,0,1,0
88,"May 13, 2020",25346,675,670,735,20516,21,0,0,0
89,"May 14, 2020",26098,752,771,737,20104,21,0,0,1
90,"May 15, 2020",26891,793,740,741,19622,21,0,0,0
91,"May 16, 2020",27356,465,670,699,18992,22,1,0,0
92,"May 17, 2020",28038,682,646,672,18676,22,0,1,0
93,"May 18, 2020",28343,305,484,651,18486,22,0,0,0
94,"May 19, 2020",28794,451,480,589,18407,22,0,0,1
95,"May 20, 2020",29364,570,442,574,18135,22,0,0,0
96,"May 21, 2020",29812,448,489,530,17672,23,1,0,0
97,"May 22, 2020",30426,614,544,505,17408,23,0,1,0
98,"May 23, 2020",31068,642,568,530,17163,23,0,0,0
99,"May 24, 2020",31616,548,602,512,16717,23,0,0,1
100,"May 25, 2020",31960,344,511,516,16199,23,0,0,0
101,"May 26, 2020",32343,383,425,507,15876,23,0,0,0
102,"May 27, 2020",32876,533,420,502,15577,23,0,0,0
103,"May 28, 2020",33249,373,430,491,14932,23,0,0,0
104,"May 29, 2020",33860,611,505,491,14206,23,0,0,0
105,"May 30, 2020",34366,506,497,471,13616,23,0,0,0
106,"May 31, 2020",34884,518,545,467,13162,23,0,0,0
107,"Jun 01, 2020",35292,408,477,476,12802,24,1,0,0
108,"Jun 02, 2020",35836,544,490,499,12637,24,0,1,0
109,"Jun 03, 2020",36405,569,507,504,12799,24,0,0,0
110,"Jun 04, 2020",36922,517,544,524,12994,24,0,0,1
111,"Jun 05, 2020",37183,261,449,475,12950,24,0,0,0
112,"Jun 06, 2020",37527,344,374,452,12943,25,1,0,0
113,"Jun 07, 2020",37910,383,329,432,12999,25,0,1,0
114,"Jun 08, 2020",38296,386,371,429,12903,25,0,0,0
115,"Jun 09, 2020",38514,218,329,383,12612,25,0,0,1
116,"Jun 10, 2020",38965,451,352,365,12408,25,0,0,0
117,"Jun 11, 2020",39387,422,363,353,12076,25,0,0,0
118,"Jun 12, 2020",39850,463,446,381,11785,25,0,0,0
119,"Jun 13, 2020",40197,347,410,381,11363,26,1,0,0
120,"Jun 14, 2020",40604,407,406,385,10989,26,0,1,0
121,"Jun 15, 2020",40818,214,323,360,10426,26,0,0,0
122,"Jun 16, 2020",40969,151,257,351,9780,26,0,0,1
123,"Jun 17, 2020",41216,247,204,321,9252,26,0,0,0
124,"Jun 18, 2020",41473,257,218,298,8735,26,0,0,0
125,"Jun 19, 2020",41615,142,216,253,8130,26,0,0,0
126,"Jun 20, 2020",41833,218,205,233,7583,26,0,0,0
127,"Jun 21, 2020",42095,262,208,213,7127,26,0,0,0
128,"Jun 22, 2020",42313,218,232,214,6697,26,0,0,0
129,"Jun 23, 2020",42432,119,200,209,6411,26,0,0,0
130,"Jun 24, 2020",42623,191,176,201,6298,26,0,0,0
131,"Jun 25, 2020",42736,113,141,180,6106,26,0,0,0
132,"Jun 26, 2020",42955,219,174,192,6104,26,0,0,0
133,"Jun 27, 2020",43246,291,208,202,6057,26,0,0,0
134,"Jun 28, 2020",43459,213,241,194,5925,26,0,0,0
135,"Jun 29, 2020",43661,202,235,193,5650,26,0,0,0
136,"Jun 30, 2020",43907,246,221,211,5381,26,0,0,0
137,"Jul 01, 2020",44122,215,221,214,5085,26,0,0,0
138,"Jul 02, 2020",44310,188,216,225,4855,26,0,0,0
139,"Jul 03, 2020",44479,169,191,217,4684,26,0,0,0
140,"Jul 04, 2020",44664,185,180,203,4521,26,0,0,0
141,"Jul 05, 2020",44800,136,164,192,4333,26,0,0,0
142,"Jul 06, 2020",44983,183,168,188,4240,26,0,0,0
143,"Jul 07, 2020",45139,156,158,176,4111,26,0,0,0
144,"Jul 08, 2020",45297,158,166,168,3948,26,0,0,0
145,"Jul 09, 2020",45422,125,146,159,3751,26,0,0,0
146,"Jul 10, 2020",45613,191,158,162,3807,26,0,0,0
147,"Jul 11, 2020",45783,170,162,160,3731,26,0,0,0
148,"Jul 12, 2020",45961,178,180,166,3650,26,0,0,0
149,"Jul 13, 2020",46283,322,223,186,3716,26,0,0,0
150,"Jul 14, 2020",46629,346,282,212,3865,27,1,0,0
151,"Jul 15, 2020",46878,249,306,226,3863,27,0,1,0
152,"Jul 16, 2020",47126,248,281,244,3843,27,0,0,0
153,"Jul 17, 2020",47453,327,274,263,3849,27,0,0,1
154,"Jul 18, 2020",47655,202,259,267,3795,27,0,0,0
155,"Jul 19, 2020",47912,257,262,279,3799,27,0,0,0
156,"Jul 20, 2020",48035,123,194,250,3637,27,0,0,0
157,"Jul 21, 2020",48434,399,260,258,3823,27,0,0,0
158,"Jul 22, 2020",48744,310,277,266,3922,27,0,0,0
159,"Jul 23, 2020",49098,354,355,282,4056,27,0,0,0
160,"Jul 24, 2020",49375,277,313,275,4176,27,0,0,0
161,"Jul 25, 2020",49888,513,382,319,4509,27,0,0,0
162,"Jul 26, 2020",50369,481,423,351,4821,27,0,0,0
163,"Jul 27, 2020",50838,469,488,400,5119,27,0,0,0
164,"Jul 28, 2020",51197,359,436,395,5277,27,0,0,0
165,"Jul 29, 2020",51531,334,388,398,5406,27,0,0,0
166,"Jul 30, 2020",51809,278,323,387,5474,27,0,0,0
167,"Jul 31, 2020",52205,396,336,405,5687,27,0,0,0
168,"Aug 01, 2020",52512,307,327,374,5745,27,0,0,0
169,"Aug 02, 2020",52825,313,339,351,5872,27,0,0,0
170,"Aug 03, 2020",53051,226,282,316,5845,27,0,0,0
171,"Aug 04, 2020",53346,295,278,307,5865,27,0,0,0
172,"Aug 05, 2020",54254,908,476,389,6459,27,0,0,0
173,"Aug 06, 2020",54555,301,502,393,6497,27,0,0,0
174,"Aug 07, 2020",54797,242,483,370,6458,27,0,0,0
175,"Aug 08, 2020",54929,132,225,345,6319,27,0,0,0
176,"Aug 09, 2020",55104,175,183,326,6162,27,0,0,0
177,"Aug 10, 2020",55292,188,165,320,5656,27,0,0,0
178,"Aug 11, 2020",55353,61,142,287,5198,27,0,0,0
179,"Aug 12, 2020",55395,42,97,163,4848,27,0,0,0
180,"Aug 13, 2020",55497,102,68,134,4734,27,0,0,0
181,"Aug 14, 2020",55580,83,76,112,4504,27,0,0,0
182,"Aug 15, 2020",55661,81,88,105,4113,27,0,0,0
183,"Aug 16, 2020",55747,86,84,92,3767,27,0,0,0
184,"Aug 17, 2020",55838,91,86,78,3461,27,0,0,0
185,"Aug 18, 2020",55938,100,92,83,3378,27,0,0,0
186,"Aug 19, 2020",56031,93,95,91,3194,27,0,0,0
187,"Aug 20, 2020",56099,68,87,86,2953,27,0,0,0
188,"Aug 21, 2020",56216,117,92,91,2538,27,0,0,0
189,"Aug 22, 2020",56266,50,79,86,2319,27,0,0,0
190,"Aug 23, 2020",56353,87,84,87,2162,27,0,0,0
191,"Aug 24, 2020",56404,51,63,81,1790,27,0,0,0
192,"Aug 25, 2020",56435,31,56,71,1592,27,0,0,0
193,"Aug 26, 2020",56495,60,48,66,1497,27,0,0,0
194,"Aug 27, 2020",56572,77,56,68,1406,27,0,0,0
195,"Aug 28, 2020",56666,94,77,64,1302,27,0,0,0
196,"Aug 29, 2020",56717,51,74,64,1243,27,0,0,0
197,"Aug 30, 2020",56771,54,66,60,1158,27,0,0,0
198,"Aug 31, 2020",56812,41,49,58,1127,27,0,0,0
199,"Sep 01, 2020",56852,40,45,60,1076,27,0,0,0
200,"Sep 02, 2020",56860,8,29,52,942,27,0,0,0
201,"Sep 03, 2020",56908,48,32,48,853,27,0,0,0
202,"Sep 04, 2020",56948,40,32,40,747,27,0,0,0
203,"Sep 05, 2020",56982,34,41,38,688,27,0,0,0
204,"Sep 06, 2020",57022,40,38,36,662,27,0,0,0
205,"Sep 07, 2020",57044,22,32,33,609,27,0,0,0
206,"Sep 08, 2020",57091,47,36,34,603,27,0,0,0
207,"Sep 09, 2020",57166,75,48,44,647,27,0,0,0
208,"Sep 10, 2020",57229,63,62,46,644,27,0,0,0
209,"Sep 11, 2020",57315,86,75,52,681,27,0,0,0
210,"Sep 12, 2020",57357,42,63,54,631,27,0,0,0
211,"Sep 13, 2020",57406,49,59,55,615,27,0,0,0
212,"Sep 14, 2020",57454,48,47,58,625,27,0,0,0
213,"Sep 15, 2020",57488,34,43,57,577,27,0,0,0
214,"Sep 16, 2020",57514,26,36,50,532,27,0,0,0
215,"Sep 17, 2020",57532,18,26,43,466,27,0,0,0
216,"Sep 18, 2020",57543,11,19,33,445,27,0,0,0
217,"Sep 19, 2020",57558,15,14,28,389,27,0,0,0
218,"Sep 20, 2020",57576,18,15,25,368,27,0,0,0
219,"Sep 21, 2020",57606,30,21,21,338,27,0,0,0
220,"Sep 22, 2020",57627,21,23,20,338,27,0,0,0
221,"Sep 23, 2020",57639,12,21,18,321,27,0,0,0
222,"Sep 24, 2020",57654,15,16,17,294,27,0,0,0
223,"Sep 25, 2020",57665,11,13,18,297,27,0,0,0
224,"Sep 26, 2020",57685,20,15,18,299,27,0,0,0
225,"Sep 27, 2020",57700,15,15,18,306,27,0,0,0
226,"Sep 28, 2020",57715,15,17,15,295,27,0,0,0
227,"Sep 29, 2020",57742,27,19,17,249,27,0,0,0
228,"Sep 30, 2020",57765,23,22,18,250,27,0,0,0
229,"Oct 01, 2020",57784,19,23,18,245,27,0,0,0
230,"Oct 02, 2020",57794,10,17,19,233,27,0,0,0
231,"Oct 03, 2020",57800,6,12,16,211,27,0,0,0
232,"Oct 04, 2020",57812,12,9,16,210,27,0,0,0
233,"Oct 05, 2020",57819,7,8,15,195,27,0,0,0
234,"Oct 06, 2020",57830,11,10,13,191,27,0,0,0
235,"Oct 07, 2020",57840,10,10,10,189,27,0,0,0
236,"Oct 08, 2020",57849,9,10,10,154,27,0,0,0
237,"Oct 09, 2020",57859,10,9,9,157,27,0,0,0
238,"Oct 10, 2020",57866,7,9,9,141,27,0,0,0
239,"Oct 11, 2020",57876,10,9,9,144,27,0,0,0
240,"Oct 12, 2020",57880,4,7,9,124,28,1,0,0
241,"Oct 13, 2020",57884,4,6,8,116,28,0,1,0
242,"Oct 14, 2020",57889,5,4,7,109,28,0,0,0
243,"Oct 15, 2020",57892,3,4,6,100,28,0,0,1
244,"Oct 16, 2020",57901,9,6,6,89,28,0,0,0
245,"Oct 17, 2020",57904,3,5,5,78,28,0,0,0
246,"Oct 18, 2020",57911,7,6,5,76,28,0,0,0
247,"Oct 19, 2020",57915,4,5,5,68,28,0,0,0
248,"Oct 20, 2020",57921,6,6,6,74,28,0,0,0
249,"Oct 21, 2020",57933,12,7,6,84,28,0,0,0
250,"Oct 22, 2020",57941,8,9,7,84,28,0,0,0
251,"Oct 23, 2020",57951,10,10,7,91,28,0,0,0
252,"Oct 24, 2020",57965,14,10,9,93,28,0,0,0
253,"Oct 25, 2020",57970,5,10,8,84,28,0,0,0
254,"Oct 26, 2020",57973,3,7,9,66,28,0,0,0
255,"Oct 27, 2020",57980,7,5,8,69,28,0,0,0
256,"Oct 28, 2020",57987,7,6,8,69,28,0,0,0
257,"Oct 29, 2020",57994,7,7,7,67,28,0,0,0
258,"Oct 30, 2020",58003,9,8,8,66,28,0,0,0
259,"Oct 31, 2020",58015,12,9,7,74,28,0,0,0
260,"Nov 01, 2020",58019,4,8,7,67,28,0,0,0
261,"Nov 02, 2020",58020,1,6,7,68,28,0,0,0
262,"Nov 03, 2020",58029,9,5,7,64,28,0,0,0
263,"Nov 04, 2020",58036,7,5,7,70,28,0,0,0
264,"Nov 05, 2020",58043,7,8,7,66,28,0,0,0
265,"Nov 06, 2020",58047,4,6,6,60,28,0,0,0
266,"Nov 07, 2020",58054,7,6,5,58,28,0,0,0
267,"Nov 08, 2020",58056,2,4,6,53,28,0,0,0
268,"Nov 09, 2020",58064,8,6,6,55,28,0,0,0
269,"Nov 10, 2020",58073,9,6,6,60,28,0,0,0
270,"Nov 11, 2020",58091,18,12,8,73,28,0,0,0
271,"Nov 12, 2020",58102,11,13,9,72,28,0,0,0
272,"Nov 13, 2020",58114,12,13,9,78,28,0,0,0
273,"Nov 14, 2020",58116,2,9,9,69,28,0,0,0
274,"Nov 15, 2020",58119,3,5,9,62,28,0,0,0
275,"Nov 16, 2020",58124,5,4,9,63,28,0,0,0
276,"Nov 17, 2020",58130,6,4,8,63,28,0,0,0
277,"Nov 18, 2020",58135,5,6,6,61,28,0,0,0
278,"Nov 19, 2020",58139,4,5,5,59,28,0,0,0
279,"Nov 20, 2020",58143,4,4,4,57,28,0,0,0
280,"Nov 21, 2020",58148,5,4,5,56,28,0,0,0
281,"Nov 22, 2020",58160,12,7,6,65,28,0,0,0
282,"Nov 23, 2020",58165,5,8,6,66,28,0,0,0
283,"Nov 24, 2020",58183,18,11,7,76,28,0,0,0
284,"Nov 25, 2020",58190,7,10,8,71,28,0,0,0
285,"Nov 26, 2020",58195,5,10,8,63,28,0,0,0
286,"Nov 27, 2020",58199,4,6,8,60,28,0,0,0
