Days,Date,0_Cases,1_DailyCases,2_DailyCases- 3-daymovingaverage,3_DailyCases- 7-daymovingaverage,4_CurrentlyInfected,5_Deaths,6_DailyDeaths,7_DailyDeaths- 3-daymovingaverage,8_DailyDeaths- 7-daymovingaverage
0,"Feb 15, 2020",0,0,0,0,0,0,0,0,0
1,"Feb 16, 2020",0,0,0,0,0,0,0,0,0
2,"Feb 17, 2020",0,0,0,0,0,0,0,0,0
3,"Feb 18, 2020",0,0,0,0,0,0,0,0,0
4,"Feb 19, 2020",0,0,0,0,0,0,0,0,0
5,"Feb 20, 2020",0,0,0,0,0,0,0,0,0
6,"Feb 21, 2020",0,0,0,0,0,0,0,0,0
7,"Feb 22, 2020",0,0,0,0,0,0,0,0,0
8,"Feb 23, 2020",0,0,0,0,0,0,0,0,0
9,"Feb 24, 2020",0,0,0,0,0,0,0,0,0
10,"Feb 25, 2020",0,0,0,0,0,0,0,0,0
11,"Feb 26, 2020",0,0,0,0,0,0,0,0,0
12,"Feb 27, 2020",0,0,0,0,0,0,0,0,0
13,"Feb 28, 2020",0,0,0,0,0,0,0,0,0
14,"Feb 29, 2020",0,0,0,0,0,0,0,0,0
15,"Mar 01, 2020",0,0,0,0,0,0,0,0,0
16,"Mar 02, 2020",0,0,0,0,0,0,0,0,0
17,"Mar 03, 2020",0,0,0,0,0,0,0,0,0
18,"Mar 04, 2020",0,0,0,0,0,0,0,0,0
19,"Mar 05, 2020",0,0,0,0,0,0,0,0,0
20,"Mar 06, 2020",1,0,0,0,1,0,0,0,0
21,"Mar 07, 2020",3,2,0,0,3,0,0,0,0
22,"Mar 08, 2020",5,2,2,0,5,0,0,0,0
23,"Mar 09, 2020",7,2,2,1,7,0,0,0,0
24,"Mar 10, 2020",7,0,1,1,7,0,0,0,0
25,"Mar 11, 2020",10,3,2,2,10,0,0,0,0
26,"Mar 12, 2020",21,11,5,3,21,0,0,0,0
27,"Mar 13, 2020",32,11,8,4,32,0,0,0,0
28,"Mar 14, 2020",44,12,11,6,44,0,0,0,0
29,"Mar 15, 2020",61,17,14,8,61,0,0,0,0
30,"Mar 16, 2020",72,11,13,9,72,0,0,0,0
31,"Mar 17, 2020",97,25,18,13,97,0,0,0,0
32,"Mar 18, 2020",105,8,14,14,105,0,0,0,0
33,"Mar 19, 2020",124,19,18,14,124,0,0,0,0
34,"Mar 20, 2020",137,13,13,15,137,0,0,0,0
35,"Mar 21, 2020",178,41,24,20,171,0,0,0,0
36,"Mar 22, 2020",185,7,21,17,178,0,0,0,0
37,"Mar 23, 2020",186,1,16,17,179,0,0,0,0
38,"Mar 24, 2020",204,18,9,15,197,0,0,0,0
39,"Mar 25, 2020",216,12,10,16,209,0,0,0,0
40,"Mar 26, 2020",226,10,13,14,224,0,0,0,0
41,"Mar 27, 2020",269,43,22,19,267,0,0,0,0
42,"Mar 28, 2020",292,23,25,16,290,0,0,0,0
43,"Mar 29, 2020",314,22,30,19,312,0,0,0,0
44,"Mar 30, 2020",336,22,22,21,329,0,0,0,0
45,"Mar 31, 2020",363,27,24,23,360,0,0,0,0
46,"Apr 01, 2020",400,37,28,26,396,1,1,0,0
47,"Apr 02, 2020",426,26,30,29,420,1,0,0,0
48,"Apr 03, 2020",450,24,29,26,441,1,0,0,0
49,"Apr 04, 2020",471,21,24,25,462,1,0,0,0
50,"Apr 05, 2020",485,14,20,25,476,1,0,0,0
51,"Apr 06, 2020",534,49,28,28,524,2,1,0,0
52,"Apr 07, 2020",581,47,36,31,566,2,0,1,0
53,"Apr 08, 2020",682,101,66,40,664,2,0,0,0
54,"Apr 09, 2020",701,19,56,40,676,2,0,0,1
55,"Apr 10, 2020",715,14,44,38,690,2,0,0,0
56,"Apr 11, 2020",728,13,16,36,703,2,0,0,0
57,"Apr 12, 2020",742,14,13,37,717,2,0,0,0
58,"Apr 13, 2020",769,27,18,34,660,2,0,0,0
59,"Apr 14, 2020",835,66,36,36,720,2,0,0,0
60,"Apr 15, 2020",863,28,40,26,706,6,4,1,1
61,"Apr 16, 2020",977,114,70,39,802,8,2,2,0
62,"Apr 17, 2020",1049,72,71,48,865,9,1,3,1
63,"Apr 18, 2020",1089,40,75,51,865,11,2,1,2
64,"Apr 19, 2020",1161,72,62,60,920,12,1,2,1
65,"Apr 20, 2020",1173,12,41,58,909,13,1,1,2
66,"Apr 21, 2020",1199,26,37,52,927,14,1,1,1
67,"Apr 22, 2020",1244,45,27,54,946,14,0,1,2
68,"Apr 23, 2020",1325,81,51,50,1022,15,1,0,1
69,"Apr 24, 2020",1360,35,54,45,988,17,2,1,1
