Days,Date,0_Cases,1_DailyCases,2_DailyCases- 3-daymovingaverage,3_DailyCases- 7-daymovingaverage,4_CurrentlyInfected,5_Deaths,6_DailyDeaths,7_DailyDeaths- 3-daymovingaverage,8_DailyDeaths- 7-daymovingaverage
0,"Feb 15, 2020",0,0,0,0,0,0,0,0,0
1,"Feb 16, 2020",0,0,0,0,0,0,0,0,0
2,"Feb 17, 2020",0,0,0,0,0,0,0,0,0
3,"Feb 18, 2020",0,0,0,0,0,0,0,0,0
4,"Feb 19, 2020",0,0,0,0,0,0,0,0,0
5,"Feb 20, 2020",0,0,0,0,0,0,0,0,0
6,"Feb 21, 2020",0,0,0,0,0,0,0,0,0
7,"Feb 22, 2020",0,0,0,0,0,0,0,0,0
8,"Feb 23, 2020",0,0,0,0,0,0,0,0,0
9,"Feb 24, 2020",0,0,0,0,0,0,0,0,0
10,"Feb 25, 2020",0,0,0,0,0,0,0,0,0
11,"Feb 26, 2020",0,0,0,0,0,0,0,0,0
12,"Feb 27, 2020",0,0,0,0,0,0,0,0,0
13,"Feb 28, 2020",0,0,0,0,0,0,0,0,0
14,"Feb 29, 2020",0,0,0,0,0,0,0,0,0
15,"Mar 01, 2020",0,0,0,0,0,0,0,0,0
16,"Mar 02, 2020",0,0,0,0,0,0,0,0,0
17,"Mar 03, 2020",0,0,0,0,0,0,0,0,0
18,"Mar 04, 2020",1,0,0,0,1,0,0,0,0
19,"Mar 05, 2020",6,5,0,0,6,0,0,0,0
20,"Mar 06, 2020",8,2,3,1,8,0,0,0,0
21,"Mar 07, 2020",12,4,4,2,12,0,0,0,0
22,"Mar 08, 2020",16,4,3,2,16,0,0,0,0
23,"Mar 09, 2020",25,9,6,4,25,0,0,0,0
24,"Mar 10, 2020",34,9,7,5,34,0,0,0,0
25,"Mar 11, 2020",57,23,14,8,57,0,0,0,0
26,"Mar 12, 2020",96,39,23,12,96,0,0,0,0
27,"Mar 13, 2020",141,45,36,19,141,0,0,0,0
28,"Mar 14, 2020",181,40,41,25,180,1,0,0,0
29,"Mar 15, 2020",219,38,41,29,218,1,0,0,0
30,"Mar 16, 2020",253,34,38,32,252,1,0,0,0
31,"Mar 17, 2020",275,22,31,35,274,1,0,0,0
32,"Mar 18, 2020",286,11,22,32,285,1,0,0,0
33,"Mar 19, 2020",319,33,22,32,318,1,0,0,0
34,"Mar 20, 2020",341,22,22,29,340,1,0,0,0
35,"Mar 21, 2020",383,42,33,29,382,1,0,0,0
36,"Mar 22, 2020",414,31,31,27,412,2,1,0,0
37,"Mar 23, 2020",442,28,34,27,439,3,1,1,0
38,"Mar 24, 2020",480,38,32,30,473,4,1,1,1
39,"Mar 25, 2020",528,48,38,34,513,5,1,1,0
40,"Mar 26, 2020",562,34,40,35,546,6,1,1,1
41,"Mar 27, 2020",632,70,51,42,613,9,3,2,1
42,"Mar 28, 2020",684,52,52,43,665,9,0,1,1
43,"Mar 29, 2020",730,46,56,45,709,11,2,2,2
44,"Mar 30, 2020",756,26,41,45,735,11,0,0,1
45,"Mar 31, 2020",802,46,40,46,777,15,4,2,1
46,"Apr 01, 2020",841,39,37,44,816,15,0,2,2
47,"Apr 02, 2020",897,56,47,48,810,17,2,2,1
48,"Apr 03, 2020",934,37,44,43,844,20,3,1,2
49,"Apr 04, 2020",977,43,45,42,876,22,2,3,2
50,"Apr 05, 2020",997,20,33,38,890,28,6,3,2
51,"Apr 06, 2020",1021,24,29,38,889,30,2,4,3
52,"Apr 07, 2020",1059,38,28,37,921,36,6,4,3
53,"Apr 08, 2020",1091,32,31,36,931,40,4,4,4
54,"Apr 09, 2020",1124,33,34,32,953,43,3,5,3
55,"Apr 10, 2020",1160,36,34,32,978,45,2,3,4
56,"Apr 11, 2020",1188,28,32,30,990,50,5,3,4
57,"Apr 12, 2020",1205,17,27,30,1002,53,3,3,3
58,"Apr 13, 2020",1212,7,18,27,1005,55,2,4,4
59,"Apr 14, 2020",1220,8,10,23,1012,56,1,2,3
60,"Apr 15, 2020",1248,28,15,23,1022,61,5,2,3
61,"Apr 16, 2020",1268,20,18,20,1033,61,0,2,2
62,"Apr 17, 2020",1304,36,28,21,1064,66,5,4,3
63,"Apr 18, 2020",1317,13,23,18,1057,70,4,3,3
64,"Apr 19, 2020",1330,13,21,18,1064,74,4,4,3
65,"Apr 20, 2020",1335,5,10,18,1065,77,3,4,3
66,"Apr 21, 2020",1344,9,9,18,1070,77,0,2,3
67,"Apr 22, 2020",1353,9,8,15,1069,79,2,2,3
68,"Apr 23, 2020",1366,13,10,14,1076,79,0,0,3
