Days,Date,0_Cases,1_DailyCases,2_DailyCases- 3-daymovingaverage,3_DailyCases- 7-daymovingaverage,4_CurrentlyInfected,5_Deaths,6_DailyDeaths,7_DailyDeaths- 3-daymovingaverage,8_DailyDeaths- 7-daymovingaverage
0,"Feb 15, 2020",0,0,0,0,0,0,0,0,0
1,"Feb 16, 2020",0,0,0,0,0,0,0,0,0
2,"Feb 17, 2020",0,0,0,0,0,0,0,0,0
3,"Feb 18, 2020",0,0,0,0,0,0,0,0,0
4,"Feb 19, 2020",0,0,0,0,0,0,0,0,0
5,"Feb 20, 2020",0,0,0,0,0,0,0,0,0
6,"Feb 21, 2020",0,0,0,0,0,0,0,0,0
7,"Feb 22, 2020",0,0,0,0,0,0,0,0,0
8,"Feb 23, 2020",0,0,0,0,0,0,0,0,0
9,"Feb 24, 2020",0,0,0,0,0,0,0,0,0
10,"Feb 25, 2020",0,0,0,0,0,0,0,0,0
11,"Feb 26, 2020",0,0,0,0,0,0,0,0,0
12,"Feb 27, 2020",0,0,0,0,0,0,0,0,0
13,"Feb 28, 2020",0,0,0,0,0,0,0,0,0
14,"Feb 29, 2020",0,0,0,0,0,0,0,0,0
15,"Mar 01, 2020",0,0,0,0,0,0,0,0,0
16,"Mar 02, 2020",0,0,0,0,0,0,0,0,0
17,"Mar 03, 2020",0,0,0,0,0,0,0,0,0
18,"Mar 04, 2020",0,0,0,0,0,0,0,0,0
19,"Mar 05, 2020",1,0,0,0,1,0,0,0,0
20,"Mar 06, 2020",1,0,0,0,1,0,0,0,0
21,"Mar 07, 2020",2,1,0,0,2,0,0,0,0
22,"Mar 08, 2020",3,1,1,0,3,0,0,0,0
23,"Mar 09, 2020",7,4,2,1,7,0,0,0,0
24,"Mar 10, 2020",7,0,2,1,7,0,0,0,0
25,"Mar 11, 2020",13,6,3,2,13,0,0,0,0
26,"Mar 12, 2020",16,3,3,2,16,0,0,0,0
27,"Mar 13, 2020",24,8,6,3,24,0,0,0,0
28,"Mar 14, 2020",38,14,8,5,38,0,0,0,0
29,"Mar 15, 2020",61,23,15,9,61,0,0,0,0
30,"Mar 16, 2020",64,3,13,8,64,0,0,0,0
31,"Mar 17, 2020",85,21,16,11,85,0,0,0,0
32,"Mar 18, 2020",116,31,18,15,116,0,0,0,0
33,"Mar 19, 2020",150,34,29,19,150,0,0,0,0
34,"Mar 20, 2020",202,52,39,25,202,0,0,0,0
35,"Mar 21, 2020",240,38,41,29,238,0,0,0,0
36,"Mar 22, 2020",274,34,42,31,272,0,0,0,0
37,"Mar 23, 2020",402,128,66,48,398,0,0,0,0
38,"Mar 24, 2020",554,152,105,67,550,0,0,0,0
39,"Mar 25, 2020",709,155,145,85,697,0,0,0,0
40,"Mar 26, 2020",927,218,175,111,915,0,0,0,0
41,"Mar 27, 2020",1170,243,205,138,1138,1,0,0,0
42,"Mar 28, 2020",1187,17,160,135,1155,1,0,0,0
43,"Mar 29, 2020",1280,93,117,144,1247,2,1,0,0
44,"Mar 30, 2020",1326,46,52,132,1292,3,1,1,0
45,"Mar 31, 2020",1353,27,56,114,1317,5,2,1,1
46,"Apr 01, 2020",1380,27,33,96,1325,5,0,1,0
47,"Apr 02, 2020",1462,82,45,76,1407,5,0,1,1
48,"Apr 03, 2020",1505,43,51,48,1401,9,4,1,1
49,"Apr 04, 2020",1585,80,68,57,1481,9,0,2,1
50,"Apr 05, 2020",1655,70,65,54,1549,11,2,2,2
51,"Apr 06, 2020",1686,31,60,51,1579,12,1,1,1
52,"Apr 07, 2020",1749,63,55,57,1641,13,1,1,1
53,"Apr 08, 2020",1845,96,63,66,1732,18,5,2,2
54,"Apr 09, 2020",1934,89,83,67,1821,18,0,2,2
55,"Apr 10, 2020",2003,69,84,72,1569,24,6,4,2
56,"Apr 11, 2020",2028,25,61,63,1593,25,1,2,2
57,"Apr 12, 2020",2173,145,80,74,1738,25,0,3,2
58,"Apr 13, 2020",2272,99,90,84,1835,27,2,1,2
59,"Apr 14, 2020",2415,143,129,95,1978,27,0,0,2
60,"Apr 15, 2020",2506,91,111,94,2062,34,7,3,3
61,"Apr 16, 2020",2605,99,111,96,1654,48,14,7,4
62,"Apr 17, 2020",2783,178,122,111,1830,50,2,8,4
63,"Apr 18, 2020",3034,251,176,144,2079,52,2,6,4
64,"Apr 19, 2020",3158,124,185,141,2201,54,2,2,4
65,"Apr 20, 2020",3300,142,172,147,2187,58,4,3,4
66,"Apr 21, 2020",3465,165,144,150,2352,58,0,2,5
67,"Apr 22, 2020",3635,170,159,161,2515,65,7,3,4
