Days,Date,0_Cases,1_DailyCases,2_DailyCases- 3-daymovingaverage,3_DailyCases- 7-daymovingaverage,4_CurrentlyInfected,5_Deaths,6_DailyDeaths,7_DailyDeaths- 3-daymovingaverage,8_DailyDeaths- 7-daymovingaverage
0,"Feb 15, 2020",28,0,0,0,19,0,0,0,0
1,"Feb 16, 2020",29,1,0,0,20,0,0,0,0
2,"Feb 17, 2020",30,1,1,0,20,0,0,0,0
3,"Feb 18, 2020",31,1,1,1,19,0,0,0,0
4,"Feb 19, 2020",58,27,10,4,42,0,0,0,0
5,"Feb 20, 2020",111,53,27,12,94,1,1,0,0
6,"Feb 21, 2020",209,98,59,26,190,2,1,0,0
7,"Feb 22, 2020",436,227,126,58,416,2,0,1,0
8,"Feb 23, 2020",602,166,164,82,578,6,4,1,1
9,"Feb 24, 2020",833,231,208,115,803,8,2,2,1
10,"Feb 25, 2020",977,144,180,135,944,11,3,3,1
11,"Feb 26, 2020",1261,284,220,172,1225,12,1,2,2
12,"Feb 27, 2020",1766,505,311,236,1729,13,1,2,2
13,"Feb 28, 2020",2337,571,453,304,2297,16,3,2,2
14,"Feb 29, 2020",3150,813,630,388,3109,17,1,1,2
15,"Mar 01, 2020",3736,586,656,448,3685,21,4,3,2
16,"Mar 02, 2020",4335,599,666,500,4277,28,7,4,3
17,"Mar 03, 2020",5186,851,679,601,5120,32,4,5,3
18,"Mar 04, 2020",5621,435,628,623,5498,35,3,5,3
19,"Mar 05, 2020",6284,663,650,645,6107,42,7,4,4
20,"Mar 06, 2020",6593,309,469,608,6415,43,1,4,4
21,"Mar 07, 2020",7041,448,473,556,6875,48,5,4,5
22,"Mar 08, 2020",7313,272,343,511,7097,50,2,3,4
23,"Mar 09, 2020",7478,165,295,449,7178,53,3,3,3
24,"Mar 10, 2020",7513,35,158,333,7165,60,7,4,4
25,"Mar 11, 2020",7755,242,147,305,7362,60,0,4,4
26,"Mar 12, 2020",7869,114,130,226,7293,66,6,4,3
27,"Mar 13, 2020",7979,110,156,198,7198,67,1,2,4
28,"Mar 14, 2020",8086,107,110,149,7180,72,5,4,3
29,"Mar 15, 2020",8162,76,98,122,7253,75,3,3,4
30,"Mar 16, 2020",8236,74,85,108,7024,75,0,3,3
31,"Mar 17, 2020",8320,84,78,115,6838,81,6,3,3
32,"Mar 18, 2020",8413,93,84,94,6789,84,3,3,3
33,"Mar 19, 2020",8565,152,110,100,6527,91,7,5,4
34,"Mar 20, 2020",8652,87,110,96,6325,94,3,5,4
35,"Mar 21, 2020",8799,147,129,102,6085,102,8,6,4
36,"Mar 22, 2020",8897,98,111,105,5884,104,2,4,4
37,"Mar 23, 2020",8961,64,103,103,5684,111,7,6,5
38,"Mar 24, 2020",9037,76,79,103,5410,120,9,6,6
39,"Mar 25, 2020",9137,100,80,103,5281,126,6,7,6
40,"Mar 26, 2020",9241,104,93,97,4966,131,5,7,6
41,"Mar 27, 2020",9332,91,99,97,4665,139,8,6,6
42,"Mar 28, 2020",9478,146,113,97,4523,144,5,6,6
43,"Mar 29, 2020",9583,105,114,98,4398,152,8,7,7
44,"Mar 30, 2020",9661,78,110,100,4275,158,6,6,7
45,"Mar 31, 2020",9786,125,103,107,4216,162,4,6,6
46,"Apr 01, 2020",9887,101,101,107,4155,165,3,5,5
47,"Apr 02, 2020",9976,89,105,105,3979,169,4,3,6
48,"Apr 03, 2020",10062,86,92,104,3867,174,5,4,5
49,"Apr 04, 2020",10156,94,90,97,3654,177,3,4,4
50,"Apr 05, 2020",10237,81,87,93,3591,183,6,5,5
51,"Apr 06, 2020",10284,47,74,89,3500,186,3,4,4
52,"Apr 07, 2020",10331,47,58,78,3445,192,6,5,4
53,"Apr 08, 2020",10384,53,49,71,3408,200,8,6,5
54,"Apr 09, 2020",10423,39,46,64,3246,204,4,6,5
55,"Apr 10, 2020",10450,27,40,56,3125,208,4,5,5
56,"Apr 11, 2020",10480,30,32,46,3026,211,3,4,5
57,"Apr 12, 2020",10512,32,30,39,2930,214,3,3,4
58,"Apr 13, 2020",10537,25,29,36,2873,217,3,3,5
59,"Apr 14, 2020",10564,27,28,34,2808,222,5,4,4
60,"Apr 15, 2020",10591,27,26,29,2750,225,3,3,3
61,"Apr 16, 2020",10613,22,25,27,2627,229,4,4,4
62,"Apr 17, 2020",10635,22,24,27,2576,230,1,3,3
63,"Apr 18, 2020",10653,18,21,24,2484,232,2,2,3
64,"Apr 19, 2020",10661,8,16,22,2385,234,2,2,3
65,"Apr 20, 2020",10674,13,13,19,2324,236,2,2,3
66,"Apr 21, 2020",10683,9,10,17,2233,237,1,2,2
67,"Apr 22, 2020",10694,11,11,15,2179,238,1,1,2
68,"Apr 23, 2020",10702,8,9,13,2051,240,2,1,1
69,"Apr 24, 2020",10708,6,8,10,1967,240,0,1,2
70,"Apr 25, 2020",10718,10,8,9,1843,240,0,1,1
71,"Apr 26, 2020",10728,10,9,10,1769,242,2,1,1
72,"Apr 27, 2020",10738,10,10,9,1731,243,1,1,1
73,"Apr 28, 2020",10752,14,11,10,1654,244,1,1,1
74,"Apr 29, 2020",10761,9,11,10,1593,246,2,1,1
75,"Apr 30, 2020",10765,4,9,9,1459,247,1,2,1
76,"May 01, 2020",10774,9,8,9,1454,248,1,1,1
77,"May 02, 2020",10780,6,6,9,1407,250,2,1,2
78,"May 03, 2020",10793,13,9,9,1360,250,0,1,1
79,"May 04, 2020",10801,8,9,9,1332,252,2,2,1
80,"May 05, 2020",10804,3,8,8,1267,254,2,1,2
81,"May 06, 2020",10806,2,5,6,1218,255,1,2,1
82,"May 07, 2020",10810,4,3,6,1135,256,1,1,1
83,"May 08, 2020",10822,12,6,7,1082,256,0,1,1
84,"May 09, 2020",10840,18,11,9,1016,256,0,0,1
85,"May 10, 2020",10874,34,21,11,1008,256,0,0,1
86,"May 11, 2020",10909,35,29,16,1021,256,0,0,1
87,"May 12, 2020",10936,27,32,19,1008,258,2,1,0
88,"May 13, 2020",10962,26,30,22,1008,259,1,1,1
89,"May 14, 2020",10991,29,27,26,969,260,1,1,0
90,"May 15, 2020",11018,27,27,28,937,260,0,1,1
91,"May 16, 2020",11037,19,25,28,924,262,2,1,1
92,"May 17, 2020",11050,13,20,25,900,262,0,0,1
93,"May 18, 2020",11065,15,16,22,898,263,1,1,1
94,"May 19, 2020",11078,13,13,21,877,263,0,1,0
95,"May 20, 2020",11110,32,20,21,781,263,0,0,1
96,"May 21, 2020",11122,12,19,19,723,264,1,0,0
97,"May 22, 2020",11142,20,22,17,716,264,0,1,1
98,"May 23, 2020",11165,23,18,19,705,266,2,1,1
99,"May 24, 2020",11190,25,23,20,711,266,0,0,0
100,"May 25, 2020",11206,16,21,20,713,267,1,1,1
101,"May 26, 2020",11225,19,20,21,681,269,2,1,1
102,"May 27, 2020",11265,40,25,22,701,269,0,1,0
103,"May 28, 2020",11344,79,46,32,735,269,0,1,1
104,"May 29, 2020",11402,58,59,37,770,269,0,0,1
105,"May 30, 2020",11441,39,59,39,774,269,0,0,0
106,"May 31, 2020",11468,27,41,40,793,270,1,0,1
107,"Jun 01, 2020",11503,35,34,42,810,271,1,1,0
108,"Jun 02, 2020",11541,38,33,45,823,272,1,1,1
109,"Jun 03, 2020",11590,49,41,47,850,273,1,1,0
110,"Jun 04, 2020",11629,39,42,41,857,273,0,1,1
111,"Jun 05, 2020",11668,39,42,38,889,273,0,0,1
112,"Jun 06, 2020",11719,51,43,39,915,273,0,0,0
113,"Jun 07, 2020",11776,57,49,44,951,273,0,0,1
114,"Jun 08, 2020",11814,38,49,45,978,273,0,0,0
115,"Jun 09, 2020",11852,38,44,44,989,274,1,0,0
116,"Jun 10, 2020",11902,50,42,45,1015,276,2,1,1
117,"Jun 11, 2020",11947,45,44,45,1017,276,0,1,0
118,"Jun 12, 2020",12003,56,51,48,1057,277,1,1,1
119,"Jun 13, 2020",12051,48,49,47,1083,277,0,1,0
120,"Jun 14, 2020",12085,34,46,45,1090,277,0,0,1
121,"Jun 15, 2020",12121,36,40,43,1114,277,0,0,0
122,"Jun 16, 2020",12155,34,34,44,1117,278,1,0,1
123,"Jun 17, 2020",12198,43,38,42,1145,279,1,1,0
124,"Jun 18, 2020",12257,59,45,44,1177,280,1,1,1
125,"Jun 19, 2020",12306,49,51,44,1191,280,0,1,0
126,"Jun 20, 2020",12373,67,58,46,1237,280,0,0,1
127,"Jun 21, 2020",12421,48,55,48,1273,280,0,0,0
128,"Jun 22, 2020",12438,17,44,45,1277,280,0,0,1
129,"Jun 23, 2020",12484,46,37,47,1295,281,1,0,0
130,"Jun 24, 2020",12535,51,38,48,1324,281,0,1,0
131,"Jun 25, 2020",12563,28,41,44,1307,282,1,0,1
132,"Jun 26, 2020",12602,39,40,42,1148,282,0,1,0
133,"Jun 27, 2020",12653,51,39,40,1054,282,0,0,0
134,"Jun 28, 2020",12715,62,51,42,1069,282,0,0,0
135,"Jun 29, 2020",12757,42,51,46,1046,282,0,0,1
136,"Jun 30, 2020",12800,43,49,45,981,282,0,0,0
137,"Jul 01, 2020",12850,50,45,45,955,282,0,0,0
138,"Jul 02, 2020",12904,54,49,48,938,282,0,0,0
139,"Jul 03, 2020",12967,63,56,53,926,282,0,0,0
140,"Jul 04, 2020",13030,63,60,53,936,283,1,0,0
141,"Jul 05, 2020",13091,61,62,54,976,283,0,1,0
142,"Jul 06, 2020",13137,46,57,54,1005,284,1,0,1
143,"Jul 07, 2020",13181,44,50,55,982,285,1,1,0
144,"Jul 08, 2020",13243,62,51,56,988,285,0,1,0
145,"Jul 09, 2020",13293,50,52,56,987,287,2,1,1
146,"Jul 10, 2020",13338,45,52,53,985,288,1,1,1
147,"Jul 11, 2020",13373,35,44,49,941,288,0,1,1
148,"Jul 12, 2020",13417,44,41,46,950,289,1,0,1
149,"Jul 13, 2020",13479,62,47,49,986,289,0,1,0
150,"Jul 14, 2020",13512,33,46,47,941,289,0,0,1
151,"Jul 15, 2020",13551,39,45,44,914,289,0,0,0
152,"Jul 16, 2020",13612,61,44,46,925,291,2,1,1
153,"Jul 17, 2020",13672,60,54,48,919,293,2,1,1
154,"Jul 18, 2020",13711,39,53,48,898,294,1,2,1
155,"Jul 19, 2020",13745,34,44,47,894,295,1,1,0
156,"Jul 20, 2020",13771,26,33,41,903,296,1,1,1
157,"Jul 21, 2020",13816,45,35,44,877,296,0,1,1
158,"Jul 22, 2020",13879,63,45,47,884,297,1,0,2
159,"Jul 23, 2020",13938,59,56,46,883,297,0,1,0
160,"Jul 24, 2020",13979,41,54,44,864,298,1,0,1
161,"Jul 25, 2020",14092,113,71,55,928,298,0,1,1
162,"Jul 26, 2020",14150,58,71,57,962,298,0,0,0
163,"Jul 27, 2020",14175,25,65,58,971,299,1,0,1
164,"Jul 28, 2020",14203,28,37,55,896,300,1,1,0
165,"Jul 29, 2020",14251,48,34,54,882,300,0,1,1
166,"Jul 30, 2020",14269,18,31,47,837,300,0,0,0
167,"Jul 31, 2020",14305,36,34,46,821,301,1,0,0
168,"Aug 01, 2020",14336,31,28,35,802,301,0,1,1
169,"Aug 02, 2020",14366,30,33,31,806,301,0,0,0
170,"Aug 03, 2020",14389,23,28,31,808,301,0,0,1
171,"Aug 04, 2020",14423,34,29,31,770,301,0,0,0
172,"Aug 05, 2020",14456,33,30,29,748,302,1,0,0
173,"Aug 06, 2020",14499,43,36,33,696,302,0,1,0
174,"Aug 07, 2020",14519,20,32,31,673,303,1,0,1
175,"Aug 08, 2020",14562,43,36,32,629,304,1,1,0
176,"Aug 09, 2020",14598,36,33,33,651,305,1,1,1
177,"Aug 10, 2020",14626,28,35,34,663,305,0,1,0
178,"Aug 11, 2020",14660,34,33,34,626,305,0,0,1
179,"Aug 12, 2020",14714,54,39,37,623,305,0,0,0
180,"Aug 13, 2020",14770,56,48,39,648,305,0,0,1
181,"Aug 14, 2020",14873,103,71,50,705,305,0,0,0
182,"Aug 15, 2020",15039,166,108,68,833,305,0,0,0
183,"Aug 16, 2020",15318,279,183,103,1103,305,0,0,0
184,"Aug 17, 2020",15515,197,214,127,1293,305,0,0,0
185,"Aug 18, 2020",15761,246,240,157,1521,306,1,0,0
