Days,Date,0_Cases,1_DailyCases,2_DailyCases- 3-daymovingaverage,3_DailyCases- 7-daymovingaverage,4_CurrentlyInfected,5_Deaths,6_DailyDeaths,7_DailyDeaths- 3-daymovingaverage,8_DailyDeaths- 7-daymovingaverage
0,"Feb 15, 2020",710,0,0,0,708,0,0,0,0
1,"Feb 16, 2020",736,26,27,24,734,0,0,0,0
2,"Feb 17, 2020",764,28,30,25,762,0,0,0,0
3,"Feb 18, 2020",792,28,27,26,790,0,0,0,0
4,"Feb 19, 2020",810,18,25,26,808,0,0,0,0
5,"Feb 20, 2020",867,57,34,30,865,0,0,0,0
6,"Feb 21, 2020",929,62,46,36,927,0,0,0,0
7,"Feb 22, 2020",989,60,59,40,987,0,0,0,0
8,"Feb 23, 2020",1064,75,66,47,1062,0,0,0,0
9,"Feb 24, 2020",1172,108,81,58,1170,0,0,0,0
10,"Feb 25, 2020",1301,129,104,73,1299,0,0,0,0
11,"Feb 26, 2020",1448,147,128,91,1446,0,0,0,0
12,"Feb 27, 2020",1628,180,152,109,1626,0,0,0,0
13,"Feb 28, 2020",1945,317,215,145,1943,0,0,0,0
14,"Feb 29, 2020",2183,238,245,170,2181,0,0,0,0
15,"Mar 01, 2020",2859,676,410,257,2857,0,0,0,0
16,"Mar 02, 2020",3644,785,566,353,3642,0,0,0,0
17,"Mar 03, 2020",4420,776,746,446,4417,1,1,0,0
18,"Mar 04, 2020",5354,934,832,558,5350,2,1,0,0
19,"Mar 05, 2020",6610,1256,988,711,6604,3,1,1,0
20,"Mar 06, 2020",8197,1587,1259,893,8183,8,5,2,1
21,"Mar 07, 2020",10011,1814,1553,1119,9971,10,2,3,1
22,"Mar 08, 2020",12154,2143,1848,1328,12105,17,7,5,3
23,"Mar 09, 2020",15482,3328,2428,1691,15420,30,13,7,4
24,"Mar 10, 2020",20050,4568,3346,2233,19879,36,6,9,5
25,"Mar 11, 2020",24670,4620,4172,2759,24431,56,20,13,8
26,"Mar 12, 2020",30471,5801,4997,3409,30194,88,32,19,12
27,"Mar 13, 2020",38098,7627,6016,4271,37768,137,49,34,18
28,"Mar 14, 2020",45374,7276,6901,5052,44655,202,65,48,28
29,"Mar 15, 2020",53120,7746,7550,5852,52299,304,102,72,41
