Days,Date,0_Cases,1_DailyCases,2_DailyCases- 3-daymovingaverage,3_DailyCases- 7-daymovingaverage,4_CurrentlyInfected,5_Deaths,6_DailyDeaths,7_DailyDeaths- 3-daymovingaverage,8_DailyDeaths- 7-daymovingaverage
0,"Feb 15, 2020",1,0,0,0,0,0,0,0,0
1,"Feb 16, 2020",1,0,0,0,0,0,0,0,0
2,"Feb 17, 2020",1,0,0,0,0,0,0,0,0
3,"Feb 18, 2020",1,0,0,0,0,0,0,0,0
4,"Feb 19, 2020",1,0,0,0,0,0,0,0,0
5,"Feb 20, 2020",1,0,0,0,0,0,0,0,0
6,"Feb 21, 2020",1,0,0,0,0,0,0,0,0
7,"Feb 22, 2020",1,0,0,0,0,0,0,0,0
8,"Feb 23, 2020",1,0,0,0,0,0,0,0,0
9,"Feb 24, 2020",1,0,0,0,0,0,0,0,0
10,"Feb 25, 2020",1,0,0,0,0,0,0,0,0
11,"Feb 26, 2020",1,0,0,0,0,0,0,0,0
12,"Feb 27, 2020",1,0,0,0,0,0,0,0,0
13,"Feb 28, 2020",1,0,0,0,0,0,0,0,0
14,"Feb 29, 2020",1,0,0,0,0,0,0,0,0
15,"Mar 01, 2020",1,0,0,0,0,0,0,0,0
16,"Mar 02, 2020",1,0,0,0,0,0,0,0,0
17,"Mar 03, 2020",1,0,0,0,0,0,0,0,0
18,"Mar 04, 2020",1,0,0,0,0,0,0,0,0
19,"Mar 05, 2020",1,0,0,0,0,0,0,0,0
20,"Mar 06, 2020",1,0,0,0,0,0,0,0,0
21,"Mar 07, 2020",1,0,0,0,0,0,0,0,0
22,"Mar 08, 2020",1,0,0,0,0,0,0,0,0
23,"Mar 09, 2020",1,0,0,0,0,0,0,0,0
24,"Mar 10, 2020",1,0,0,0,0,0,0,0,0
25,"Mar 11, 2020",2,1,0,0,1,0,0,0,0
26,"Mar 12, 2020",3,1,1,0,2,0,0,0,0
27,"Mar 13, 2020",6,3,2,1,5,0,0,0,0
28,"Mar 14, 2020",10,4,2,1,9,0,0,0,0
29,"Mar 15, 2020",18,8,5,3,17,0,0,0,0
30,"Mar 16, 2020",28,10,8,4,27,0,0,0,0
31,"Mar 17, 2020",44,16,11,6,43,0,0,0,0
32,"Mar 18, 2020",51,7,11,7,48,0,0,0,0
33,"Mar 19, 2020",60,9,11,8,57,0,0,0,0
34,"Mar 20, 2020",73,13,9,10,70,0,0,0,0
35,"Mar 21, 2020",77,4,9,9,74,0,0,0,0
36,"Mar 22, 2020",82,5,7,9,79,0,0,0,0
37,"Mar 23, 2020",97,15,8,10,95,0,0,0,0
38,"Mar 24, 2020",102,5,9,8,100,0,0,0,0
39,"Mar 25, 2020",102,0,6,8,99,0,0,0,0
40,"Mar 26, 2020",106,4,3,6,99,0,0,0,0
41,"Mar 27, 2020",106,0,2,5,99,0,0,0,0
42,"Mar 28, 2020",113,7,3,5,103,1,1,0,0
43,"Mar 29, 2020",117,4,4,5,105,1,0,0,0
44,"Mar 30, 2020",122,5,5,4,105,2,1,0,0
45,"Mar 31, 2020",143,21,10,6,124,2,0,1,0
46,"Apr 01, 2020",146,3,10,6,122,3,1,0,0
47,"Apr 02, 2020",151,5,10,6,126,4,1,1,1
48,"Apr 03, 2020",159,8,5,8,131,4,0,1,0
49,"Apr 04, 2020",166,7,7,7,134,5,1,0,1
50,"Apr 05, 2020",176,10,8,9,138,5,0,1,1
51,"Apr 06, 2020",178,2,6,8,135,5,0,0,0
52,"Apr 07, 2020",185,7,7,6,137,6,1,0,1
53,"Apr 08, 2020",189,4,4,6,138,7,1,1,0
54,"Apr 09, 2020",190,1,4,6,134,7,0,1,1
55,"Apr 10, 2020",190,0,2,4,129,7,0,0,0
56,"Apr 11, 2020",198,8,3,5,137,7,0,0,0
