Days,Date,0_Cases,1_DailyCases,2_DailyCases- 3-daymovingaverage,3_DailyCases- 7-daymovingaverage,4_CurrentlyInfected,5_Deaths,6_DailyDeaths,7_DailyDeaths- 3-daymovingaverage,8_DailyDeaths- 7-daymovingaverage
0,"Feb 15, 2020",0,0,0,0,0,0,0,0,0
1,"Feb 16, 2020",0,0,0,0,0,0,0,0,0
2,"Feb 17, 2020",0,0,0,0,0,0,0,0,0
3,"Feb 18, 2020",0,0,0,0,0,0,0,0,0
4,"Feb 19, 2020",0,0,0,0,0,0,0,0,0
5,"Feb 20, 2020",0,0,0,0,0,0,0,0,0
6,"Feb 21, 2020",0,0,0,0,0,0,0,0,0
7,"Feb 22, 2020",0,0,0,0,0,0,0,0,0
8,"Feb 23, 2020",0,0,0,0,0,0,0,0,0
9,"Feb 24, 2020",0,0,0,0,0,0,0,0,0
10,"Feb 25, 2020",0,0,0,0,0,0,0,0,0
11,"Feb 26, 2020",0,0,0,0,0,0,0,0,0
12,"Feb 27, 2020",0,0,0,0,0,0,0,0,0
13,"Feb 28, 2020",0,0,0,0,0,0,0,0,0
14,"Feb 29, 2020",0,0,0,0,0,0,0,0,0
15,"Mar 01, 2020",0,0,0,0,0,0,0,0,0
16,"Mar 02, 2020",0,0,0,0,0,0,0,0,0
17,"Mar 03, 2020",0,0,0,0,0,0,0,0,0
18,"Mar 04, 2020",0,0,0,0,0,0,0,0,0
19,"Mar 05, 2020",7,0,0,0,7,0,0,0,0
20,"Mar 06, 2020",16,9,6,2,16,0,0,0,0
21,"Mar 07, 2020",19,3,6,3,19,0,0,0,0
22,"Mar 08, 2020",19,0,4,3,19,0,0,0,0
23,"Mar 09, 2020",26,7,3,3,26,0,0,0,0
24,"Mar 10, 2020",31,5,4,5,31,0,0,0,0
25,"Mar 11, 2020",31,0,4,4,31,0,0,0,0
26,"Mar 12, 2020",32,1,2,4,32,0,0,0,0
27,"Mar 13, 2020",36,4,2,3,36,0,0,0,0
28,"Mar 14, 2020",39,3,3,3,39,0,0,0,0
29,"Mar 15, 2020",39,0,2,2,39,0,0,0,0
30,"Mar 16, 2020",40,1,1,2,40,0,0,0,0
31,"Mar 17, 2020",43,3,2,2,43,0,0,0,0
32,"Mar 18, 2020",43,0,1,2,43,0,0,0,0
33,"Mar 19, 2020",45,2,2,2,45,0,0,0,0
34,"Mar 20, 2020",47,2,1,1,30,0,0,0,0
35,"Mar 21, 2020",50,3,2,2,33,0,0,0,0
36,"Mar 22, 2020",57,7,4,2,40,0,0,0,0
37,"Mar 23, 2020",57,0,4,3,40,0,0,0,0
38,"Mar 24, 2020",58,1,2,2,42,0,0,0,0
39,"Mar 25, 2020",63,5,2,3,46,1,0,0,0
40,"Mar 26, 2020",84,21,9,5,66,1,0,0,0
41,"Mar 27, 2020",91,7,11,7,73,1,0,0,0
42,"Mar 28, 2020",98,7,12,7,79,1,0,0,0
43,"Mar 29, 2020",106,8,7,7,87,1,0,0,0
44,"Mar 30, 2020",117,11,9,8,98,1,0,0,0
45,"Mar 31, 2020",119,2,7,9,100,1,0,0,0
46,"Apr 01, 2020",133,14,9,10,114,1,0,0,0
47,"Apr 02, 2020",154,21,12,10,135,1,0,0,0
48,"Apr 03, 2020",193,39,25,14,171,1,0,0,0
49,"Apr 04, 2020",217,24,28,17,195,1,0,0,0
50,"Apr 05, 2020",236,19,27,19,210,1,0,0,0
51,"Apr 06, 2020",254,18,21,20,229,1,0,0,0
52,"Apr 07, 2020",261,7,14,20,218,1,0,0,0
53,"Apr 08, 2020",263,2,9,18,218,1,0,0,0
54,"Apr 09, 2020",263,0,3,16,218,1,0,0,0
55,"Apr 10, 2020",267,4,2,11,220,2,1,0,0
56,"Apr 11, 2020",268,1,2,7,209,2,0,1,0
57,"Apr 12, 2020",271,3,3,5,211,2,0,0,0
58,"Apr 13, 2020",274,3,2,3,214,2,0,0,1
59,"Apr 14, 2020",288,14,7,4,224,2,0,0,0
60,"Apr 15, 2020",291,3,6,4,226,2,0,0,0
61,"Apr 16, 2020",295,4,7,4,230,2,0,0,0
62,"Apr 17, 2020",307,12,7,6,236,2,0,0,0
63,"Apr 18, 2020",313,6,7,6,242,2,0,0,0
64,"Apr 19, 2020",322,9,9,8,249,2,0,0,0
65,"Apr 20, 2020",329,7,7,7,256,2,0,0,0
66,"Apr 21, 2020",334,5,7,7,261,2,0,0,0
67,"Apr 22, 2020",335,1,5,6,262,2,0,0,0
68,"Apr 23, 2020",336,1,2,6,242,2,0,0,0
69,"Apr 24, 2020",340,4,2,5,246,2,0,0,0
