Days,Date,0_CurrentlyInfected,1_Cases,2_DailyCases,3_DailyCases- 3-daymovingaverage,4_DailyCases- 7-daymovingaverage,5_Deaths,6_DailyDeaths,7_DailyDeaths- 3-daymovingaverage,8_DailyDeaths- 7-daymovingaverage
0,"Feb 15, 2020",0,1,0,0,0,1,0,0,0
1,"Feb 16, 2020",0,1,0,0,0,1,0,0,0
2,"Feb 17, 2020",0,1,0,0,0,1,0,0,0
3,"Feb 18, 2020",0,1,0,0,0,1,0,0,0
4,"Feb 19, 2020",0,1,0,0,0,1,0,0,0
5,"Feb 20, 2020",0,1,0,0,0,1,0,0,0
6,"Feb 21, 2020",0,1,0,0,0,1,0,0,0
7,"Feb 22, 2020",0,1,0,0,0,1,0,0,0
8,"Feb 23, 2020",0,1,0,0,0,1,0,0,0
9,"Feb 24, 2020",0,1,0,0,0,1,0,0,0
10,"Feb 25, 2020",0,1,0,0,0,1,0,0,0
11,"Feb 26, 2020",1,2,1,0,0,1,0,0,0
12,"Feb 27, 2020",2,3,1,1,0,1,0,0,0
13,"Feb 28, 2020",10,11,8,3,2,1,0,0,0
14,"Feb 29, 2020",13,14,3,4,2,1,0,0,0
15,"Mar 01, 2020",13,14,0,4,2,1,0,0,0
16,"Mar 02, 2020",18,19,5,3,2,1,0,0,0
17,"Mar 03, 2020",30,32,13,6,5,1,0,0,0
18,"Mar 04, 2020",60,62,30,16,8,1,0,0,0
19,"Mar 05, 2020",85,87,25,22,12,1,0,0,0
20,"Mar 06, 2020",144,146,59,38,19,1,0,0,0
21,"Mar 07, 2020",177,179,33,39,24,1,0,0,0
22,"Mar 08, 2020",223,225,46,46,30,1,0,0,0
23,"Mar 09, 2020",324,326,101,60,44,1,0,0,0
24,"Mar 10, 2020",422,424,98,82,56,1,0,0,0
25,"Mar 11, 2020",617,620,196,132,80,2,1,0,0
26,"Mar 12, 2020",769,771,151,148,97,1,-1,0,0
27,"Mar 13, 2020",920,923,152,166,111,2,1,1,0
28,"Mar 14, 2020",990,994,71,125,117,3,1,0,1
29,"Mar 15, 2020",1057,1063,69,97,120,5,2,1,0
30,"Mar 16, 2020",1138,1146,83,75,117,7,2,2,1
31,"Mar 17, 2020",1256,1265,119,90,120,8,1,2,1
32,"Mar 18, 2020",1381,1410,145,116,113,14,6,3,2
33,"Mar 19, 2020",1516,1553,143,135,111,21,7,4,3
34,"Mar 20, 2020",1687,1733,180,156,116,30,9,8,4
35,"Mar 21, 2020",1815,1869,136,153,125,38,8,8,5
