Days,Date,0_Cases,1_DailyCases,2_DailyCases- 3-daymovingaverage,3_DailyCases- 7-daymovingaverage,4_CurrentlyInfected,5_Deaths,6_DailyDeaths,7_DailyDeaths- 3-daymovingaverage,8_DailyDeaths- 7-daymovingaverage
0,"Feb 15, 2020",0,0,0,0,0,0,0,0,0
1,"Feb 16, 2020",0,0,0,0,0,0,0,0,0
2,"Feb 17, 2020",0,0,0,0,0,0,0,0,0
3,"Feb 18, 2020",0,0,0,0,0,0,0,0,0
4,"Feb 19, 2020",0,0,0,0,0,0,0,0,0
5,"Feb 20, 2020",0,0,0,0,0,0,0,0,0
6,"Feb 21, 2020",0,0,0,0,0,0,0,0,0
7,"Feb 22, 2020",0,0,0,0,0,0,0,0,0
8,"Feb 23, 2020",0,0,0,0,0,0,0,0,0
9,"Feb 24, 2020",0,0,0,0,0,0,0,0,0
10,"Feb 25, 2020",1,0,0,0,1,0,0,0,0
11,"Feb 26, 2020",1,0,0,0,1,0,0,0,0
12,"Feb 27, 2020",8,7,2,0,8,0,0,0,0
13,"Feb 28, 2020",15,7,5,3,15,0,0,0,0
14,"Feb 29, 2020",19,4,6,2,19,0,0,0,0
15,"Mar 01, 2020",24,5,5,4,23,0,0,0,0
16,"Mar 02, 2020",30,6,5,4,29,0,0,0,0
17,"Mar 03, 2020",58,28,13,8,56,0,0,0,0
18,"Mar 04, 2020",93,35,23,13,90,0,0,0,0
19,"Mar 05, 2020",120,27,30,16,116,1,1,0,0
20,"Mar 06, 2020",214,94,52,29,210,1,0,0,0
21,"Mar 07, 2020",268,54,59,35,264,1,0,0,0
22,"Mar 08, 2020",332,64,70,44,327,2,1,0,0
23,"Mar 09, 2020",374,42,54,49,369,2,0,1,0
24,"Mar 10, 2020",497,123,76,63,489,5,3,1,1
25,"Mar 11, 2020",652,155,107,80,641,7,2,2,1
26,"Mar 12, 2020",868,216,164,107,854,10,3,2,1
27,"Mar 13, 2020",1139,271,214,132,1124,11,1,2,1
28,"Mar 14, 2020",1375,236,241,158,1357,14,3,3,2
29,"Mar 15, 2020",2217,842,450,269,2191,22,8,4,3
30,"Mar 16, 2020",2353,136,405,283,2316,33,11,7,5
31,"Mar 17, 2020",2742,389,455,321,2687,40,7,9,5
32,"Mar 18, 2020",3115,373,300,352,3051,49,9,9,6
33,"Mar 19, 2020",4222,1107,623,479,4147,60,11,9,7
34,"Mar 20, 2020",5615,1393,957,639,5519,81,21,13,10
35,"Mar 21, 2020",6863,1248,1250,784,6631,101,20,18,12
36,"Mar 22, 2020",7474,611,1084,751,7227,116,15,18,14
37,"Mar 23, 2020",8795,1321,1060,921,8518,146,30,22,16
38,"Mar 24, 2020",9877,1082,1004,1019,9581,165,19,21,18
39,"Mar 25, 2020",10897,1020,1141,1112,10567,199,34,28,21
40,"Mar 26, 2020",11811,914,1006,1084,11438,242,43,32,26
41,"Mar 27, 2020",12928,1117,1017,1044,11120,278,36,38,28
42,"Mar 28, 2020",14076,1148,1059,1031,12218,328,50,43,33
43,"Mar 29, 2020",14829,753,1006,1051,12859,375,47,44,37
44,"Mar 30, 2020",15922,1093,998,1018,13669,430,55,51,40
45,"Mar 31, 2020",16605,683,843,961,14294,488,58,53,46
46,"Apr 01, 2020",17768,1163,980,981,14254,547,59,57,50
47,"Apr 02, 2020",18827,1059,968,1003,14207,607,60,59,52
48,"Apr 03, 2020",19606,779,1001,954,14096,664,57,59,55
49,"Apr 04, 2020",20505,899,912,918,13364,726,62,60,57
50,"Apr 05, 2020",21100,595,758,896,13909,776,50,56,57
51,"Apr 06, 2020",21657,557,683,819,12770,831,55,56,58
52,"Apr 07, 2020",22253,596,583,807,12660,889,58,54,57
53,"Apr 08, 2020",23280,1027,727,788,12528,952,63,59,58
54,"Apr 09, 2020",24051,771,798,746,12455,996,44,55,55
55,"Apr 10, 2020",24551,500,766,706,12406,1045,49,52,55
56,"Apr 11, 2020",25107,556,609,658,11921,1086,41,44,51
57,"Apr 12, 2020",25415,308,454,616,11572,1143,57,49,53
58,"Apr 13, 2020",25688,273,379,576,10816,1172,29,43,48
59,"Apr 14, 2020",25936,248,277,526,11026,1210,38,41,46
60,"Apr 15, 2020",26336,400,307,437,9680,1256,46,38,44
61,"Apr 16, 2020",26732,396,348,383,9531,1301,45,43,43
62,"Apr 17, 2020",27078,346,380,361,9333,1345,44,45,43
63,"Apr 18, 2020",27404,326,356,328,8924,1380,35,41,42
64,"Apr 19, 2020",27740,336,336,332,8537,1403,23,34,37
65,"Apr 20, 2020",27944,204,289,322,7900,1444,41,33,39
