Days,Date,0_Cases,1_DailyCases,2_DailyCases- 3-daymovingaverage,3_DailyCases- 7-daymovingaverage,4_CurrentlyInfected,5_Deaths,6_DailyDeaths,7_DailyDeaths- 3-daymovingaverage,8_DailyDeaths- 7-daymovingaverage
0,"Feb 15, 2020",18,0,0,0,16,0,0,0,0
1,"Feb 16, 2020",20,2,1,0,17,1,0,0,0
2,"Feb 17, 2020",22,2,1,1,19,1,0,0,0
3,"Feb 18, 2020",22,0,1,0,19,1,0,0,0
4,"Feb 19, 2020",23,1,1,1,20,1,0,0,0
5,"Feb 20, 2020",24,1,1,1,21,1,0,0,0
6,"Feb 21, 2020",26,2,1,1,23,1,0,0,0
7,"Feb 22, 2020",26,0,1,1,23,1,0,0,0
8,"Feb 23, 2020",28,2,2,1,25,1,0,0,0
9,"Feb 24, 2020",30,2,1,2,27,1,0,0,0
10,"Feb 25, 2020",31,1,2,1,25,1,0,0,0
11,"Feb 26, 2020",32,1,1,1,26,1,0,0,0
12,"Feb 27, 2020",32,0,1,1,26,1,0,0,0
13,"Feb 28, 2020",34,2,1,1,28,1,0,0,0
14,"Feb 29, 2020",39,5,2,2,29,1,0,0,0
15,"Mar 01, 2020",40,1,3,2,27,1,0,0,0
16,"Mar 02, 2020",41,1,2,2,28,1,0,0,0
17,"Mar 03, 2020",42,1,1,1,29,1,0,0,0
18,"Mar 04, 2020",42,0,1,2,29,1,0,0,0
19,"Mar 05, 2020",44,2,1,1,31,1,0,0,0
20,"Mar 06, 2020",45,1,1,2,29,1,0,0,0
21,"Mar 07, 2020",45,0,1,1,29,1,0,0,0
22,"Mar 08, 2020",45,0,0,0,29,1,0,0,0
23,"Mar 09, 2020",45,0,0,1,29,1,0,0,0
24,"Mar 10, 2020",47,2,1,1,29,1,0,0,0
25,"Mar 11, 2020",48,1,1,1,27,1,0,0,0
26,"Mar 12, 2020",49,1,1,0,28,1,0,0,0
27,"Mar 13, 2020",50,1,1,1,29,1,0,0,0
28,"Mar 14, 2020",53,3,2,1,32,1,0,0,0
29,"Mar 15, 2020",59,6,3,2,38,1,0,0,0
30,"Mar 16, 2020",67,8,6,3,46,1,0,0,0
31,"Mar 17, 2020",77,10,8,5,56,1,0,0,0
32,"Mar 18, 2020",100,23,13,7,77,1,0,0,0
33,"Mar 19, 2020",108,8,14,8,81,1,0,0,0
34,"Mar 20, 2020",135,27,19,13,105,2,1,0,0
35,"Mar 21, 2020",153,18,18,14,123,2,0,1,0
36,"Mar 22, 2020",169,16,20,16,139,2,0,0,0
37,"Mar 23, 2020",195,26,20,18,165,2,0,0,1
38,"Mar 24, 2020",216,21,21,20,185,2,0,0,0
39,"Mar 25, 2020",235,19,22,19,204,2,0,0,0
40,"Mar 26, 2020",252,17,19,21,221,2,0,0,0
41,"Mar 27, 2020",267,15,17,18,235,2,0,0,0
42,"Mar 28, 2020",283,16,16,19,251,2,0,0,0
43,"Mar 29, 2020",298,15,16,18,256,3,1,0,0
44,"Mar 30, 2020",306,8,13,16,262,5,2,1,1
45,"Mar 31, 2020",322,16,13,15,278,5,0,1,0
46,"Apr 01, 2020",329,7,10,14,279,5,0,1,0
47,"Apr 02, 2020",339,10,11,12,284,5,0,0,1
48,"Apr 03, 2020",348,9,9,12,293,5,0,0,0
49,"Apr 04, 2020",355,7,8,10,300,5,0,0,1
