Days,Date,0_DeathRate,1_RecoveryRate,2_Cases,3_DailyCases,4_DailyCases- 3-daymovingaverage,5_DailyCases- 7-daymovingaverage,6_CurrentlyInfected,7_Deaths,8_DailyDeaths,9_DailyDeaths- 3-daymovingaverage,10_DailyDeaths- 7-daymovingaverage,11_NewRecoveries,12_NewCases,13_DeathRate,14_RecoveryRate
0,"Feb 15, 2020",0.000,100.000,34,0,0,0,20,0,0,0,0,0,0,0.000,100.000
1,"Feb 16, 2020",0.000,100.000,34,0,1,0,20,0,0,0,0,0,0,0.000,100.000
2,"Feb 17, 2020",0.000,100.000,35,1,0,1,20,0,0,0,0,1,1,0.000,100.000
3,"Feb 18, 2020",0.000,100.000,35,0,1,0,18,0,0,0,0,2,0,0.000,100.000
4,"Feb 19, 2020",0.000,100.000,35,0,0,0,18,0,0,0,0,0,0,0.000,100.000
5,"Feb 20, 2020",0.000,100.000,35,0,0,0,18,0,0,0,0,0,0,0.000,100.000
6,"Feb 21, 2020",0.000,100.000,35,0,0,1,16,0,0,0,0,2,0,0.000,100.000
7,"Feb 22, 2020",0.000,100.000,35,0,0,0,15,0,0,0,0,1,0,0.000,100.000
8,"Feb 23, 2020",0.000,100.000,35,0,0,0,14,0,0,0,0,1,0,0.000,100.000
9,"Feb 24, 2020",0.000,100.000,35,0,0,0,20,0,0,0,0,-6,0,0.000,100.000
10,"Feb 25, 2020",0.000,100.000,37,2,1,0,15,0,0,0,0,7,2,0.000,100.000
11,"Feb 26, 2020",0.000,100.000,40,3,1,1,18,0,0,0,0,0,3,0.000,100.000
12,"Feb 27, 2020",0.000,100.000,40,0,2,1,12,0,0,0,0,6,0,0.000,100.000
13,"Feb 28, 2020",0.000,100.000,41,1,1,1,13,0,0,0,0,0,1,0.000,100.000
14,"Feb 29, 2020",0.000,100.000,42,1,1,1,14,0,0,0,0,0,1,0.000,100.000
15,"Mar 01, 2020",3.230,96.770,42,0,1,1,11,1,1,0,0,2,0,3.230,96.770
16,"Mar 02, 2020",3.230,96.770,43,1,0,1,12,1,0,0,0,0,1,3.230,96.770
17,"Mar 03, 2020",3.230,96.770,43,0,1,1,12,1,0,0,0,0,0,3.230,96.770
18,"Mar 04, 2020",3.230,96.770,43,0,0,0,12,1,0,0,0,0,0,3.230,96.770
19,"Mar 05, 2020",3.130,96.880,47,4,1,1,15,1,0,0,0,1,4,3.130,96.880
20,"Mar 06, 2020",3.130,96.880,48,1,2,1,16,1,0,0,0,0,1,3.130,96.880
21,"Mar 07, 2020",3.130,96.880,50,2,2,1,18,1,0,0,0,0,2,3.130,96.880
22,"Mar 08, 2020",2.940,97.060,50,0,1,1,16,1,0,0,0,2,0,2.940,97.060
23,"Mar 09, 2020",2.940,97.060,50,0,1,1,16,1,0,0,0,0,0,2.940,97.060
24,"Mar 10, 2020",2.940,97.060,53,3,1,2,19,1,0,0,0,0,3,2.940,97.060
25,"Mar 11, 2020",2.860,97.140,59,6,3,2,24,1,0,0,0,1,6,2.860,97.140
