Days,Date,0_Cases,1_DailyCases,2_DailyCases- 3-daymovingaverage,3_DailyCases- 7-daymovingaverage,4_CurrentlyInfected,5_Deaths,6_DailyDeaths,7_DailyDeaths- 3-daymovingaverage,8_DailyDeaths- 7-daymovingaverage
0,"Feb 15, 2020",0,0,0,0,0,0,0,0,0
1,"Feb 16, 2020",0,0,0,0,0,0,0,0,0
2,"Feb 17, 2020",0,0,0,0,0,0,0,0,0
3,"Feb 18, 2020",0,0,0,0,0,0,0,0,0
4,"Feb 19, 2020",0,0,0,0,0,0,0,0,0
5,"Feb 20, 2020",0,0,0,0,0,0,0,0,0
6,"Feb 21, 2020",0,0,0,0,0,0,0,0,0
7,"Feb 22, 2020",0,0,0,0,0,0,0,0,0
8,"Feb 23, 2020",0,0,0,0,0,0,0,0,0
9,"Feb 24, 2020",0,0,0,0,0,0,0,0,0
10,"Feb 25, 2020",0,0,0,0,0,0,0,0,0
11,"Feb 26, 2020",0,0,0,0,0,0,0,0,0
12,"Feb 27, 2020",0,0,0,0,0,0,0,0,0
13,"Feb 28, 2020",0,0,0,0,0,0,0,0,0
14,"Feb 29, 2020",0,0,0,0,0,0,0,0,0
15,"Mar 01, 2020",0,0,0,0,0,0,0,0,0
16,"Mar 02, 2020",1,0,0,0,1,0,0,0,0
17,"Mar 03, 2020",1,0,0,0,1,0,0,0,0
18,"Mar 04, 2020",1,0,0,0,1,0,0,0,0
19,"Mar 05, 2020",1,0,0,0,1,0,0,0,0
20,"Mar 06, 2020",1,0,0,0,1,0,0,0,0
21,"Mar 07, 2020",1,0,0,0,1,0,0,0,0
22,"Mar 08, 2020",2,1,0,0,2,0,0,0,0
23,"Mar 09, 2020",5,3,2,1,5,0,0,0,0
24,"Mar 10, 2020",6,1,1,0,6,0,0,0,0
25,"Mar 11, 2020",7,1,2,1,7,0,0,0,0
26,"Mar 12, 2020",13,6,3,2,13,0,0,0,0
27,"Mar 13, 2020",16,3,3,2,16,0,0,0,0
28,"Mar 14, 2020",18,2,4,3,18,0,0,0,0
29,"Mar 15, 2020",20,2,2,2,20,0,0,0,0
30,"Mar 16, 2020",24,4,3,3,24,0,0,0,0
31,"Mar 17, 2020",27,3,3,3,26,0,0,0,0
32,"Mar 18, 2020",29,2,3,3,28,0,0,0,0
33,"Mar 19, 2020",39,10,5,4,37,1,1,0,0
34,"Mar 20, 2020",54,15,9,5,52,1,0,0,0
35,"Mar 21, 2020",60,6,10,6,58,1,0,0,0
36,"Mar 22, 2020",75,15,12,8,71,3,2,1,0
37,"Mar 23, 2020",89,14,12,9,85,3,0,0,0
38,"Mar 24, 2020",114,25,18,13,109,4,1,1,1
39,"Mar 25, 2020",173,59,32,20,166,5,1,1,1
40,"Mar 26, 2020",197,24,36,23,190,5,0,1,0
41,"Mar 27, 2020",227,30,38,25,218,7,2,1,1
42,"Mar 28, 2020",278,51,35,31,268,8,1,1,1
43,"Mar 29, 2020",312,34,38,34,302,8,0,1,1
44,"Mar 30, 2020",362,50,45,39,350,9,1,0,1
45,"Mar 31, 2020",394,32,39,40,381,10,1,1,0
46,"Apr 01, 2020",423,29,37,35,406,12,2,1,1
47,"Apr 02, 2020",455,32,31,37,436,14,2,2,2
48,"Apr 03, 2020",495,40,34,38,470,20,6,3,2
49,"Apr 04, 2020",553,58,43,40,528,20,0,3,1
50,"Apr 05, 2020",574,21,40,37,543,26,6,4,3
51,"Apr 06, 2020",596,22,33,34,565,26,0,2,2
52,"Apr 07, 2020",623,27,24,32,571,27,1,2,3
53,"Apr 08, 2020",628,5,18,30,575,28,1,1,2
54,"Apr 09, 2020",643,15,15,26,589,29,1,1,2
55,"Apr 10, 2020",671,28,16,26,617,29,0,1,1
56,"Apr 11, 2020",685,14,19,18,610,32,3,1,2
57,"Apr 12, 2020",707,22,22,19,629,35,3,2,1
58,"Apr 13, 2020",726,19,18,19,645,38,3,3,2
59,"Apr 14, 2020",747,21,21,18,666,38,0,2,2
60,"Apr 15, 2020",780,33,24,21,698,39,1,1,1
61,"Apr 16, 2020",822,42,32,26,738,41,2,1,2
62,"Apr 17, 2020",864,42,39,28,780,41,0,1,2
63,"Apr 18, 2020",866,2,29,25,782,41,0,1,1
64,"Apr 19, 2020",879,13,19,25,794,42,1,0,1
65,"Apr 20, 2020",884,5,6,23,694,42,0,1,1
66,"Apr 21, 2020",901,17,12,22,689,42,0,0,0
67,"Apr 22, 2020",909,8,10,18,677,42,0,0,1
68,"Apr 23, 2020",918,9,11,14,686,42,0,0,0
69,"Apr 24, 2020",922,4,7,8,686,42,0,0,0
