Days,Date,0_Cases,1_DailyCases,2_DailyCases- 3-daymovingaverage,3_DailyCases- 7-daymovingaverage,4_CurrentlyInfected,5_Deaths,6_DailyDeaths,7_DailyDeaths- 3-daymovingaverage,8_DailyDeaths- 7-daymovingaverage
0,"Feb 15, 2020",9,0,0,0,1,0,0,0,0
1,"Feb 16, 2020",9,0,0,1,1,0,0,0,0
2,"Feb 17, 2020",9,0,0,0,1,0,0,0,0
3,"Feb 18, 2020",9,0,0,0,1,0,0,0,0
4,"Feb 19, 2020",9,0,0,0,1,0,0,0,0
5,"Feb 20, 2020",9,0,0,0,1,0,0,0,0
6,"Feb 21, 2020",9,0,0,0,1,0,0,0,0
7,"Feb 22, 2020",9,0,0,0,1,0,0,0,0
8,"Feb 23, 2020",13,4,1,1,5,0,0,0,0
9,"Feb 24, 2020",13,0,2,0,5,0,0,0,0
10,"Feb 25, 2020",13,0,1,1,5,0,0,0,0
11,"Feb 26, 2020",13,0,0,0,5,0,0,0,0
12,"Feb 27, 2020",16,3,1,1,8,0,0,0,0
13,"Feb 28, 2020",20,4,2,2,12,0,0,0,0
14,"Feb 29, 2020",23,3,4,2,15,0,0,0,0
15,"Mar 01, 2020",35,12,6,3,27,0,0,0,0
16,"Mar 02, 2020",38,3,6,4,30,0,0,0,0
17,"Mar 03, 2020",49,11,9,5,41,0,0,0,0
18,"Mar 04, 2020",82,33,15,10,74,0,0,0,0
19,"Mar 05, 2020",108,26,24,13,89,1,1,0,0
20,"Mar 06, 2020",151,43,34,18,132,1,0,0,0
21,"Mar 07, 2020",192,41,36,25,172,2,1,0,0
22,"Mar 08, 2020",254,62,49,31,234,2,0,1,0
23,"Mar 09, 2020",293,39,47,36,272,3,1,0,0
24,"Mar 10, 2020",349,56,53,43,324,7,4,2,1
25,"Mar 11, 2020",419,70,55,48,394,7,0,2,1
26,"Mar 12, 2020",536,117,81,61,509,9,2,2,1
27,"Mar 13, 2020",725,189,125,82,697,10,1,1,2
28,"Mar 14, 2020",1035,310,205,121,989,28,18,7,3
29,"Mar 15, 2020",1263,228,243,144,1201,42,14,11,6
30,"Mar 16, 2020",1400,137,225,158,1284,64,22,18,9
31,"Mar 17, 2020",1769,369,244,203,1625,79,15,17,10
32,"Mar 18, 2020",2382,613,373,280,2205,112,33,23,15
33,"Mar 19, 2020",2965,583,522,347,2746,154,42,30,21
34,"Mar 20, 2020",3612,647,614,413,3361,186,32,36,25
35,"Mar 21, 2020",4550,938,723,502,4217,240,54,42,30
36,"Mar 22, 2020",5153,603,729,556,4796,264,24,37,32
37,"Mar 23, 2020",6030,877,806,661,5564,331,67,48,38
38,"Mar 24, 2020",7323,1293,925,794,6714,474,143,78,57
39,"Mar 25, 2020",8639,1316,1162,893,7852,652,178,130,77
40,"Mar 26, 2020",10568,1929,1512,1087,9555,878,226,182,103
41,"Mar 27, 2020",13182,2614,1953,1367,11886,1161,283,229,139
42,"Mar 28, 2020",15489,2307,2284,1562,13899,1455,294,268,174
43,"Mar 29, 2020",17693,2204,2375,1792,15889,1669,214,263,201
44,"Mar 30, 2020",20066,2373,2294,2005,17887,2044,375,295,244
45,"Mar 31, 2020",22792,2726,2435,2210,20230,2427,383,324,279
46,"Apr 01, 2020",26709,3917,3005,2581,23485,3089,662,473,349
47,"Apr 02, 2020",30554,3845,3496,2855,26689,3730,641,562,407
48,"Apr 03, 2020",34586,4032,3931,3058,29986,4465,735,679,472
49,"Apr 04, 2020",37970,3384,3754,3212,32609,5226,761,713,539
50,"Apr 05, 2020",43318,5348,4255,3660,37312,5871,645,713,600
51,"Apr 06, 2020",46762,3444,4058,3814,40188,6439,568,658,628
52,"Apr 07, 2020",50055,3293,4029,3895,42442,7478,1039,751,721
