Days,Date,0_Cases,1_DailyCases,2_DailyCases- 3-daymovingaverage,3_DailyCases- 7-daymovingaverage,4_CurrentlyInfected,5_Deaths,6_DailyDeaths,7_DailyDeaths- 3-daymovingaverage,8_DailyDeaths- 7-daymovingaverage
0,"Feb 15, 2020",0,0,0,0,0,0,0,0,0
1,"Feb 16, 2020",0,0,0,0,0,0,0,0,0
2,"Feb 17, 2020",0,0,0,0,0,0,0,0,0
3,"Feb 18, 2020",0,0,0,0,0,0,0,0,0
4,"Feb 19, 2020",0,0,0,0,0,0,0,0,0
5,"Feb 20, 2020",0,0,0,0,0,0,0,0,0
6,"Feb 21, 2020",0,0,0,0,0,0,0,0,0
7,"Feb 22, 2020",0,0,0,0,0,0,0,0,0
8,"Feb 23, 2020",0,0,0,0,0,0,0,0,0
9,"Feb 24, 2020",0,0,0,0,0,0,0,0,0
10,"Feb 25, 2020",0,0,0,0,0,0,0,0,0
11,"Feb 26, 2020",0,0,0,0,0,0,0,0,0
12,"Feb 27, 2020",0,0,0,0,0,0,0,0,0
13,"Feb 28, 2020",0,0,0,0,0,0,0,0,0
14,"Feb 29, 2020",0,0,0,0,0,0,0,0,0
15,"Mar 01, 2020",0,0,0,0,0,0,0,0,0
16,"Mar 02, 2020",0,0,0,0,0,0,0,0,0
17,"Mar 03, 2020",1,0,0,0,1,0,0,0,0
18,"Mar 04, 2020",1,0,0,0,1,0,0,0,0
19,"Mar 05, 2020",1,0,0,0,1,0,0,0,0
20,"Mar 06, 2020",1,0,0,0,1,0,0,0,0
21,"Mar 07, 2020",1,0,0,0,1,0,0,0,0
22,"Mar 08, 2020",1,0,0,0,1,0,0,0,0
23,"Mar 09, 2020",1,0,0,0,1,0,0,0,0
24,"Mar 10, 2020",1,0,0,0,1,0,0,0,0
25,"Mar 11, 2020",1,0,0,0,1,0,0,0,0
26,"Mar 12, 2020",3,2,1,0,3,0,0,0,0
27,"Mar 13, 2020",3,0,0,1,2,1,1,0,0
28,"Mar 14, 2020",3,0,1,0,2,1,0,0,0
29,"Mar 15, 2020",3,0,0,0,2,1,0,0,0
30,"Mar 16, 2020",7,4,1,1,6,1,0,0,0
31,"Mar 17, 2020",14,7,4,2,12,2,1,0,0
32,"Mar 18, 2020",16,2,4,2,14,2,0,1,0
33,"Mar 19, 2020",26,10,7,3,23,3,1,0,1
34,"Mar 20, 2020",41,15,9,6,37,3,0,1,0
35,"Mar 21, 2020",47,6,10,6,43,3,0,0,0
36,"Mar 22, 2020",73,26,16,10,69,3,0,0,0
37,"Mar 23, 2020",73,0,10,9,69,3,0,0,1
38,"Mar 24, 2020",102,29,19,13,98,3,0,0,0
39,"Mar 25, 2020",145,43,24,18,139,5,2,1,0
40,"Mar 26, 2020",196,51,41,25,190,5,0,0,1
41,"Mar 27, 2020",310,114,69,38,300,5,0,1,0
42,"Mar 28, 2020",356,46,70,44,342,9,4,1,1
43,"Mar 29, 2020",475,119,93,58,459,10,1,2,1
44,"Mar 30, 2020",548,73,80,68,527,13,3,3,1
45,"Mar 31, 2020",645,97,96,77,618,17,4,2,2
46,"Apr 01, 2020",794,149,106,93,761,20,3,4,2
47,"Apr 02, 2020",897,103,117,100,856,22,2,3,3
48,"Apr 03, 2020",1072,175,142,109,1023,27,5,3,3
49,"Apr 04, 2020",1225,153,144,124,1168,32,5,4,3
50,"Apr 05, 2020",1308,83,137,119,1243,37,5,5,4
51,"Apr 06, 2020",1319,11,82,110,1253,38,1,4,4
52,"Apr 07, 2020",1462,143,79,117,1389,45,7,4,4
53,"Apr 08, 2020",1668,206,120,125,1581,52,7,5,4
54,"Apr 09, 2020",1892,224,191,142,1790,57,5,6,5
55,"Apr 10, 2020",2203,311,247,161,2073,69,12,8,6
56,"Apr 11, 2020",2511,308,281,184,2359,73,4,7,6
57,"Apr 12, 2020",2777,266,295,210,2605,83,10,9,7
58,"Apr 13, 2020",3102,325,300,255,2912,93,10,8,7
59,"Apr 14, 2020",3372,270,287,273,3155,98,5,8,8
60,"Apr 15, 2020",3764,392,329,299,3513,108,10,9,8
61,"Apr 16, 2020",4161,397,353,324,3859,116,8,7,8
62,"Apr 17, 2020",4662,501,430,351,4291,125,9,9,8
63,"Apr 18, 2020",5106,444,447,371,4698,133,8,9,9
64,"Apr 19, 2020",5449,343,429,382,4961,141,8,8,8
65,"Apr 20, 2020",5710,261,350,372,5200,151,10,9,9
66,"Apr 21, 2020",6125,415,339,394,5597,161,10,9,9
67,"Apr 22, 2020",6592,467,381,404,5994,174,13,11,9
68,"Apr 23, 2020",7170,578,487,430,6479,187,13,12,10
