Days,Date,0_Cases,1_DailyCases,2_DailyCases- 3-daymovingaverage,3_DailyCases- 7-daymovingaverage,4_CurrentlyInfected,5_Deaths,6_DailyDeaths,7_DailyDeaths- 3-daymovingaverage,8_DailyDeaths- 7-daymovingaverage
0,"Feb 15, 2020",8,0,0,0,5,0,0,0,0
1,"Feb 16, 2020",9,1,0,0,6,0,0,0,0
2,"Feb 17, 2020",9,0,1,0,6,0,0,0,0
3,"Feb 18, 2020",9,0,0,0,6,0,0,0,0
4,"Feb 19, 2020",9,0,0,1,6,0,0,0,0
5,"Feb 20, 2020",9,0,0,0,6,0,0,0,0
6,"Feb 21, 2020",11,2,1,0,8,0,0,0,0
7,"Feb 22, 2020",13,2,1,1,10,0,0,0,0
8,"Feb 23, 2020",13,0,1,0,10,0,0,0,0
9,"Feb 24, 2020",13,0,1,1,10,0,0,0,0
10,"Feb 25, 2020",13,0,0,1,10,0,0,0,0
11,"Feb 26, 2020",13,0,0,0,10,0,0,0,0
12,"Feb 27, 2020",19,6,2,2,14,0,0,0,0
13,"Feb 28, 2020",19,0,2,1,14,0,0,0,0
14,"Feb 29, 2020",21,2,3,1,16,0,0,0,0
15,"Mar 01, 2020",21,0,0,1,16,0,0,0,0
16,"Mar 02, 2020",21,0,1,1,16,0,0,0,0
17,"Mar 03, 2020",27,6,2,2,22,0,0,0,0
18,"Mar 04, 2020",28,1,2,2,23,0,0,0,0
19,"Mar 05, 2020",28,0,3,2,23,0,0,0,0
20,"Mar 06, 2020",45,17,6,3,38,0,0,0,0
21,"Mar 07, 2020",45,0,5,4,38,0,0,0,0
22,"Mar 08, 2020",45,0,6,3,38,0,0,0,0
23,"Mar 09, 2020",59,14,5,6,47,0,0,0,0
24,"Mar 10, 2020",74,15,9,6,62,0,0,0,0
25,"Mar 11, 2020",74,0,10,7,57,0,0,0,0
26,"Mar 12, 2020",85,11,9,8,65,0,0,0,0
27,"Mar 13, 2020",85,0,3,6,65,0,0,0,0
28,"Mar 14, 2020",85,0,4,5,65,0,0,0,0
29,"Mar 15, 2020",98,13,4,8,75,0,0,0,0
30,"Mar 16, 2020",98,0,5,6,75,0,0,0,0
31,"Mar 17, 2020",113,15,9,5,87,0,0,0,0
32,"Mar 18, 2020",113,0,5,6,87,0,0,0,0
33,"Mar 19, 2020",140,27,14,8,109,0,0,0,0
