Days,Date,0_Cases,1_DailyCases,2_DailyCases- 3-daymovingaverage,3_DailyCases- 7-daymovingaverage,4_CurrentlyInfected,5_Deaths,6_DailyDeaths,7_DailyDeaths- 3-daymovingaverage,8_DailyDeaths- 7-daymovingaverage
0,"Feb 15, 2020",0,0,0,0,0,0,0,0,0
1,"Feb 16, 2020",0,0,0,0,0,0,0,0,0
2,"Feb 17, 2020",0,0,0,0,0,0,0,0,0
3,"Feb 18, 2020",0,0,0,0,0,0,0,0,0
4,"Feb 19, 2020",0,0,0,0,0,0,0,0,0
5,"Feb 20, 2020",0,0,0,0,0,0,0,0,0
6,"Feb 21, 2020",0,0,0,0,0,0,0,0,0
7,"Feb 22, 2020",0,0,0,0,0,0,0,0,0
8,"Feb 23, 2020",0,0,0,0,0,0,0,0,0
9,"Feb 24, 2020",0,0,0,0,0,0,0,0,0
10,"Feb 25, 2020",0,0,0,0,0,0,0,0,0
11,"Feb 26, 2020",0,0,0,0,0,0,0,0,0
12,"Feb 27, 2020",0,0,0,0,0,0,0,0,0
13,"Feb 28, 2020",0,0,0,0,0,0,0,0,0
14,"Feb 29, 2020",0,0,0,0,0,0,0,0,0
15,"Mar 01, 2020",0,0,0,0,0,0,0,0,0
16,"Mar 02, 2020",0,0,0,0,0,0,0,0,0
17,"Mar 03, 2020",0,0,0,0,0,0,0,0,0
18,"Mar 04, 2020",0,0,0,0,0,0,0,0,0
19,"Mar 05, 2020",0,0,0,0,0,0,0,0,0
20,"Mar 06, 2020",0,0,0,0,0,0,0,0,0
21,"Mar 07, 2020",0,0,0,0,0,0,0,0,0
22,"Mar 08, 2020",0,0,0,0,0,0,0,0,0
23,"Mar 09, 2020",0,0,0,0,0,0,0,0,0
24,"Mar 10, 2020",0,0,0,0,0,0,0,0,0
25,"Mar 11, 2020",0,0,0,0,0,0,0,0,0
26,"Mar 12, 2020",0,0,0,0,0,0,0,0,0
27,"Mar 13, 2020",4,0,0,0,4,0,0,0,0
28,"Mar 14, 2020",6,2,2,0,6,0,0,0,0
29,"Mar 15, 2020",6,0,2,1,6,0,0,0,0
30,"Mar 16, 2020",29,23,9,4,29,0,0,0,0
31,"Mar 17, 2020",50,21,14,8,50,0,0,0,0
32,"Mar 18, 2020",79,29,25,11,79,0,0,0,0
33,"Mar 19, 2020",79,0,16,11,79,0,0,0,0
34,"Mar 20, 2020",110,31,20,15,110,0,0,0,0
35,"Mar 21, 2020",110,0,11,15,110,0,0,0,0
36,"Mar 22, 2020",158,48,26,22,158,0,0,0,0
37,"Mar 23, 2020",162,4,17,19,162,0,0,0,0
38,"Mar 24, 2020",189,27,27,20,189,0,0,0,0
39,"Mar 25, 2020",217,28,19,19,217,0,0,0,0
40,"Mar 26, 2020",238,21,26,23,238,0,0,0,0
41,"Mar 27, 2020",238,0,16,18,238,0,0,0,0
42,"Mar 28, 2020",304,66,29,28,303,1,0,0,0
43,"Mar 29, 2020",304,0,22,21,303,1,0,0,0
44,"Mar 30, 2020",320,16,27,23,294,1,0,0,0
45,"Mar 31, 2020",338,18,12,21,296,1,0,0,0
46,"Apr 01, 2020",350,12,15,19,286,2,1,0,0
47,"Apr 02, 2020",350,0,10,16,284,4,2,1,0
48,"Apr 03, 2020",386,36,16,21,296,4,0,1,1
49,"Apr 04, 2020",400,14,17,14,302,5,1,1,1
50,"Apr 05, 2020",406,6,18,14,296,6,1,1,0
51,"Apr 06, 2020",415,9,10,14,286,6,0,1,1
52,"Apr 07, 2020",424,9,8,12,267,7,1,0,1
53,"Apr 08, 2020",456,32,17,15,257,7,0,1,1
54,"Apr 09, 2020",456,0,13,15,257,7,0,0,0
55,"Apr 10, 2020",473,17,17,13,260,7,0,0,0
56,"Apr 11, 2020",494,21,12,13,273,7,0,0,1
57,"Apr 12, 2020",512,18,19,15,274,7,0,0,0
58,"Apr 13, 2020",483,-29,3,10,227,8,1,0,0
59,"Apr 14, 2020",492,9,0,10,224,8,0,1,0
60,"Apr 15, 2020",493,1,-7,5,212,9,1,0,1
61,"Apr 16, 2020",502,9,7,7,207,9,0,1,0
62,"Apr 17, 2020",502,0,3,4,207,9,0,0,0
63,"Apr 18, 2020",517,15,8,3,210,9,0,0,0
64,"Apr 19, 2020",517,0,5,1,209,10,1,0,1
65,"Apr 20, 2020",535,18,11,7,212,10,0,1,0
66,"Apr 21, 2020",543,8,9,8,207,12,2,1,1
67,"Apr 22, 2020",549,6,10,8,200,12,0,0,0
68,"Apr 23, 2020",549,0,5,6,200,12,0,1,1
69,"Apr 24, 2020",563,14,7,9,182,12,0,0,0
