Days,Date,0_DeathRate,1_RecoveryRate,2_Cases,3_DailyCases,4_DailyCases- 3-daymovingaverage,5_DailyCases- 7-daymovingaverage,6_CurrentlyInfected,7_Deaths,8_DailyDeaths,9_DailyDeaths- 3-daymovingaverage,10_DailyDeaths- 7-daymovingaverage
0,"Feb 15, 2020",0.000,100.000,15,0,0,0,12,0,0,0,0
1,"Feb 16, 2020",0.000,100.000,15,0,0,0,12,0,0,0,0
2,"Feb 17, 2020",0.000,100.000,15,0,0,0,12,0,0,0,0
3,"Feb 18, 2020",0.000,100.000,15,0,0,1,12,0,0,0,0
4,"Feb 19, 2020",0.000,100.000,15,0,0,0,12,0,0,0,0
5,"Feb 20, 2020",0.000,100.000,15,0,0,0,10,0,0,0,0
6,"Feb 21, 2020",0.000,100.000,35,20,7,3,29,0,0,0,0
7,"Feb 22, 2020",0.000,100.000,35,0,6,3,29,0,0,0,0
8,"Feb 23, 2020",0.000,100.000,35,0,7,3,28,0,0,0,0
9,"Feb 24, 2020",0.000,100.000,53,18,6,5,48,0,0,0,0
10,"Feb 25, 2020",0.000,100.000,57,4,7,6,51,0,0,0,0
11,"Feb 26, 2020",0.000,100.000,60,3,9,6,54,0,0,0,0
12,"Feb 27, 2020",0.000,100.000,60,0,2,7,54,0,0,0,0
13,"Feb 28, 2020",0.000,100.000,63,3,2,4,57,0,0,0,0
14,"Feb 29, 2020",12.500,87.500,68,5,3,5,60,1,1,0,0
15,"Mar 01, 2020",10.000,90.000,75,7,5,5,65,1,0,0,0
16,"Mar 02, 2020",40.000,60.000,100,25,12,7,85,6,5,2,0
17,"Mar 03, 2020",50.000,50.000,124,24,19,10,106,9,3,2,1
18,"Mar 04, 2020",55.000,45.000,158,34,27,14,138,11,2,4,2
19,"Mar 05, 2020",57.140,42.860,221,63,41,23,200,12,1,2,2
20,"Mar 06, 2020",50.000,50.000,319,98,65,36,289,15,3,2,2
21,"Mar 07, 2020",55.880,44.120,435,116,92,53,401,19,4,2,2
22,"Mar 08, 2020",59.460,40.540,541,106,107,66,504,22,3,4,3
23,"Mar 09, 2020",63.410,36.590,704,163,128,86,663,26,4,3,3
24,"Mar 10, 2020",66.670,33.330,994,290,186,125,949,30,4,4,3
25,"Mar 11, 2020",71.700,28.300,1301,307,254,163,1248,38,8,5,4
26,"Mar 12, 2020",83.330,16.670,1691,390,329,210,1643,40,2,5,4
27,"Mar 13, 2020",83.930,16.070,2290,599,432,282,2234,47,7,6,5
28,"Mar 14, 2020",53.270,46.730,2943,653,547,358,2836,57,10,6,5
29,"Mar 15, 2020",54.140,45.860,3830,887,713,470,3697,72,15,11,7
30,"Mar 16, 2020",55.290,44.710,4945,1115,885,606,4775,94,22,15,10
31,"Mar 17, 2020",52.630,47.370,6931,1986,1329,848,6703,120,26,21,13
32,"Mar 18, 2020",59.650,40.350,10123,3192,2098,1260,9838,170,50,33,19
33,"Mar 19, 2020",68.090,31.910,14971,4848,3342,1897,14620,239,69,48,28
34,"Mar 20, 2020",67.100,32.900,20998,6027,4689,2673,20536,310,71,64,38
35,"Mar 21, 2020",68.120,31.880,26129,5131,5335,3312,25577,376,66,68,45
36,"Mar 22, 2020",73.500,26.500,35778,9649,6936,4564,35080,513,137,92,63
37,"Mar 23, 2020",69.440,30.560,46749,10971,8584,5972,45751,693,180,127,86
38,"Mar 24, 2020",70.570,29.430,58442,11693,10771,7359,57076,964,271,196,120
39,"Mar 25, 2020",75.220,24.780,72149,13707,12123,8861,70458,1272,308,253,158
40,"Mar 26, 2020",46.220,53.780,90270,18121,14507,10757,86739,1632,360,313,199
41,"Mar 27, 2020",45.380,54.620,109511,19241,17023,12644,104806,2135,503,391,261
42,"Mar 28, 2020",45.940,54.060,129019,19508,18957,14699,122952,2787,652,505,344
43,"Mar 29, 2020",41.640,58.360,149379,20360,19703,16229,141480,3289,502,552,397
44,"Mar 30, 2020",42.500,57.500,173343,23964,21277,18084,163665,4113,824,659,488
45,"Mar 31, 2020",41.590,58.410,199353,26010,23445,20131,186814,5215,1102,810,607
46,"Apr 01, 2020",41.950,58.050,227055,27702,25892,22129,211614,6477,1262,1062,744
47,"Apr 02, 2020",42.220,57.780,258053,30998,28237,23969,239842,7689,1212,1192,865
