Days,Date,0_Cases,1_DailyCases,2_DailyCases- 3-daymovingaverage,3_DailyCases- 7-daymovingaverage,4_CurrentlyInfected,5_Deaths,6_DailyDeaths,7_DailyDeaths- 3-daymovingaverage,8_DailyDeaths- 7-daymovingaverage
0,"Feb 15, 2020",0,0,0,0,0,0,0,0,0
1,"Feb 16, 2020",0,0,0,0,0,0,0,0,0
2,"Feb 17, 2020",0,0,0,0,0,0,0,0,0
3,"Feb 18, 2020",0,0,0,0,0,0,0,0,0
4,"Feb 19, 2020",0,0,0,0,0,0,0,0,0
5,"Feb 20, 2020",0,0,0,0,0,0,0,0,0
6,"Feb 21, 2020",0,0,0,0,0,0,0,0,0
7,"Feb 22, 2020",0,0,0,0,0,0,0,0,0
8,"Feb 23, 2020",0,0,0,0,0,0,0,0,0
9,"Feb 24, 2020",0,0,0,0,0,0,0,0,0
10,"Feb 25, 2020",0,0,0,0,0,0,0,0,0
11,"Feb 26, 2020",0,0,0,0,0,0,0,0,0
12,"Feb 27, 2020",0,0,0,0,0,0,0,0,0
13,"Feb 28, 2020",0,0,0,0,0,0,0,0,0
14,"Feb 29, 2020",0,0,0,0,0,0,0,0,0
15,"Mar 01, 2020",0,0,0,0,0,0,0,0,0
16,"Mar 02, 2020",0,0,0,0,0,0,0,0,0
17,"Mar 03, 2020",0,0,0,0,0,0,0,0,0
18,"Mar 04, 2020",0,0,0,0,0,0,0,0,0
19,"Mar 05, 2020",0,0,0,0,0,0,0,0,0
20,"Mar 06, 2020",0,0,0,0,0,0,0,0,0
21,"Mar 07, 2020",0,0,0,0,0,0,0,0,0
22,"Mar 08, 2020",0,0,0,0,0,0,0,0,0
23,"Mar 09, 2020",0,0,0,0,0,0,0,0,0
24,"Mar 10, 2020",0,0,0,0,0,0,0,0,0
25,"Mar 11, 2020",0,0,0,0,0,0,0,0,0
26,"Mar 12, 2020",0,0,0,0,0,0,0,0,0
27,"Mar 13, 2020",0,0,0,0,0,0,0,0,0
28,"Mar 14, 2020",0,0,0,0,0,0,0,0,0
29,"Mar 15, 2020",4,0,0,0,4,0,0,0,0
30,"Mar 16, 2020",8,4,3,1,8,0,0,0,0
31,"Mar 17, 2020",11,3,4,1,11,0,0,0,0
32,"Mar 18, 2020",18,7,4,3,18,0,0,0,0
33,"Mar 19, 2020",23,5,5,3,23,0,0,0,0
34,"Mar 20, 2020",33,10,8,5,33,0,0,0,0
35,"Mar 21, 2020",41,8,7,6,41,0,0,0,0
36,"Mar 22, 2020",43,2,7,5,43,0,0,0,0
37,"Mar 23, 2020",46,3,4,6,46,0,0,0,0
38,"Mar 24, 2020",50,4,3,5,50,0,0,0,0
39,"Mar 25, 2020",60,10,6,6,60,0,0,0,0
40,"Mar 26, 2020",75,15,10,8,75,0,0,0,0
41,"Mar 27, 2020",88,13,12,8,82,1,0,0,0
42,"Mar 28, 2020",104,16,15,9,97,2,1,0,0
43,"Mar 29, 2020",144,40,23,14,135,2,0,1,0
44,"Mar 30, 2020",149,5,20,15,140,2,0,0,0
45,"Mar 31, 2020",172,23,23,17,163,2,0,0,0
46,"Apr 01, 2020",181,9,12,17,167,2,0,0,1
47,"Apr 02, 2020",205,24,19,19,178,2,0,0,0
48,"Apr 03, 2020",227,22,18,20,200,2,0,0,0
49,"Apr 04, 2020",266,39,29,23,239,2,0,0,0
50,"Apr 05, 2020",342,76,45,28,310,2,0,0,0
51,"Apr 06, 2020",457,115,77,44,425,2,0,0,0
52,"Apr 07, 2020",520,63,85,50,488,2,0,0,0
53,"Apr 08, 2020",545,25,67,52,512,3,1,0,0
54,"Apr 09, 2020",582,37,42,54,541,3,0,1,0
55,"Apr 10, 2020",624,42,35,57,579,3,0,0,0
56,"Apr 11, 2020",767,143,74,71,721,4,1,0,1
57,"Apr 12, 2020",865,98,94,75,795,4,0,1,0
58,"Apr 13, 2020",998,133,125,77,909,4,0,0,0
59,"Apr 14, 2020",1165,167,132,92,1062,4,0,0,1
60,"Apr 15, 2020",1302,137,146,108,1191,4,0,0,0
61,"Apr 16, 2020",1349,47,117,110,1216,4,0,0,0
62,"Apr 17, 2020",1405,56,80,112,1245,4,0,0,0
63,"Apr 18, 2020",1490,85,63,103,1291,5,1,0,0
64,"Apr 19, 2020",1565,75,72,100,1335,5,0,1,0
65,"Apr 20, 2020",1627,62,74,90,1361,5,0,0,0
66,"Apr 21, 2020",1678,51,62,73,1315,6,1,0,1
67,"Apr 22, 2020",1716,38,51,59,1259,7,1,1,0
68,"Apr 23, 2020",1758,42,43,59,1190,7,0,1,1
