Days,Date,0_Cases,1_DailyCases,2_DailyCases- 3-daymovingaverage,3_DailyCases- 7-daymovingaverage,4_CurrentlyInfected,5_Deaths,6_DailyDeaths,7_DailyDeaths- 3-daymovingaverage,8_DailyDeaths- 7-daymovingaverage
0,"Feb 15, 2020",0,0,0,0,0,0,0,0,0
1,"Feb 16, 2020",0,0,0,0,0,0,0,0,0
2,"Feb 17, 2020",0,0,0,0,0,0,0,0,0
3,"Feb 18, 2020",0,0,0,0,0,0,0,0,0
4,"Feb 19, 2020",0,0,0,0,0,0,0,0,0
5,"Feb 20, 2020",0,0,0,0,0,0,0,0,0
6,"Feb 21, 2020",0,0,0,0,0,0,0,0,0
7,"Feb 22, 2020",0,0,0,0,0,0,0,0,0
8,"Feb 23, 2020",0,0,0,0,0,0,0,0,0
9,"Feb 24, 2020",0,0,0,0,0,0,0,0,0
10,"Feb 25, 2020",0,0,0,0,0,0,0,0,0
11,"Feb 26, 2020",0,0,0,0,0,0,0,0,0
12,"Feb 27, 2020",0,0,0,0,0,0,0,0,0
13,"Feb 28, 2020",0,0,0,0,0,0,0,0,0
14,"Feb 29, 2020",0,0,0,0,0,0,0,0,0
15,"Mar 01, 2020",0,0,0,0,0,0,0,0,0
16,"Mar 02, 2020",0,0,0,0,0,0,0,0,0
17,"Mar 03, 2020",0,0,0,0,0,0,0,0,0
18,"Mar 04, 2020",0,0,0,0,0,0,0,0,0
19,"Mar 05, 2020",0,0,0,0,0,0,0,0,0
20,"Mar 06, 2020",0,0,0,0,0,0,0,0,0
21,"Mar 07, 2020",0,0,0,0,0,0,0,0,0
22,"Mar 08, 2020",0,0,0,0,0,0,0,0,0
23,"Mar 09, 2020",0,0,0,0,0,0,0,0,0
24,"Mar 10, 2020",0,0,0,0,0,0,0,0,0
25,"Mar 11, 2020",0,0,0,0,0,0,0,0,0
26,"Mar 12, 2020",0,0,0,0,0,0,0,0,0
27,"Mar 13, 2020",2,0,0,0,2,0,0,0,0
28,"Mar 14, 2020",2,0,0,0,2,0,0,0,0
29,"Mar 15, 2020",17,15,6,2,17,0,0,0,0
30,"Mar 16, 2020",17,0,5,2,17,0,0,0,0
31,"Mar 17, 2020",33,16,10,5,33,0,0,0,0
32,"Mar 18, 2020",36,3,7,5,36,0,0,0,0
33,"Mar 19, 2020",42,6,8,6,42,0,0,0,0
34,"Mar 20, 2020",65,23,11,9,64,0,0,0,0
35,"Mar 21, 2020",70,5,11,10,55,0,0,0,0
36,"Mar 22, 2020",70,0,9,8,55,0,0,0,0
37,"Mar 23, 2020",84,14,7,9,69,0,0,0,0
38,"Mar 24, 2020",84,0,4,7,69,0,0,0,0
39,"Mar 25, 2020",106,22,12,10,91,0,0,0,0
40,"Mar 26, 2020",107,1,8,10,91,1,0,0,0
41,"Mar 27, 2020",113,6,10,7,80,2,1,0,0
42,"Mar 28, 2020",119,6,4,7,78,2,0,1,0
43,"Mar 29, 2020",119,0,4,7,77,3,1,0,0
44,"Mar 30, 2020",135,16,7,7,93,3,0,1,1
45,"Mar 31, 2020",135,0,6,7,93,3,0,0,0
46,"Apr 01, 2020",144,9,8,6,98,3,0,0,0
47,"Apr 02, 2020",146,2,4,5,98,5,2,1,1
48,"Apr 03, 2020",153,7,6,6,94,7,2,1,1
49,"Apr 04, 2020",155,2,3,5,96,7,0,1,0
50,"Apr 05, 2020",159,4,5,6,100,7,0,1,1
51,"Apr 06, 2020",165,6,4,4,93,7,0,0,1
52,"Apr 07, 2020",166,1,3,4,94,7,0,0,0
53,"Apr 08, 2020",167,1,3,4,93,9,2,1,1
54,"Apr 09, 2020",171,4,2,3,78,9,0,0,1
55,"Apr 10, 2020",175,4,3,3,82,9,0,1,0
56,"Apr 11, 2020",175,0,3,3,73,9,0,0,0
57,"Apr 12, 2020",181,6,3,3,79,9,0,0,0
58,"Apr 13, 2020",189,8,5,4,70,9,0,0,1
59,"Apr 14, 2020",189,0,4,3,70,9,0,0,0
60,"Apr 15, 2020",197,8,6,4,77,9,0,0,0
61,"Apr 16, 2020",204,7,5,5,84,9,0,0,0
62,"Apr 17, 2020",204,0,5,4,84,9,0,0,0
63,"Apr 18, 2020",227,23,10,8,101,9,0,0,0
64,"Apr 19, 2020",256,29,17,10,130,9,0,0,0
65,"Apr 20, 2020",285,29,27,14,158,10,1,0,0
66,"Apr 21, 2020",288,3,20,14,156,10,0,1,0
67,"Apr 22, 2020",298,10,14,15,166,10,0,0,0
68,"Apr 23, 2020",298,0,5,13,166,10,0,0,1
69,"Apr 24, 2020",318,20,10,16,176,10,0,0,0
