Days,Date,0_Cases,1_DailyCases,2_DailyCases- 3-daymovingaverage,3_DailyCases- 7-daymovingaverage,4_CurrentlyInfected,5_Deaths,6_DailyDeaths,7_DailyDeaths- 3-daymovingaverage,8_DailyDeaths- 7-daymovingaverage
0,"Feb 15, 2020",16,0,0,0,9,0,0,0,0
1,"Feb 16, 2020",16,0,0,0,9,0,0,0,0
2,"Feb 17, 2020",16,0,0,1,9,0,0,0,0
3,"Feb 18, 2020",16,0,0,0,9,0,0,0,0
4,"Feb 19, 2020",16,0,0,0,2,0,0,0,0
5,"Feb 20, 2020",16,0,0,0,2,0,0,0,0
6,"Feb 21, 2020",16,0,0,0,1,0,0,0,0
7,"Feb 22, 2020",16,0,0,0,1,0,0,0,0
8,"Feb 23, 2020",16,0,0,0,1,0,0,0,0
9,"Feb 24, 2020",16,0,0,0,1,0,0,0,0
10,"Feb 25, 2020",16,0,0,0,0,0,0,0,0
11,"Feb 26, 2020",16,0,0,0,0,0,0,0,0
12,"Feb 27, 2020",16,0,0,0,0,0,0,0,0
13,"Feb 28, 2020",16,0,0,0,0,0,0,0,0
14,"Feb 29, 2020",16,0,0,0,0,0,0,0,0
15,"Mar 01, 2020",16,0,0,0,0,0,0,0,0
16,"Mar 02, 2020",16,0,0,0,0,0,0,0,0
17,"Mar 03, 2020",16,0,0,0,0,0,0,0,0
18,"Mar 04, 2020",16,0,0,0,0,0,0,0,0
19,"Mar 05, 2020",16,0,0,0,0,0,0,0,0
20,"Mar 06, 2020",17,1,0,0,1,0,0,0,0
21,"Mar 07, 2020",20,3,2,1,4,0,0,0,0
22,"Mar 08, 2020",30,10,4,2,14,0,0,0,0
23,"Mar 09, 2020",31,1,5,2,15,0,0,0,0
24,"Mar 10, 2020",34,3,5,2,18,0,0,0,0
25,"Mar 11, 2020",39,5,3,4,23,0,0,0,0
26,"Mar 12, 2020",44,5,4,4,28,0,0,0,0
27,"Mar 13, 2020",44,0,3,4,28,0,0,0,0
28,"Mar 14, 2020",53,9,5,4,37,0,0,0,0
29,"Mar 15, 2020",57,4,4,4,41,0,0,0,0
30,"Mar 16, 2020",61,4,6,4,45,0,0,0,0
31,"Mar 17, 2020",66,5,4,5,50,0,0,0,0
32,"Mar 18, 2020",76,10,7,5,60,0,0,0,0
33,"Mar 19, 2020",85,9,8,6,69,0,0,0,0
34,"Mar 20, 2020",91,6,8,7,74,0,0,0,0
35,"Mar 21, 2020",94,3,6,6,77,0,0,0,0
36,"Mar 22, 2020",113,19,9,8,96,0,0,0,0
37,"Mar 23, 2020",123,10,11,9,106,0,0,0,0
38,"Mar 24, 2020",134,11,13,9,117,0,0,0,0
39,"Mar 25, 2020",148,14,12,11,131,0,0,0,0
40,"Mar 26, 2020",153,5,10,9,133,0,0,0,0
