Days,Date,0_CurrentlyInfected,1_DeathRate,2_RecoveryRate,3_Cases,4_DailyCases,5_DailyCases- 3-daymovingaverage,6_DailyCases- 7-daymovingaverage,7_CurrentlyInfected,8_Deaths,9_DailyDeaths,10_DailyDeaths- 3-daymovingaverage,11_DailyDeaths- 7-daymovingaverage,12_NewRecoveries,13_NewCases,14_DeathRate,15_RecoveryRate
0,"Feb 15, 2020",0,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
1,"Feb 16, 2020",0,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
2,"Feb 17, 2020",0,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
3,"Feb 18, 2020",0,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
4,"Feb 19, 2020",0,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
5,"Feb 20, 2020",0,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
6,"Feb 21, 2020",0,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
7,"Feb 22, 2020",0,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
8,"Feb 23, 2020",0,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
9,"Feb 24, 2020",0,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
10,"Feb 25, 2020",0,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
11,"Feb 26, 2020",0,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
12,"Feb 27, 2020",0,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
13,"Feb 28, 2020",0,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
14,"Feb 29, 2020",0,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
15,"Mar 01, 2020",0,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
16,"Mar 02, 2020",0,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
17,"Mar 03, 2020",0,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
18,"Mar 04, 2020",1,0.000,0.000,1,0,0,0,1,0,0,0,0,0,0,0.000,0.000
19,"Mar 05, 2020",1,0.000,0.000,1,0,0,0,1,0,0,0,0,0,0,0.000,0.000
20,"Mar 06, 2020",5,0.000,0.000,5,4,1,0,5,0,0,0,0,0,4,0.000,0.000
21,"Mar 07, 2020",6,0.000,0.000,6,1,2,1,6,0,0,0,0,0,1,0.000,0.000
22,"Mar 08, 2020",11,0.000,0.000,11,5,3,1,11,0,0,0,0,0,5,0.000,0.000
23,"Mar 09, 2020",17,0.000,0.000,17,6,4,3,17,0,0,0,0,0,6,0.000,0.000
24,"Mar 10, 2020",22,0.000,0.000,22,5,6,3,22,0,0,0,0,0,5,0.000,0.000
25,"Mar 11, 2020",31,0.000,0.000,31,9,6,4,31,0,0,0,0,0,9,0.000,0.000
26,"Mar 12, 2020",50,100.000,0.000,51,20,12,7,50,1,0,0,0,0,20,100.000,0.000
27,"Mar 13, 2020",66,100.000,0.000,68,17,15,9,66,2,1,0,0,0,17,100.000,0.000
28,"Mar 14, 2020",88,18.750,81.250,104,36,24,14,88,3,1,1,0,13,36,18.750,81.250
29,"Mar 15, 2020",109,18.750,81.250,125,21,25,17,109,3,0,1,0,0,21,18.750,81.250
30,"Mar 16, 2020",160,23.530,76.470,177,52,36,23,160,4,1,0,1,0,52,23.530,76.470
31,"Mar 17, 2020",220,27.780,72.220,238,61,45,30,220,5,1,1,1,0,61,27.780,72.220
32,"Mar 18, 2020",269,27.780,72.220,287,49,54,37,269,5,0,1,0,0,49,27.780,72.220
33,"Mar 19, 2020",337,27.780,72.220,355,68,59,43,337,5,0,0,1,0,68,27.780,72.220
34,"Mar 20, 2020",407,27.780,72.220,425,70,63,51,407,5,0,0,0,0,70,27.780,72.220
35,"Mar 21, 2020",518,27.780,72.220,536,111,83,62,518,5,0,0,1,0,111,27.780,72.220
36,"Mar 22, 2020",614,35.000,65.000,634,98,93,73,614,7,2,1,0,0,98,35.000,65.000
37,"Mar 23, 2020",728,38.100,61.900,749,115,108,82,728,8,1,1,1,0,115,38.100,61.900
38,"Mar 24, 2020",890,90.910,9.090,901,152,121,94,890,10,2,1,0,-12,152,90.910,9.090
39,"Mar 25, 2020",1030,66.670,33.330,1051,150,139,109,1030,14,4,3,2,6,150,66.670,33.330
40,"Mar 26, 2020",1198,69.570,30.430,1221,170,158,124,1198,16,2,2,1,0,170,69.570,30.430
41,"Mar 27, 2020",1366,69.570,30.430,1389,168,162,138,1366,16,0,2,2,0,168,69.570,30.430
42,"Mar 28, 2020",1613,72.000,28.000,1638,249,196,157,1613,18,2,2,2,0,249,72.000,28.000
43,"Mar 29, 2020",1833,75.860,24.140,1862,224,214,176,1833,22,4,2,2,0,224,75.860,24.140
44,"Mar 30, 2020",2017,81.580,18.420,2055,193,222,186,2017,31,9,5,3,0,193,81.580,18.420
45,"Mar 31, 2020",2271,82.500,17.500,2311,256,224,202,2271,33,2,5,3,0,256,82.500,17.500
46,"Apr 01, 2020",2455,43.430,56.570,2554,243,231,214,2455,43,10,7,5,49,243,43.430,56.570
47,"Apr 02, 2020",2833,50.440,49.560,2946,392,297,247,2833,57,14,8,5,0,392,50.440,49.560
48,"Apr 03, 2020",3256,55.910,44.090,3383,437,357,285,3256,71,14,13,8,0,437,55.910,44.090
49,"Apr 04, 2020",3432,40.510,59.490,3627,244,358,284,3432,79,8,12,9,60,244,40.510,59.490
50,"Apr 05, 2020",3874,41.230,58.770,4102,475,385,320,3874,94,15,12,10,18,475,41.230,58.770
51,"Apr 06, 2020",4144,39.780,60.220,4413,311,343,337,4144,107,13,12,11,28,311,39.780,60.220
52,"Apr 07, 2020",4528,40.310,59.690,4848,435,407,362,4528,129,22,17,14,29,435,40.310,59.690
53,"Apr 08, 2020",4824,41.730,58.270,5205,357,368,379,4824,159,30,22,16,31,357,41.730,58.270
54,"Apr 09, 2020",5117,37.990,62.010,5575,370,387,375,5117,174,15,22,17,62,370,37.990,62.010
55,"Apr 10, 2020",5456,36.270,63.730,5955,380,369,368,5456,181,7,17,16,34,380,36.270,63.730
56,"Apr 11, 2020",5773,35.680,64.320,6356,401,384,390,5773,208,27,17,18,57,401,35.680,64.320
57,"Apr 12, 2020",6003,34.580,65.420,6674,318,366,367,6003,232,24,19,20,64,318,34.580,65.420
58,"Apr 13, 2020",6202,33.470,66.530,6934,260,327,360,6202,245,13,21,20,48,260,33.470,66.530
59,"Apr 14, 2020",6321,29.850,70.150,7202,268,282,337,6321,263,18,19,19,131,268,29.850,70.150
60,"Apr 15, 2020",6628,29.980,70.020,7582,380,302,339,6628,286,23,18,18,50,380,29.980,70.020
61,"Apr 16, 2020",6830,28.860,71.140,7918,336,328,335,6830,314,28,23,20,106,336,28.860,71.140
62,"Apr 17, 2020",7181,27.710,72.290,8379,461,393,346,7181,332,18,23,22,92,461,27.710,72.290
63,"Apr 18, 2020",7414,26.130,73.870,8742,363,386,341,7414,347,15,20,19,115,363,26.130,73.870
64,"Apr 19, 2020",7887,25.710,74.290,9287,545,457,373,7887,360,13,15,19,59,545,25.710,74.290
65,"Apr 20, 2020",8080,25.120,74.880,9593,306,404,380,8080,380,20,16,19,93,306,25.120,74.880
66,"Apr 21, 2020",8158,23.620,76.380,9856,263,372,379,8158,401,21,18,20,164,263,23.620,76.380
67,"Apr 22, 2020",8230,21.970,78.030,10169,313,294,370,8230,426,25,22,20,216,313,21.970,78.030
68,"Apr 23, 2020",8317,20.690,79.310,10511,342,306,370,8317,454,28,25,20,227,342,20.690,79.310
69,"Apr 24, 2020",8454,20.260,79.740,10892,381,345,359,8454,494,40,31,23,204,381,20.260,79.740
70,"Apr 25, 2020",8623,19.770,80.230,11273,381,368,362,8623,524,30,33,25,182,381,19.770,80.230
71,"Apr 26, 2020",8817,19.110,80.890,11617,344,369,333,8817,535,11,27,25,139,344,19.110,80.890
72,"Apr 27, 2020",8874,18.560,81.440,11902,285,336,330,8874,562,27,22,26,201,285,18.560,81.440
73,"Apr 28, 2020",8967,18.330,81.670,12218,316,315,337,8967,596,34,24,28,189,316,18.330,81.670
74,"Apr 29, 2020",8991,17.100,82.900,12640,422,341,353,8991,624,28,30,28,370,422,17.100,82.900
75,"Apr 30, 2020",8997,16.600,83.400,12877,237,325,338,8997,644,20,27,27,211,237,16.600,83.400
76,"May 01, 2020",8963,15.720,84.280,13105,228,296,316,8963,651,7,19,23,255,228,15.720,84.280
77,"May 02, 2020",8949,15.000,85.000,13375,270,245,300,8949,664,13,13,20,271,270,15.000,85.000
78,"May 03, 2020",9070,14.670,85.330,13693,318,272,297,9070,678,14,11,20,183,318,14.670,85.330
79,"May 04, 2020",9213,14.560,85.440,14006,313,300,301,9213,698,20,16,20,150,313,14.560,85.440
80,"May 05, 2020",9435,14.330,85.670,14431,425,352,316,9435,716,18,17,17,185,425,14.330,85.670
81,"May 06, 2020",9352,13.600,86.400,14740,309,349,300,9352,733,17,19,15,375,309,13.600,86.400
82,"May 07, 2020",9430,13.440,86.560,15047,307,347,310,9430,755,22,19,16,207,307,13.440,86.560
83,"May 08, 2020",9406,13.020,86.980,15366,319,312,323,9406,776,21,20,18,322,319,13.020,86.980
84,"May 09, 2020",9429,12.620,87.380,15651,285,304,325,9429,785,9,17,17,253,285,12.620,87.380
85,"May 10, 2020",9498,12.310,87.690,15996,345,316,329,9498,800,15,15,18,261,345,12.310,87.690
86,"May 11, 2020",9699,12.240,87.760,16326,330,320,331,9699,811,11,12,16,118,330,12.240,87.760
87,"May 12, 2020",9951,12.040,87.960,16921,595,423,356,9951,839,28,18,18,315,595,12.040,87.960
88,"May 13, 2020",9933,11.840,88.160,17204,283,403,352,9933,861,22,20,18,279,283,11.840,88.160
89,"May 14, 2020",10036,11.650,88.350,17615,411,430,367,10036,883,22,24,18,286,411,11.650,88.350
90,"May 15, 2020",10191,11.590,88.410,18016,401,365,378,10191,907,24,23,19,222,401,11.590,88.410
91,"May 16, 2020",10167,11.310,88.690,18257,241,351,373,10167,915,8,18,18,257,241,11.310,88.690
92,"May 17, 2020",10153,11.040,88.960,18529,272,304,362,10153,925,10,14,18,276,272,11.040,88.960
93,"May 18, 2020",10321,10.930,89.070,18885,356,290,365,10321,936,11,9,18,177,356,10.930,89.070
94,"May 19, 2020",10417,10.710,89.290,19268,383,337,335,10417,948,12,11,16,275,383,10.710,89.290
95,"May 20, 2020",10594,10.520,89.480,19739,471,403,363,10594,962,14,13,14,280,471,10.520,89.480
96,"May 21, 2020",10719,10.310,89.690,20143,404,420,361,10719,972,10,12,13,269,404,10.310,89.690
97,"May 22, 2020",10906,10.110,89.890,20619,476,450,372,10906,982,10,11,11,279,476,10.110,89.890
98,"May 23, 2020",10961,9.960,90.040,20931,312,397,382,10961,993,11,10,11,246,312,9.960,90.040
